line_name,station_a,station_b,distance_km
1号线,莘庄,外环路,1.3056017442559842
1号线,外环路,莲花路,1.4570187329772313
1号线,莲花路,锦江乐园,1.649010668060639
1号线,锦江乐园,上海南站,2.046655603347746
1号线,上海南站,漕宝路,1.55879729978413
1号线,漕宝路,上海体育馆,1.659606164332759
1号线,上海体育馆,徐家汇,1.4144391268162788
1号线,徐家汇,衡山路,1.3700961699459218
1号线,衡山路,常熟路,1.0331443472077055
1号线,常熟路,陕西南路,0.9306266010358267
1号线,陕西南路,一大会址·黄陂南路,1.6614755059865962
1号线,一大会址·黄陂南路,人民广场,0.9995085508530157
1号线,人民广场,新闸路,0.9150176585756575
1号线,新闸路,汉中路,0.9797168197623137
1号线,汉中路,上海火车站,0.8646733128767856
1号线,上海火车站,中山北路,1.03655227579111
1号线,中山北路,延长路,1.4684536783996345
1号线,延长路,上海马戏城,0.9665150151621462
1号线,上海马戏城,汶水路,1.4178730723277535
1号线,汶水路,彭浦新村,1.5695291419673632
1号线,彭浦新村,共康路,1.3794359017881779
1号线,共康路,通河新村,1.4536545044891185
1号线,通河新村,呼兰路,1.0204883638874536
1号线,呼兰路,共富新村,1.7448038211000394
1号线,共富新村,宝安公路,1.6368632166728716
1号线,宝安公路,友谊西路,1.3354598328661118
1号线,友谊西路,富锦路,1.2585526803183569
2号线,浦东1号2号航站楼,海天三路,2.115266424181229
2号线,海天三路,远东大道,5.241055017549757
2号线,远东大道,凌空路,3.0555555846785736
2号线,凌空路,川沙,2.5545532561198057
2号线,川沙,华夏东路,1.970862582101001
2号线,华夏东路,创新中路,2.0433868644203343
2号线,创新中路,唐镇,1.6590987953172642
2号线,唐镇,广兰路,3.3644336927008434
2号线,广兰路,金科路,1.9676763802910884
2号线,金科路,张江高科,1.403340620566473
2号线,张江高科,龙阳路,2.8458942068110455
2号线,龙阳路,世纪公园,0.911936765342636
2号线,世纪公园,上海科技馆,1.2127870210733034
2号线,上海科技馆,世纪大道,1.9711810396904585
2号线,世纪大道,浦东南路(原东昌路),1.2201336093989235
2号线,浦东南路(原东昌路),陆家嘴,1.3919145839124287
2号线,陆家嘴,南京东路,1.6639786406697383
2号线,南京东路,人民广场,1.087048092872133
2号线,人民广场,南京西路,1.4733319959697155
2号线,南京西路,静安寺,1.4747382706448273
2号线,静安寺,江苏路,1.5432708194655491
2号线,江苏路,中山公园,1.4402157926233707
2号线,中山公园,娄山关路,1.345805356288606
2号线,娄山关路,威宁路,1.647635026797198
2号线,威宁路,北新泾,1.2748742965020288
2号线,北新泾,淞虹路,1.390233086082105
2号线,淞虹路,虹桥2号航站楼,4.285132898983127
2号线,虹桥2号航站楼,虹桥火车站,0.5224969325200257
2号线,虹桥火车站,国家会展中心(2号线),1.980721533576963
2号线,国家会展中心(2号线),蟠祥路·国家会计学院,1.4648975426989987
3号线,江杨北路,铁力路,2.0235297330045605
3号线,铁力路,友谊路,1.4755037887769418
3号线,友谊路,宝杨路,1.0276574945076087
3号线,宝杨路,水产路,1.7622903225618183
3号线,水产路,淞滨路,1.2324589704776534
3号线,淞滨路,张华浜,1.53954576867767
3号线,张华浜,淞发路,1.4415735672645782
3号线,淞发路,长江南路,1.6819168208848503
3号线,长江南路,殷高西路,1.4810552687172758
3号线,殷高西路,江湾镇,1.6056651343175556
3号线,江湾镇,大柏树,1.8024803533661633
3号线,大柏树,赤峰路,0.913308706501747
3号线,赤峰路,虹口足球场,1.1391687553134933
3号线,虹口足球场,东宝兴路,1.2832804692668414
3号线,东宝兴路,宝山路,1.0012350563396037
3号线,宝山路,上海火车站,1.7578513233879254
3号线,上海火车站,中潭路,1.7010991106450397
3号线,中潭路,镇坪路,1.4032786033464815
3号线,镇坪路,曹杨路,1.3913911908767376
3号线,曹杨路,金沙江路,0.903342987820249
3号线,金沙江路,中山公园,1.5976858523769166
3号线,中山公园,延安西路,0.9345503169679904
3号线,延安西路,虹桥路,1.391116814013526
3号线,虹桥路,宜山路,1.3462280395928925
3号线,宜山路,漕溪路,1.53874140432016
3号线,漕溪路,龙漕路,0.989775961693696
3号线,龙漕路,石龙路,1.2846414699515296
3号线,石龙路,上海南站,1.3074841155138812
4号线,宜山路,虹桥路,1.3462280395928925
4号线,虹桥路,延安西路,1.391116814013526
4号线,延安西路,中山公园,0.9345503169679904
4号线,中山公园,金沙江路,1.5976858523769166
4号线,金沙江路,曹杨路,0.903342987820249
4号线,曹杨路,镇坪路,1.3913911908767376
4号线,镇坪路,中潭路,1.4032786033464815
4号线,中潭路,上海火车站,1.7010991106450397
4号线,上海火车站,宝山路,1.7578513233879254
4号线,宝山路,海伦路,1.462019312621477
4号线,海伦路,临平路,1.1538257291225702
4号线,临平路,大连路,1.2222948110451834
4号线,大连路,杨树浦路,0.774007037881922
4号线,杨树浦路,浦东大道,1.3080703711967423
4号线,浦东大道,世纪大道,1.4956435871675857
4号线,世纪大道,向城路,0.8486097887303209
4号线,向城路,蓝村路,1.2537865902459475
4号线,蓝村路,塘桥,0.8760548857284662
4号线,塘桥,南浦大桥,1.8090443722149114
4号线,南浦大桥,西藏南路,1.2099190557709467
4号线,西藏南路,鲁班路,1.4038802180983818
4号线,鲁班路,大木桥路,1.2666520442253488
4号线,大木桥路,东安路,0.8747349829459806
4号线,东安路,上海体育场,1.2269858624085557
4号线,上海体育场,上海体育馆,0.6586136097213894
5号线,莘庄,春申路,1.4352624025064369
5号线,春申路,银都路,1.0768922293690053
5号线,银都路,颛桥,2.718005536713816
5号线,颛桥,北桥,2.5570746604986816
5号线,北桥,剑川路,2.1628105851727315
5号线,剑川路,东川路,0.9741315088054634
5号线,东川路,金平路,1.203481790838842
5号线,金平路,华宁路,1.4848589366632519
5号线,华宁路,文井路,1.4455826698933931
5号线,文井路,闵行开发区,1.104928526600251
5号线,莘庄,春申路,1.4352624025064369
5号线,春申路,银都路,1.0768922293690053
5号线,银都路,颛桥,2.718005536713816
5号线,颛桥,北桥,2.5570746604986816
5号线,北桥,剑川路,2.1628105851727315
5号线,剑川路,东川路,0.9741315088054634
5号线,东川路,江川路,1.4601080102530974
5号线,江川路,西渡,1.9815899461088704
5号线,西渡,萧塘,2.7589755134292857
5号线,萧塘,奉浦大道,2.735865621550102
5号线,奉浦大道,环城东路,1.8179398740191146
5号线,环城东路,望园路,1.9453781725068728
5号线,望园路,金海湖,0.9199833842235099
5号线,金海湖,奉贤新城,1.6944738328129476
6号线,东方体育中心,灵岩南路,1.5193187059288293
6号线,灵岩南路,上南路,1.0614050734230112
6号线,上南路,华夏西路,0.778994001259752
6号线,华夏西路,高青路,1.1214793740505151
6号线,高青路,东明路,1.4918286311211035
6号线,东明路,高科西路,1.4615652196078803
6号线,高科西路,临沂新村,1.0531684007977158
6号线,临沂新村,上海儿童医学中心,1.292968236828504
6号线,上海儿童医学中心,蓝村路,1.0133055320835331
6号线,蓝村路,浦电路,0.957298422097306
6号线,浦电路,世纪大道,0.9698177264180925
6号线,世纪大道,源深体育中心,0.8543434958682887
6号线,源深体育中心,民生路,0.9021329639125767
6号线,民生路,北洋泾路,0.9121860339912662
6号线,北洋泾路,德平路,1.3298913590812775
6号线,德平路,云山路,0.9031711328060886
6号线,云山路,金桥路,1.2206236207116914
6号线,金桥路,博兴路,0.8524135420537279
6号线,博兴路,五莲路,0.9523061302640665
6号线,五莲路,巨峰路,0.9640040161533366
6号线,巨峰路,东靖路,1.1125080040431163
6号线,东靖路,五洲大道,1.32232537354092
6号线,五洲大道,洲海路,1.0742852238776637
6号线,洲海路,外高桥保税区南,1.5829828296968869
6号线,外高桥保税区南,航津路,1.711161903342384
6号线,航津路,外高桥保税区北,1.535798559716468
6号线,外高桥保税区北,港城路,1.2815044068262882
7号线,花木路,龙阳路,0.9788974160241174
7号线,龙阳路,芳华路,1.3658506002702453
7号线,芳华路,锦绣路,1.1378621764234118
7号线,锦绣路,杨高南路,1.4746238260779254
7号线,杨高南路,高科西路,1.4128633289655552
7号线,高科西路,云台路,0.9779357438121431
7号线,云台路,耀华路,0.6907969406149488
7号线,耀华路,长清路,0.7912772005501002
7号线,长清路,后滩,1.3631933872921054
7号线,后滩,龙华中路,2.1075018696323293
7号线,龙华中路,东安路,0.7451739310981074
7号线,东安路,肇嘉浜路,1.0567230703849824
7号线,肇嘉浜路,常熟路,1.5698221529162122
7号线,常熟路,静安寺,1.107494431887767
7号线,静安寺,昌平路,1.22738966699388
7号线,昌平路,长寿路,0.8921147923626322
7号线,长寿路,镇坪路,1.013491229150426
7号线,镇坪路,岚皋路,1.3228535076881243
7号线,岚皋路,新村路,0.8542345926520598
7号线,新村路,大华三路,1.13361333401302
7号线,大华三路,行知路,1.1672656172216516
7号线,行知路,大场镇,1.110825389647289
7号线,大场镇,场中路,1.1870160656641127
7号线,场中路,上大路,1.334426687917225
7号线,上大路,南陈路,1.2320941123065523
7号线,南陈路,上海大学,0.9147756125465063
7号线,上海大学,祁华路,1.4722675982251012
7号线,祁华路,顾村公园,2.469688420878879
7号线,顾村公园,刘行,1.7625294308227906
7号线,刘行,潘广路,0.9604603360594508
7号线,潘广路,罗南新村,2.745181800112075
7号线,罗南新村,美兰湖,1.6202864824673062
8号线,沈杜公路,联航路,1.3593344574426456
8号线,联航路,江月路,1.2032623076035402
8号线,江月路,浦江镇,1.389652887162463
8号线,浦江镇,芦恒路,2.613454292012922
8号线,芦恒路,凌兆新村,2.6038899866229097
8号线,凌兆新村,东方体育中心,1.6102977170786545
8号线,东方体育中心,杨思,1.514564627940481
8号线,杨思,成山路,1.1084304895531076
8号线,成山路,耀华路,0.8784160633824464
8号线,耀华路,中华艺术宫,0.7540045170765198
