hour,avg_flow,sample_count
0,0.15335463258785942,313.0
1,0.0,313.0
2,0.0,313.0
3,0.0,313.0
4,0.5559105431309904,313.0
5,99.84984025559105,313.0
6,890.1757188498402,313.0
7,2933.731629392971,313.0
8,4928.108626198083,313.0
9,2554.5015974440894,313.0
10,1226.0926517571886,313.0
11,1008.2140575079873,313.0
12,1045.0958466453674,313.0
13,1072.0287539936103,313.0
14,1056.1373801916932,313.0
15,1160.6485623003196,313.0
16,1561.5431309904154,313.0
17,3045.361022364217,313.0
18,3654.4281150159745,313.0
19,2064.6805111821086,313.0
20,1237.8242811501598,313.0
21,1038.8051118210863,313.0
22,598.3865814696486,313.0
23,65.08306709265176,313.0
