name,english,lon,lat,lines,line_count,total_flow,am_peak_flow,pm_peak_flow,peak_time,peak_flow,degree,betweenness,closeness,pagerank,avg_neighbor_distance,lines_joined
一大会址·新天地,Yi DaHui Zhi XinTianDi,121.475182,31.216367,"['10号线', '13号线']",2,,,,,,4,0.015811091259458763,0.09356592659719076,0.0027634965736071685,1.083389368395506,10号线;13号线
一大会址·黄陂南路,Yi DaHui Zhi HuangPi NanLu,121.472904,31.223898,"['14号线', '1号线']",2,,,,,,4,0.07303226984342395,0.09892215568862275,0.0025602599843793108,1.470476434706024,14号线;1号线
七宝,QiBao,121.349221,31.155287,['9号线'],1,62345.0,18344.0,17630.0,08:30,793.0,2,0.01038521221495184,0.07886194386098912,0.002076347024962595,1.7100300677196638,9号线
七莘路,QiXin Lu,121.362461,31.131634,['12号线'],1,,,,,,1,0.0,0.05590902937593069,0.001527770291929549,1.8213105092081614,12号线
三林,SanLin,121.511796,31.143224,['11号线'],1,28529.0,9875.0,8169.0,08:05,543.0,2,0.032144391722189455,0.07676579925650558,0.0020609007368328656,2.16364005535799,11号线
三林东,San LinDong,121.522999,31.146459,['11号线'],1,18919.0,6673.0,5449.0,07:40,309.0,2,0.030720354907393582,0.0750909090909091,0.0021552791183945875,1.3625582789899946,11号线
三林南,SanLinNan,121.486854,31.126039,['市域机场线'],1,,,,,,2,0.11308240938010525,0.08414832925835371,0.0020881958617118383,8.418363354776128,市域机场线
三门路,SanMen Lu,121.50834,31.313214,['10号线'],1,9063.0,3634.0,2720.0,08:50,178.0,2,0.031146096056451168,0.06097741030562528,0.0023258605706635766,1.030580804382347,10号线
三鲁公路,SanLu GongLu,121.527389,31.056108,['浦江线'],1,,,,,,2,0.019229413009238583,0.05203477384402167,0.002471075836407696,1.2526290911942697,浦江线
上南路,ShangNanLu,121.506447,31.14882,['6号线'],1,12995.0,4778.0,3713.0,08:10,257.0,2,0.0023404282380178774,0.07186358099878197,0.00214055397228699,0.9201995373413816,6号线
上大路,ShangDa Lu,121.408686,31.314969,['7号线'],1,14909.0,5582.0,4093.0,08:15,285.0,2,0.014000522294394597,0.05715471907002491,0.0023831478949618914,1.2832604001118888,7号线
上海体育场,ShangHai TiYuChang,121.443529,31.185605,['4号线'],1,38866.0,11906.0,10978.0,08:50,652.0,2,0.0040207867328193,0.08787234042553191,0.001626983694841911,0.9427997360649725,4号线
上海体育馆,ShangHai TiYuGuan,121.437423,31.182813,"['1号线', '4号线']",2,50942.0,15347.0,14785.0,08:50,555.0,3,0.0647786901255917,0.08974358974358974,0.0023007557519021554,1.2442196336234759,1号线;4号线
上海儿童医学中心,ShangHai ErTong YiXue ZhongXin,121.523482,31.203277,['6号线'],1,14519.0,5135.0,3414.0,08:10,224.0,2,0.01642385534866844,0.07896749521988528,0.0019230342369849955,1.1531368844560186,6号线
上海动物园,ShangHai DongWuYuan,121.368137,31.190246,['10号线'],1,14192.0,4772.0,3627.0,08:10,324.0,2,0.009614117183654958,0.0740541509772279,0.0021682914057026955,1.600735850009117,10号线
上海南站,ShangHai NanZhan,121.430041,31.154579,"['15号线', '1号线', '3号线']",3,91886.0,29238.0,24358.0,08:35,909.0,5,0.13080313455963294,0.08513708513708514,0.0041160624043398335,1.5524846841365707,15号线;1号线;3号线
上海国际旅游度假区,ShangHai GuoJi LvYou DuJiaQu,121.67973,31.156182,['市域机场线'],1,,,,,,2,0.11381220725487597,0.08518976897689769,0.002096243744439742,9.124070245493572,市域机场线
上海图书馆,ShangHai TuShuGuan,121.444363,31.20796,['10号线'],1,18145.0,5307.0,4743.0,08:15,233.0,2,0.018427777128650305,0.09492070788324523,0.0015133625389248673,1.3302096387390867,10号线
上海大学,ShangHai DaXue,121.388884,31.320586,['7号线'],1,,,,,,2,0.006025487620330794,0.05230496453900709,0.002351288672512375,1.1935216053858038,7号线
上海松江站,ShangHai SongJiang Zhan,121.230884,30.984818,['9号线'],1,,,,,,1,0.0,0.04821949795680094,0.0015485038834216732,1.8190577210702468,9号线
上海汽车城,ShangHai QiCheCheng,121.180742,31.285403,['11号线'],1,7616.0,2597.0,1945.0,07:25,200.0,2,0.019229413009238583,0.0426961645818257,0.0024516681960093586,1.946598344271663,11号线
上海游泳馆,ShangHai YouYongGuan,121.441424,31.179123,['11号线'],1,20121.0,6922.0,6138.0,08:40,386.0,2,0.03500240964948091,0.08943265482893027,0.0016213571862701767,1.5951838299377092,11号线
上海火车站,ShangHai HuoCheZhan,121.457939,31.249632,"['1号线', '3号线', '4号线']",3,164781.0,50767.0,42419.0,08:40,1371.0,4,0.16040664019971132,0.09341777878308075,0.003250814913498068,1.3400440056752152,1号线;3号线;4号线
上海科技馆,ShangHai KeJiGuan,121.544439,31.21882,['2号线'],1,30293.0,10033.0,8494.0,08:45,553.0,2,0.052897476680916794,0.09051062897216744,0.0018197264872675952,1.591984030381881,2号线
上海西站,ShangHai XiZhan,121.400926,31.262693,"['11号线', '15号线']",2,33188.0,11994.0,9580.0,08:10,568.0,4,0.1321007024640625,0.07666604789307592,0.003526538663090459,1.4397666218241458,11号线;15号线
上海财经大学,ShangHai CaiJing DaXue,121.496332,31.307672,['18号线'],1,,,,,,2,0.020438026199144144,0.06468285043069695,0.0021937536427890703,1.4286508926798596,18号线
上海赛车场,ShangHai SaiCheChang,121.226098,31.331898,['11号线'],1,4576.0,1430.0,1054.0,07:20,81.0,2,0.028703072474670303,0.04657719634600203,0.0023436656544237404,3.7966636199075383,11号线
上海马戏城,ShangHai MaXiCheng,121.452023,31.279895,['1号线'],1,46920.0,17294.0,14372.0,08:35,1151.0,2,0.042737252873833426,0.07378953010541361,0.0022828557543423467,1.1921940437449499,1号线
下南路,XiaNan Lu,121.540189,31.179295,['13号线'],1,,,,,,2,0.006169398440042698,0.07393483709273183,0.0021224935988299206,1.2338785438924909,13号线
下沙,XiaSha,121.588988,31.054396,['18号线'],1,,,,,,2,0.004842615012106538,0.052531162554057494,0.0027772337388601224,1.9901319004121294,18号线
世博会博物馆,ShiBoHui BoWuGuan,121.481592,31.197572,['13号线'],1,,,,,,2,0.007064990913341832,0.0863655374320368,0.0017689503880992006,1.527568191399864,13号线
世博大道,ShiBo DaDao,121.484313,31.182789,['13号线'],1,,,,,,2,0.005066320785425609,0.08348494036789973,0.0017997275088799077,1.3239232763031565,13号线
世纪公园,ShiJi GongYuan,121.550909,31.209421,['2号线'],1,29239.0,10828.0,8774.0,08:20,648.0,2,0.051886714194802286,0.0888363088836309,0.0018774368972544304,1.0623618932079697,2号线
世纪大道,ShiJi DaDao,121.527213,31.228682,"['2号线', '4号线', '6号线', '9号线']",4,92954.0,32333.0,28303.0,08:45,1929.0,8,0.19269788975266683,0.09422769792379648,0.006204683516984461,1.307275864590747,2号线;4号线;6号线;9号线
东兰路,DongLan Lu,121.391919,31.155826,['12号线'],1,,,,,,2,0.014457321516725827,0.0670781224622381,0.0023943763016356727,1.1877242065089226,12号线
东城一路,DongCheng YiLu,121.532093,31.03039,['浦江线'],1,,,,,,2,0.004842615012106538,0.04508241458356075,0.0027976102447913724,1.052841453383727,浦江线
东安路,DongAn Lu,121.454897,31.190819,"['4号线', '7号线']",2,46768.0,14780.0,8718.0,08:20,355.0,4,0.018762201127663993,0.09125055236411843,0.0028837481248051465,0.9759044617094066,4号线;7号线
东宝兴路,DongBaoXing Lu,121.480202,31.259886,['3号线'],1,24221.0,7902.0,6615.0,09:00,508.0,2,0.024300297839868673,0.08489208633093526,0.0018629428245641704,1.1422577628032227,3号线
东川路,DongChuan Lu,121.419901,31.018197,['5号线'],1,24832.0,8197.0,7076.0,07:50,398.0,3,0.05693598815204871,0.0477953940516144,0.0033468667978949476,1.212573769965801,5号线
东方体育中心,DongFang TiYuZhongXin,121.480304,31.153366,"['11号线', '6号线', '8号线']",3,8344.0,2888.0,2542.0,08:25,173.0,5,0.09035866360363844,0.0801786060959037,0.00460675009140871,1.986016738814976,11号线;6号线;8号线
东方绿舟,DongFang LvZhou,121.019534,31.098544,['17号线'],1,,,,,,2,0.004842615012106538,0.04062161896331268,0.002799139497056916,4.469114252608635,17号线
东明路,dong ming lu,121.510868,31.172646,"['13号线', '6号线']",2,16179.0,6001.0,4373.0,08:05,313.0,4,0.03571563986266204,0.08109169448262321,0.0035212891854765984,1.4775674842739466,13号线;6号线
东陆路,DongLu Lu,121.579124,31.282533,['12号线'],1,17207.0,6424.0,4876.0,08:00,368.0,2,0.018267820719332306,0.06336299478367598,0.002175411162523096,1.3027545565440162,12号线
东靖路,DongJing Lu,121.588736,31.290684,['6号线'],1,12718.0,4866.0,3372.0,07:55,319.0,2,0.029821486632375556,0.060371290746966816,0.0021977329065586597,1.2174166887920181,6号线
中兴路,ZhongXing Lu,121.469026,31.253228,['8号线'],1,27690.0,8852.0,7294.0,08:10,373.0,2,0.029605703180023233,0.08772302463891249,0.001786608707978294,1.1874243701150982,8号线
中华艺术宫,ZhongHua YiShu Gong,121.493626,31.185242,['8号线'],1,16596.0,3783.0,4279.0,18:20,210.0,2,0.016019437436599917,0.08473533032416906,0.0017415201449000868,1.3268127908296503,8号线
中宁路,ZhongNing Lu,121.414541,31.245059,['14号线'],1,,,,,,2,0.06385910213653655,0.08623929839214868,0.0016544352038860353,0.8245629213976173,14号线
中山公园,ZhongShan GongYuan,121.415773,31.217948,"['2号线', '3号线', '4号线']",3,126167.0,34619.0,36953.0,08:50,980.0,4,0.07817259095468924,0.09424920127795527,0.0030064197114552404,1.329564329564221,2号线;3号线;4号线
中山北路,ZhongShan BeiLu,121.459204,31.258891,['1号线'],1,33878.0,10654.0,9077.0,08:15,481.0,2,0.0519758339406192,0.08584493868218665,0.001976484502835994,1.2525029770953724,1号线
中春路,ZhongChun Lu,121.334596,31.149766,"['9号线', '市域机场线']",2,16352.0,6284.0,4747.0,08:05,323.0,4,0.1257709643172574,0.08378981537837289,0.0037794380316733055,4.9733464942221275,9号线;市域机场线
中潭路,ZhongTan Lu,121.441001,31.254568,"['3号线', '4号线']",2,35330.0,12545.0,10231.0,08:20,586.0,2,0.07743243352773714,0.0907492858712371,0.0017233285135418545,1.5521888569957607,3号线;4号线
中科路,ZhongKe Lu,121.602465,31.178862,['13号线'],1,,,,,,2,0.00966172218434848,0.07725402169846614,0.002195791569318538,1.5580996230486566,13号线
丰庄,FengZhuang,121.355141,31.242553,['13号线'],1,24496.0,8676.0,7084.0,08:15,465.0,2,0.00966172218434848,0.0689482470784641,0.0024861146859807295,1.5917416232691342,13号线
丰翔路,FengXiang Lu,121.380872,31.308218,['15号线'],1,,,,,,2,0.028975726951395518,0.05652114410838922,0.0023237146771828586,1.1651319473254613,15号线
临平路,LinPing Lu,121.500696,31.260874,['4号线'],1,30541.0,9815.0,8640.0,08:25,472.0,2,0.03962593294202443,0.08759278897136798,0.0018095250245569316,1.1880602700838767,4号线
临沂新村,LinYi XinCun,121.516695,31.193202,['6号线'],1,19169.0,7381.0,5596.0,08:45,380.0,2,0.015157703088598503,0.07810136157337368,0.0019321940118178077,1.17306831881311,6号线
临洮路,LinTao Lu,121.33086,31.263059,['14号线'],1,,,,,,2,0.00966172218434848,0.05624404194470925,0.002586529345411044,1.5437249980452767,14号线
临港大道,LinGang DaDao,121.910851,30.923519,['16号线'],1,6000.0,1030.0,1000.0,12:05,82.0,2,0.004842615012106538,0.04660347551342812,0.0027958387094293674,4.768194318903122,16号线
丹阳路,DanYang Lu,121.53116,31.253815,['18号线'],1,,,,,,2,0.02376374948046277,0.08189569700575054,0.001912545830130257,1.0538697965849442,18号线
乐秀路,LeXiu Lu,121.314103,31.265363,['14号线'],1,,,,,,2,0.004842615012106538,0.05326970205081904,0.0027722786724817157,1.6276321917397036,14号线
九亭,JiuTing,121.319423,31.137252,['9号线'],1,76508.0,28210.0,22029.0,08:05,1398.0,2,0.03808270058064365,0.07755868544600938,0.0021271927957106727,4.01019647752277,9号线
书院,ShuYuan,121.85052,30.959264,['16号线'],1,6306.0,1657.0,1553.0,07:00,124.0,2,0.00966172218434848,0.04886417415996214,0.0026226435765122286,8.10742973391423,16号线
云台路,YunTai Lu,121.500439,31.182212,['7号线'],1,17167.0,5981.0,4498.0,08:20,274.0,2,0.006279473644501688,0.0808852330591461,0.0018056440489818257,0.8343663422135459,7号线
