line,station,file,total_flow,am_peak_flow,pm_peak_flow,peak_time,peak_flow
2号线,陆家嘴,2号线_陆家嘴.csv,142184.0,48463.0,45088.0,08:40,2852.0
8号线,人民广场,8号线_人民广场.csv,126108.0,33376.0,36212.0,08:45,1948.0
1号线,莘庄,1号线_莘庄.csv,119326.0,40770.0,32266.0,08:20,1901.0
2号线,静安寺,2号线_静安寺.csv,112752.0,32528.0,28734.0,08:55,1519.0
1号线,徐家汇,1号线_徐家汇.csv,106323.0,26094.0,30475.0,08:50,1515.0
2号线,南京西路,2号线_南京西路.csv,100146.0,28900.0,28541.0,08:35,1809.0
4号线,世纪大道,4号线_世纪大道.csv,92954.0,32333.0,28303.0,08:45,1929.0
2号线,淞虹路,2号线_淞虹路.csv,89295.0,34657.0,27328.0,08:45,1917.0
1号线,莲花路,1号线_莲花路.csv,85242.0,27348.0,23580.0,07:50,1198.0
9号线,漕河泾开发区,9号线_漕河泾开发区.csv,84855.0,36360.0,27752.0,08:45,2245.0
1号线,上海火车站,1号线_上海火车站.csv,84703.0,25953.0,21604.0,08:40,1371.0
2号线,娄山关路,2号线_娄山关路.csv,84687.0,27511.0,25726.0,08:40,1615.0
2号线,虹桥火车站,2号线_虹桥火车站.csv,82869.0,18909.0,20703.0,18:20,875.0
1号线,人民广场,1号线_人民广场.csv,82037.0,20417.0,23104.0,08:45,1239.0
3号线,上海火车站,3号线_上海火车站.csv,80078.0,24814.0,20815.0,08:25,1188.0
2号线,南京东路,2号线_南京东路.csv,79752.0,20711.0,20931.0,08:45,1166.0
2号线,金科路,2号线_金科路.csv,79306.0,30912.0,26284.0,08:45,1539.0
9号线,九亭,9号线_九亭.csv,76508.0,28210.0,22029.0,08:05,1398.0
9号线,打浦桥,9号线_打浦桥.csv,73807.0,18373.0,20064.0,08:50,1030.0
2号线,中山公园,2号线_中山公园.csv,73399.0,19317.0,21187.0,08:50,980.0
2号线,东昌路,2号线_东昌路.csv,72620.0,25633.0,21715.0,08:40,1511.0
2号线,广兰路,2号线_广兰路.csv,71152.0,28269.0,22102.0,08:30,1516.0
2号线,徐泾东,2号线_徐泾东.csv,70246.0,24068.0,18352.0,08:15,1143.0
2号线,张江高科,2号线_张江高科.csv,69535.0,27767.0,22102.0,08:25,1794.0
8号线,沈杜公路,8号线_沈杜公路.csv,67161.0,23258.0,16538.0,07:50,1155.0
7号线,长寿路,7号线_长寿路.csv,64201.0,19371.0,18796.0,08:45,1207.0
1号线,彭浦新村,1号线_彭浦新村.csv,62397.0,20394.0,18002.0,18:45,1027.0
9号线,七宝,9号线_七宝.csv,62345.0,18344.0,17630.0,08:30,793.0
9号线,商城路,9号线_商城路.csv,61401.0,20764.0,18930.0,08:45,1478.0
10号线,南京东路,10号线_南京东路.csv,61216.0,17301.0,16597.0,08:40,829.0
9号线,桂林路,9号线_桂林路.csv,60564.0,22071.0,17910.0,08:20,1288.0
1号线,黄陂南路,1号线_黄陂南路.csv,58722.0,17654.0,16837.0,08:50,1116.0
10号线,陕西南路,10号线_陕西南路.csv,58060.0,16428.0,16215.0,08:50,857.0
7号线,静安寺,7号线_静安寺.csv,57150.0,19115.0,16244.0,09:10,1079.0
