station,total_flow,am_peak_flow,pm_peak_flow,peak_time,peak_flow,dominant_line
人民广场,208145.0,53793.0,59316.0,08:45,1948.0,8号线
静安寺,169902.0,51643.0,44978.0,08:55,1519.0,2号线
上海火车站,164781.0,50767.0,42419.0,08:40,1371.0,1号线
徐家汇,160460.0,43535.0,45252.0,08:50,1515.0,1号线
陆家嘴,142184.0,48463.0,45088.0,08:40,2852.0,2号线
南京东路,140968.0,38012.0,37528.0,08:45,1166.0,2号线
中山公园,126167.0,34619.0,36953.0,08:50,980.0,2号线
莘庄,119326.0,40770.0,32266.0,08:20,1901.0,1号线
陕西南路,109445.0,29899.0,29326.0,08:50,857.0,10号线
南京西路,100146.0,28900.0,28541.0,08:35,1809.0,2号线
世纪大道,92954.0,32333.0,28303.0,08:45,1929.0,4号线
浦电路,92595.0,37417.0,29564.0,08:45,1661.0,4号线
上海南站,91886.0,29238.0,24358.0,08:35,909.0,3号线
江苏路,89712.0,31433.0,26034.0,08:40,1006.0,2号线
淞虹路,89295.0,34657.0,27328.0,08:45,1917.0,2号线
宜山路,88397.0,29462.0,26236.0,08:40,1018.0,9号线
莲花路,85242.0,27348.0,23580.0,07:50,1198.0,1号线
漕河泾开发区,84855.0,36360.0,27752.0,08:45,2245.0,9号线
娄山关路,84687.0,27511.0,25726.0,08:40,1615.0,2号线
虹桥火车站,82869.0,18909.0,20703.0,18:20,875.0,2号线
金科路,79306.0,30912.0,26284.0,08:45,1539.0,2号线
九亭,76508.0,28210.0,22029.0,08:05,1398.0,9号线
龙阳路,74852.0,23699.0,22741.0,18:10,886.0,2号线
曹杨路,74838.0,25504.0,20603.0,08:25,709.0,3号线
打浦桥,73807.0,18373.0,20064.0,08:50,1030.0,9号线
虹口足球场,73330.0,20146.0,21605.0,18:10,758.0,8号线
东昌路,72620.0,25633.0,21715.0,08:40,1511.0,2号线
广兰路,71152.0,28269.0,22102.0,08:30,1516.0,2号线
徐泾东,70246.0,24068.0,18352.0,08:15,1143.0,2号线
张江高科,69535.0,27767.0,22102.0,08:25,1794.0,2号线
沈杜公路,67161.0,23258.0,16538.0,07:50,1155.0,8号线
长寿路,64201.0,19371.0,18796.0,08:45,1207.0,7号线
彭浦新村,62397.0,20394.0,18002.0,18:45,1027.0,1号线
七宝,62345.0,18344.0,17630.0,08:30,793.0,9号线
商城路,61401.0,20764.0,18930.0,08:45,1478.0,9号线
桂林路,60564.0,22071.0,17910.0,08:20,1288.0,9号线
金沙江路,59961.0,16854.0,17633.0,08:45,538.0,13号线
虹桥路,59870.0,20660.0,17324.0,08:45,789.0,3号线
黄陂南路,58722.0,17654.0,16837.0,08:50,1116.0,1号线
常熟路,58223.0,18923.0,14866.0,09:00,568.0,7号线
南翔,57048.0,19855.0,16284.0,08:05,1014.0,11号线
泗泾,56261.0,20304.0,16317.0,07:50,882.0,9号线
陆家浜路,55674.0,17123.0,13761.0,08:45,720.0,8号线
肇嘉浜路,55582.0,19080.0,13454.0,08:45,990.0,7号线
镇坪路,55043.0,18645.0,16024.0,08:15,677.0,3号线
蓝村路,54430.0,20583.0,16159.0,08:30,1073.0,4号线
金运路,54415.0,19777.0,14997.0,08:05,1060.0,13号线
延长路,54109.0,16983.0,13980.0,08:35,707.0,1号线
汉中路,54013.0,18827.0,15962.0,08:45,1318.0,1号线
西藏南路,53491.0,17361.0,11909.0,08:35,648.0,8号线
大世界,53413.0,16561.0,16083.0,08:45,1050.0,8号线
