name,english,lon,lat,lines,line_count
一大会址·新天地,Yi DaHui Zhi XinTianDi,121.475182,31.216367,"['10号线', '13号线']",2
一大会址·黄陂南路,Yi DaHui Zhi HuangPi NanLu,121.472904,31.223898,"['14号线', '1号线']",2
七宝,QiBao,121.349221,31.155287,['9号线'],1
七莘路,QiXin Lu,121.362461,31.131634,['12号线'],1
三林,SanLin,121.511796,31.143224,['11号线'],1
三林东,San LinDong,121.522999,31.146459,['11号线'],1
三林南,SanLinNan,121.486854,31.126039,['市域机场线'],1
三门路,SanMen Lu,121.50834,31.313214,['10号线'],1
三鲁公路,SanLu GongLu,121.527389,31.056108,['浦江线'],1
上南路,ShangNanLu,121.506447,31.14882,['6号线'],1
上大路,ShangDa Lu,121.408686,31.314969,['7号线'],1
上海体育场,ShangHai TiYuChang,121.443529,31.185605,['4号线'],1
上海体育馆,ShangHai TiYuGuan,121.437423,31.182813,"['1号线', '4号线']",2
上海儿童医学中心,ShangHai ErTong YiXue ZhongXin,121.523482,31.203277,['6号线'],1
上海动物园,ShangHai DongWuYuan,121.368137,31.190246,['10号线'],1
上海南站,ShangHai NanZhan,121.430041,31.154579,"['15号线', '1号线', '3号线']",3
上海国际旅游度假区,ShangHai GuoJi LvYou DuJiaQu,121.67973,31.156182,['市域机场线'],1
上海图书馆,ShangHai TuShuGuan,121.444363,31.20796,['10号线'],1
上海大学,ShangHai DaXue,121.388884,31.320586,['7号线'],1
上海松江站,ShangHai SongJiang Zhan,121.230884,30.984818,['9号线'],1
上海汽车城,ShangHai QiCheCheng,121.180742,31.285403,['11号线'],1
上海游泳馆,ShangHai YouYongGuan,121.441424,31.179123,['11号线'],1
上海火车站,ShangHai HuoCheZhan,121.457939,31.249632,"['1号线', '3号线', '4号线']",3
上海科技馆,ShangHai KeJiGuan,121.544439,31.21882,['2号线'],1
上海西站,ShangHai XiZhan,121.400926,31.262693,"['11号线', '15号线']",2
上海财经大学,ShangHai CaiJing DaXue,121.496332,31.307672,['18号线'],1
上海赛车场,ShangHai SaiCheChang,121.226098,31.331898,['11号线'],1
上海马戏城,ShangHai MaXiCheng,121.452023,31.279895,['1号线'],1
下南路,XiaNan Lu,121.540189,31.179295,['13号线'],1
下沙,XiaSha,121.588988,31.054396,['18号线'],1
世博会博物馆,ShiBoHui BoWuGuan,121.481592,31.197572,['13号线'],1
世博大道,ShiBo DaDao,121.484313,31.182789,['13号线'],1
世纪公园,ShiJi GongYuan,121.550909,31.209421,['2号线'],1
世纪大道,ShiJi DaDao,121.527213,31.228682,"['2号线', '4号线', '6号线', '9号线']",4
东兰路,DongLan Lu,121.391919,31.155826,['12号线'],1
东城一路,DongCheng YiLu,121.532093,31.03039,['浦江线'],1
东安路,DongAn Lu,121.454897,31.190819,"['4号线', '7号线']",2
东宝兴路,DongBaoXing Lu,121.480202,31.259886,['3号线'],1
东川路,DongChuan Lu,121.419901,31.018197,['5号线'],1
东方体育中心,DongFang TiYuZhongXin,121.480304,31.153366,"['11号线', '6号线', '8号线']",3
东方绿舟,DongFang LvZhou,121.019534,31.098544,['17号线'],1
东明路,dong ming lu,121.510868,31.172646,"['13号线', '6号线']",2
东陆路,DongLu Lu,121.579124,31.282533,['12号线'],1
东靖路,DongJing Lu,121.588736,31.290684,['6号线'],1
中兴路,ZhongXing Lu,121.469026,31.253228,['8号线'],1
中华艺术宫,ZhongHua YiShu Gong,121.493626,31.185242,['8号线'],1
中宁路,ZhongNing Lu,121.414541,31.245059,['14号线'],1
中山公园,ZhongShan GongYuan,121.415773,31.217948,"['2号线', '3号线', '4号线']",3
中山北路,ZhongShan BeiLu,121.459204,31.258891,['1号线'],1
中春路,ZhongChun Lu,121.334596,31.149766,"['9号线', '市域机场线']",2
中潭路,ZhongTan Lu,121.441001,31.254568,"['3号线', '4号线']",2
中科路,ZhongKe Lu,121.602465,31.178862,['13号线'],1
丰庄,FengZhuang,121.355141,31.242553,['13号线'],1
丰翔路,FengXiang Lu,121.380872,31.308218,['15号线'],1
临平路,LinPing Lu,121.500696,31.260874,['4号线'],1
临沂新村,LinYi XinCun,121.516695,31.193202,['6号线'],1
临洮路,LinTao Lu,121.33086,31.263059,['14号线'],1
临港大道,LinGang DaDao,121.910851,30.923519,['16号线'],1
丹阳路,DanYang Lu,121.53116,31.253815,['18号线'],1
乐秀路,LeXiu Lu,121.314103,31.265363,['14号线'],1
九亭,JiuTing,121.319423,31.137252,['9号线'],1
书院,ShuYuan,121.85052,30.959264,['16号线'],1
云台路,YunTai Lu,121.500439,31.182212,['7号线'],1
云山路,YunShan Lu,121.571153,31.250969,"['14号线', '6号线']",2
云锦路,YunJin Lu,121.458519,31.166488,['11号线'],1
云顺路,YunShun Lu,121.600336,31.237064,['14号线'],1
五洲大道,WuZhou DaDao,121.589212,31.302569,['6号线'],1
五莲路,WuLian Lu,121.587866,31.272025,['6号线'],1
五角场,WuJiaoChang,121.514632,31.298043,['10号线'],1
交通大学,JiaoTong DaXue,121.435253,31.202213,"['10号线', '11号线']",2
人民广场,RenMin GuangChang,121.475108,31.232687,"['1号线', '2号线', '8号线']",3
伊犁路,YiLi Lu,121.403899,31.19888,['10号线'],1
佘山,SheShan,121.229686,31.104097,['9号线'],1
元江路,YuanJiang Lu,121.431901,31.062815,['15号线'],1
兆丰路,ZhaoFeng Lu,121.150315,31.289048,['11号线'],1
光明路,GuangMing Lu,121.117186,31.29621,['11号线'],1
共富新村,GongFu XinCun,121.434063,31.355082,['1号线'],1
共康路,GongKang Lu,121.447063,31.318936,['1号线'],1
凌兆新村,LingZhao XinCun,121.489663,31.141301,['8号线'],1
凌空路,LingKong Lu,121.724095,31.192861,['2号线'],1
刘行,LiuHang,121.362376,31.357586,['7号线'],1
创新中路,ChuangXin ZhongLu,121.673713,31.213871,['2号线'],1
剑川路,JianChuan Lu,121.416582,31.026483,['5号线'],1
北中路,BeiZhong Lu,121.561355,31.182762,['18号线'],1
北新泾,BeiXinJing,121.373998,31.216395,['2号线'],1
