时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,2.0
5,8,1.0
5,9,2.0
5,10,6.0
5,11,12.0
6,0,13.0
6,1,11.0
6,2,21.0
6,3,21.0
6,4,35.0
6,5,41.0
6,6,23.0
6,7,53.0
6,8,34.0
6,9,81.0
6,10,34.0
6,11,49.0
7,0,53.0
7,1,69.0
7,2,98.0
7,3,79.0
7,4,102.0
7,5,83.0
7,6,117.0
7,7,124.0
7,8,178.0
7,9,141.0
7,10,201.0
7,11,154.0
8,0,229.0
8,1,153.0
8,2,324.0
8,3,166.0
8,4,230.0
8,5,156.0
8,6,229.0
8,7,170.0
8,8,215.0
8,9,159.0
8,10,184.0
8,11,122.0
9,0,166.0
9,1,93.0
9,2,115.0
9,3,66.0
9,4,131.0
9,5,80.0
9,6,88.0
9,7,78.0
9,8,68.0
9,9,45.0
9,10,62.0
9,11,44.0
10,0,88.0
10,1,48.0
10,2,80.0
10,3,32.0
10,4,39.0
10,5,61.0
10,6,52.0
10,7,56.0
10,8,32.0
10,9,76.0
10,10,33.0
10,11,75.0
11,0,31.0
11,1,42.0
11,2,42.0
11,3,59.0
11,4,28.0
11,5,48.0
11,6,22.0
11,7,44.0
11,8,32.0
11,9,50.0
11,10,11.0
11,11,41.0
12,0,41.0
12,1,51.0
12,2,27.0
12,3,60.0
12,4,43.0
12,5,58.0
12,6,37.0
12,7,51.0
12,8,34.0
12,9,48.0
12,10,38.0
12,11,70.0
13,0,40.0
13,1,36.0
13,2,21.0
13,3,50.0
13,4,38.0
13,5,70.0
13,6,30.0
13,7,51.0
13,8,50.0
13,9,65.0
13,10,44.0
13,11,53.0
14,0,31.0
14,1,62.0
14,2,44.0
14,3,41.0
14,4,26.0
14,5,63.0
14,6,33.0
14,7,96.0
14,8,43.0
14,9,52.0
14,10,31.0
14,11,69.0
15,0,34.0
15,1,54.0
15,2,32.0
15,3,58.0
15,4,33.0
15,5,75.0
15,6,34.0
15,7,58.0
15,8,30.0
15,9,70.0
15,10,44.0
15,11,80.0
16,0,42.0
16,1,74.0
16,2,44.0
16,3,96.0
16,4,52.0
16,5,74.0
16,6,52.0
16,7,72.0
16,8,66.0
16,9,78.0
16,10,67.0
16,11,113.0
17,0,58.0
17,1,116.0
17,2,77.0
17,3,127.0
17,4,65.0
17,5,129.0
17,6,94.0
17,7,105.0
17,8,91.0
17,9,171.0
17,10,203.0
17,11,69.0
18,0,200.0
18,1,23.0
18,2,211.0
18,3,51.0
18,4,219.0
18,5,46.0
18,6,186.0
18,7,28.0
18,8,219.0
18,9,24.0
18,10,198.0
18,11,16.0
19,0,163.0
19,1,27.0
19,2,135.0
19,3,28.0
19,4,158.0
19,5,16.0
19,6,138.0
19,7,20.0
19,8,86.0
19,9,23.0
19,10,83.0
19,11,24.0
20,0,57.0
20,1,11.0
20,2,57.0
20,3,13.0
20,4,73.0
20,5,5.0
20,6,61.0
20,7,18.0
20,8,58.0
20,9,25.0
20,10,58.0
20,11,9.0
21,0,58.0
21,1,14.0
21,2,14.0
21,3,64.0
21,4,6.0
21,5,79.0
21,6,13.0
21,7,7.0
21,8,70.0
21,9,9.0
21,10,76.0
21,11,5.0
22,0,9.0
22,1,49.0
22,2,14.0
22,3,47.0
22,4,10.0
22,5,2.0
22,6,51.0
22,7,1.0
22,8,26.0
22,9,15.0
22,10,1.0
22,11,18.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
