时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,4.0
5,9,2.0
5,10,1.0
5,11,3.0
6,0,8.0
6,1,11.0
6,2,17.0
6,3,35.0
6,4,21.0
6,5,22.0
6,6,30.0
6,7,24.0
6,8,25.0
6,9,39.0
6,10,40.0
6,11,44.0
7,0,49.0
7,1,67.0
7,2,63.0
7,3,73.0
7,4,84.0
7,5,90.0
7,6,101.0
7,7,118.0
7,8,127.0
7,9,151.0
7,10,169.0
7,11,123.0
8,0,165.0
8,1,217.0
8,2,214.0
8,3,233.0
8,4,185.0
8,5,224.0
8,6,228.0
8,7,223.0
8,8,208.0
8,9,221.0
8,10,213.0
8,11,177.0
9,0,169.0
9,1,158.0
9,2,141.0
9,3,162.0
9,4,142.0
9,5,164.0
9,6,126.0
9,7,115.0
9,8,100.0
9,9,88.0
9,10,111.0
9,11,108.0
10,0,91.0
10,1,87.0
10,2,87.0
10,3,79.0
10,4,65.0
10,5,79.0
10,6,70.0
10,7,77.0
10,8,69.0
10,9,54.0
10,10,71.0
10,11,54.0
11,0,78.0
11,1,70.0
11,2,55.0
11,3,54.0
11,4,58.0
11,5,53.0
11,6,60.0
11,7,83.0
11,8,47.0
11,9,61.0
11,10,55.0
11,11,61.0
12,0,46.0
12,1,53.0
12,2,66.0
12,3,52.0
12,4,55.0
12,5,69.0
12,6,61.0
12,7,55.0
12,8,82.0
12,9,75.0
12,10,51.0
12,11,52.0
13,0,52.0
13,1,68.0
13,2,74.0
13,3,73.0
13,4,81.0
13,5,85.0
13,6,62.0
13,7,75.0
13,8,92.0
13,9,69.0
13,10,102.0
13,11,85.0
14,0,68.0
14,1,89.0
14,2,82.0
14,3,92.0
14,4,81.0
14,5,88.0
14,6,76.0
14,7,76.0
14,8,81.0
14,9,77.0
14,10,59.0
14,11,68.0
15,0,92.0
15,1,66.0
15,2,75.0
15,3,77.0
15,4,88.0
15,5,96.0
15,6,65.0
15,7,93.0
15,8,99.0
15,9,101.0
15,10,71.0
15,11,109.0
16,0,147.0
16,1,124.0
16,2,109.0
16,3,87.0
16,4,89.0
16,5,84.0
16,6,134.0
16,7,112.0
16,8,130.0
16,9,112.0
16,10,137.0
16,11,128.0
17,0,187.0
17,1,222.0
17,2,184.0
17,3,154.0
17,4,183.0
17,5,180.0
17,6,154.0
17,7,203.0
17,8,171.0
17,9,197.0
17,10,156.0
17,11,138.0
18,0,163.0
18,1,153.0
18,2,157.0
18,3,175.0
18,4,155.0
18,5,158.0
18,6,141.0
18,7,163.0
18,8,114.0
18,9,141.0
18,10,117.0
18,11,97.0
19,0,89.0
19,1,99.0
19,2,102.0
19,3,86.0
19,4,82.0
19,5,82.0
19,6,62.0
19,7,68.0
19,8,42.0
19,9,69.0
19,10,44.0
19,11,55.0
20,0,51.0
20,1,52.0
20,2,59.0
20,3,56.0
20,4,60.0
20,5,56.0
20,6,62.0
20,7,34.0
20,8,30.0
20,9,35.0
20,10,34.0
20,11,25.0
21,0,47.0
21,1,32.0
21,2,37.0
21,3,29.0
21,4,41.0
21,5,32.0
21,6,38.0
21,7,36.0
21,8,29.0
21,9,38.0
21,10,41.0
21,11,49.0
22,0,27.0
22,1,29.0
22,2,25.0
22,3,26.0
22,4,15.0
22,5,13.0
22,6,10.0
22,7,4.0
22,8,2.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
