时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,3.0
5,2,1.0
5,3,1.0
5,4,1.0
5,5,4.0
5,6,3.0
5,7,0.0
5,8,3.0
5,9,22.0
5,10,3.0
5,11,4.0
6,0,10.0
6,1,9.0
6,2,9.0
6,3,19.0
6,4,31.0
6,5,30.0
6,6,26.0
6,7,45.0
6,8,59.0
6,9,42.0
6,10,74.0
6,11,68.0
7,0,57.0
7,1,87.0
7,2,86.0
7,3,136.0
7,4,100.0
7,5,113.0
7,6,154.0
7,7,179.0
7,8,193.0
7,9,193.0
7,10,203.0
7,11,232.0
8,0,304.0
8,1,319.0
8,2,294.0
8,3,408.0
8,4,257.0
8,5,416.0
8,6,505.0
8,7,417.0
8,8,361.0
8,9,409.0
8,10,213.0
8,11,367.0
9,0,197.0
9,1,203.0
9,2,344.0
9,3,237.0
9,4,151.0
9,5,313.0
9,6,168.0
9,7,149.0
9,8,110.0
9,9,203.0
9,10,218.0
9,11,92.0
10,0,132.0
10,1,143.0
10,2,85.0
10,3,125.0
10,4,128.0
10,5,102.0
10,6,109.0
10,7,92.0
10,8,107.0
10,9,137.0
10,10,117.0
10,11,85.0
11,0,115.0
11,1,114.0
11,2,111.0
11,3,109.0
11,4,102.0
11,5,98.0
11,6,91.0
11,7,89.0
11,8,131.0
11,9,86.0
11,10,108.0
11,11,129.0
12,0,98.0
12,1,93.0
12,2,158.0
12,3,106.0
12,4,89.0
12,5,130.0
12,6,114.0
12,7,100.0
12,8,96.0
12,9,116.0
12,10,123.0
12,11,109.0
13,0,90.0
13,1,165.0
13,2,117.0
13,3,120.0
13,4,133.0
13,5,97.0
13,6,92.0
13,7,122.0
13,8,90.0
13,9,114.0
13,10,104.0
13,11,58.0
14,0,147.0
14,1,125.0
14,2,124.0
14,3,88.0
14,4,105.0
14,5,122.0
14,6,123.0
14,7,103.0
14,8,109.0
14,9,116.0
14,10,145.0
14,11,84.0
15,0,120.0
15,1,114.0
15,2,113.0
15,3,107.0
15,4,132.0
15,5,106.0
15,6,145.0
15,7,127.0
15,8,116.0
15,9,120.0
15,10,134.0
15,11,127.0
16,0,137.0
16,1,127.0
16,2,147.0
16,3,140.0
16,4,67.0
16,5,182.0
16,6,106.0
16,7,175.0
16,8,107.0
16,9,159.0
16,10,200.0
16,11,104.0
17,0,238.0
17,1,226.0
17,2,253.0
17,3,298.0
17,4,271.0
17,5,264.0
17,6,254.0
17,7,295.0
17,8,316.0
17,9,341.0
17,10,319.0
17,11,314.0
18,0,268.0
18,1,387.0
18,2,371.0
18,3,284.0
18,4,391.0
18,5,328.0
18,6,343.0
18,7,282.0
18,8,314.0
18,9,337.0
18,10,325.0
18,11,235.0
19,0,244.0
19,1,215.0
19,2,227.0
19,3,191.0
19,4,202.0
19,5,188.0
19,6,170.0
19,7,146.0
19,8,154.0
19,9,127.0
19,10,138.0
19,11,132.0
20,0,137.0
20,1,120.0
20,2,135.0
20,3,66.0
20,4,122.0
20,5,130.0
20,6,144.0
20,7,73.0
20,8,130.0
20,9,97.0
20,10,137.0
20,11,107.0
21,0,89.0
21,1,155.0
21,2,137.0
21,3,158.0
21,4,123.0
21,5,73.0
21,6,108.0
21,7,100.0
21,8,113.0
21,9,102.0
21,10,76.0
21,11,133.0
22,0,118.0
22,1,142.0
22,2,23.0
22,3,26.0
22,4,42.0
22,5,37.0
22,6,28.0
22,7,24.0
22,8,16.0
22,9,9.0
22,10,6.0
22,11,11.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
