时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,0.0
5,7,3.0
5,8,3.0
5,9,9.0
5,10,9.0
5,11,15.0
6,0,22.0
6,1,29.0
6,2,21.0
6,3,36.0
6,4,42.0
6,5,81.0
6,6,73.0
6,7,91.0
6,8,80.0
6,9,112.0
6,10,123.0
6,11,170.0
7,0,225.0
7,1,246.0
7,2,237.0
7,3,251.0
7,4,238.0
7,5,249.0
7,6,302.0
7,7,324.0
7,8,341.0
7,9,313.0
7,10,333.0
7,11,402.0
8,0,382.0
8,1,410.0
8,2,480.0
8,3,495.0
8,4,484.0
8,5,628.0
8,6,562.0
8,7,673.0
8,8,707.0
8,9,610.0
8,10,662.0
8,11,569.0
9,0,489.0
9,1,500.0
9,2,454.0
9,3,520.0
9,4,449.0
9,5,352.0
9,6,359.0
9,7,400.0
9,8,288.0
9,9,229.0
9,10,282.0
9,11,234.0
10,0,194.0
10,1,187.0
10,2,186.0
10,3,162.0
10,4,186.0
10,5,147.0
10,6,168.0
10,7,127.0
10,8,129.0
10,9,110.0
10,10,114.0
10,11,113.0
11,0,122.0
11,1,121.0
11,2,117.0
11,3,107.0
11,4,83.0
11,5,120.0
11,6,170.0
11,7,126.0
11,8,111.0
11,9,115.0
11,10,115.0
11,11,101.0
12,0,93.0
12,1,85.0
12,2,106.0
12,3,116.0
12,4,108.0
12,5,103.0
12,6,106.0
12,7,134.0
12,8,127.0
12,9,115.0
12,10,120.0
12,11,125.0
13,0,111.0
13,1,115.0
13,2,143.0
13,3,149.0
13,4,116.0
13,5,137.0
13,6,144.0
13,7,127.0
13,8,132.0
13,9,142.0
13,10,112.0
13,11,143.0
14,0,103.0
14,1,113.0
14,2,122.0
14,3,125.0
14,4,111.0
14,5,122.0
14,6,123.0
14,7,118.0
14,8,127.0
14,9,145.0
14,10,107.0
14,11,147.0
15,0,129.0
15,1,156.0
15,2,138.0
15,3,125.0
15,4,127.0
15,5,151.0
15,6,143.0
15,7,171.0
15,8,185.0
15,9,135.0
15,10,140.0
15,11,178.0
16,0,169.0
16,1,178.0
16,2,184.0
16,3,192.0
16,4,186.0
16,5,202.0
16,6,207.0
16,7,250.0
16,8,227.0
16,9,259.0
16,10,271.0
16,11,203.0
17,0,318.0
17,1,397.0
17,2,412.0
17,3,406.0
17,4,401.0
17,5,422.0
17,6,380.0
17,7,464.0
17,8,488.0
17,9,458.0
17,10,458.0
17,11,418.0
18,0,395.0
18,1,447.0
18,2,561.0
18,3,534.0
18,4,524.0
18,5,509.0
18,6,422.0
18,7,440.0
18,8,435.0
18,9,388.0
18,10,351.0
18,11,402.0
19,0,274.0
19,1,310.0
19,2,280.0
19,3,250.0
19,4,248.0
19,5,185.0
19,6,190.0
19,7,175.0
19,8,157.0
19,9,175.0
19,10,163.0
19,11,160.0
20,0,119.0
20,1,111.0
20,2,138.0
20,3,135.0
20,4,142.0
20,5,108.0
20,6,107.0
20,7,90.0
20,8,123.0
20,9,115.0
20,10,96.0
20,11,110.0
21,0,140.0
21,1,134.0
21,2,137.0
21,3,120.0
21,4,138.0
21,5,107.0
21,6,88.0
21,7,102.0
21,8,130.0
21,9,99.0
21,10,97.0
21,11,95.0
22,0,97.0
22,1,79.0
22,2,98.0
22,3,67.0
22,4,59.0
22,5,56.0
22,6,63.0
22,7,54.0
22,8,34.0
22,9,27.0
22,10,10.0
22,11,20.0
23,0,8.0
23,1,1.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
