时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,3.0
5,7,3.0
5,8,2.0
5,9,1.0
5,10,1.0
5,11,4.0
6,0,6.0
6,1,6.0
6,2,8.0
6,3,10.0
6,4,10.0
6,5,15.0
6,6,28.0
6,7,38.0
6,8,30.0
6,9,39.0
6,10,47.0
6,11,53.0
7,0,31.0
7,1,47.0
7,2,82.0
7,3,85.0
7,4,98.0
7,5,119.0
7,6,153.0
7,7,127.0
7,8,216.0
7,9,232.0
7,10,212.0
7,11,315.0
8,0,427.0
8,1,396.0
8,2,657.0
8,3,492.0
8,4,595.0
8,5,572.0
8,6,512.0
8,7,814.0
8,8,686.0
8,9,766.0
8,10,770.0
8,11,486.0
9,0,395.0
9,1,492.0
9,2,414.0
9,3,287.0
9,4,244.0
9,5,325.0
9,6,184.0
9,7,180.0
9,8,169.0
9,9,175.0
9,10,166.0
9,11,121.0
10,0,125.0
10,1,103.0
10,2,120.0
10,3,104.0
10,4,95.0
10,5,109.0
10,6,93.0
10,7,102.0
10,8,93.0
10,9,90.0
10,10,86.0
10,11,80.0
11,0,90.0
11,1,90.0
11,2,57.0
11,3,81.0
11,4,80.0
11,5,87.0
11,6,69.0
11,7,73.0
11,8,81.0
11,9,77.0
11,10,71.0
11,11,71.0
12,0,69.0
12,1,82.0
12,2,80.0
12,3,86.0
12,4,75.0
12,5,92.0
12,6,78.0
12,7,82.0
12,8,99.0
12,9,90.0
12,10,97.0
12,11,78.0
13,0,57.0
13,1,74.0
13,2,85.0
13,3,75.0
13,4,93.0
13,5,98.0
13,6,77.0
13,7,89.0
13,8,87.0
13,9,85.0
13,10,82.0
13,11,78.0
14,0,77.0
14,1,83.0
14,2,76.0
14,3,75.0
14,4,85.0
14,5,87.0
14,6,95.0
14,7,83.0
14,8,79.0
14,9,70.0
14,10,91.0
14,11,82.0
15,0,80.0
15,1,101.0
15,2,88.0
15,3,89.0
15,4,81.0
15,5,78.0
15,6,99.0
15,7,93.0
15,8,92.0
15,9,106.0
15,10,103.0
15,11,87.0
16,0,98.0
16,1,98.0
16,2,108.0
16,3,108.0
16,4,122.0
16,5,112.0
16,6,111.0
16,7,174.0
16,8,154.0
16,9,119.0
16,10,140.0
16,11,152.0
17,0,147.0
17,1,215.0
17,2,285.0
17,3,303.0
17,4,217.0
17,5,312.0
17,6,252.0
17,7,496.0
17,8,637.0
17,9,652.0
17,10,464.0
17,11,459.0
18,0,464.0
18,1,542.0
18,2,638.0
18,3,632.0
18,4,440.0
18,5,391.0
18,6,287.0
18,7,289.0
18,8,251.0
18,9,235.0
18,10,195.0
18,11,173.0
19,0,159.0
19,1,166.0
19,2,143.0
19,3,124.0
19,4,108.0
19,5,117.0
19,6,98.0
19,7,88.0
19,8,87.0
19,9,91.0
19,10,60.0
19,11,76.0
20,0,51.0
20,1,70.0
20,2,84.0
20,3,54.0
20,4,81.0
20,5,46.0
20,6,67.0
20,7,80.0
20,8,81.0
20,9,46.0
20,10,51.0
20,11,50.0
21,0,50.0
21,1,59.0
21,2,56.0
21,3,74.0
21,4,50.0
21,5,79.0
21,6,64.0
21,7,117.0
21,8,153.0
21,9,85.0
21,10,58.0
21,11,31.0
22,0,23.0
22,1,39.0
22,2,26.0
22,3,22.0
22,4,7.0
22,5,13.0
22,6,9.0
22,7,5.0
22,8,13.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
