时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,3.0
5,3,2.0
5,4,1.0
5,5,6.0
5,6,6.0
5,7,2.0
5,8,7.0
5,9,5.0
5,10,10.0
5,11,13.0
6,0,14.0
6,1,15.0
6,2,39.0
6,3,21.0
6,4,27.0
6,5,26.0
6,6,29.0
6,7,48.0
6,8,46.0
6,9,49.0
6,10,53.0
6,11,65.0
7,0,63.0
7,1,91.0
7,2,91.0
7,3,126.0
7,4,118.0
7,5,135.0
7,6,150.0
7,7,169.0
7,8,272.0
7,9,191.0
7,10,287.0
7,11,316.0
8,0,310.0
8,1,401.0
8,2,409.0
8,3,398.0
8,4,474.0
8,5,354.0
8,6,397.0
8,7,430.0
8,8,355.0
8,9,341.0
8,10,354.0
8,11,292.0
9,0,287.0
9,1,242.0
9,2,240.0
9,3,244.0
9,4,251.0
9,5,240.0
9,6,161.0
9,7,157.0
9,8,144.0
9,9,140.0
9,10,132.0
9,11,100.0
10,0,98.0
10,1,77.0
10,2,105.0
10,3,100.0
10,4,99.0
10,5,89.0
10,6,65.0
10,7,69.0
10,8,64.0
10,9,77.0
10,10,89.0
10,11,79.0
11,0,81.0
11,1,87.0
11,2,81.0
11,3,63.0
11,4,91.0
11,5,73.0
11,6,72.0
11,7,68.0
11,8,87.0
11,9,77.0
11,10,73.0
11,11,71.0
12,0,94.0
12,1,78.0
12,2,98.0
12,3,87.0
12,4,69.0
12,5,69.0
12,6,76.0
12,7,71.0
12,8,73.0
12,9,90.0
12,10,78.0
12,11,61.0
13,0,87.0
13,1,86.0
13,2,81.0
13,3,87.0
13,4,93.0
13,5,79.0
13,6,79.0
13,7,72.0
13,8,103.0
13,9,90.0
13,10,98.0
13,11,74.0
14,0,85.0
14,1,85.0
14,2,96.0
14,3,87.0
14,4,61.0
14,5,67.0
14,6,77.0
14,7,79.0
14,8,73.0
14,9,97.0
14,10,82.0
14,11,64.0
15,0,83.0
15,1,71.0
15,2,74.0
15,3,87.0
15,4,111.0
15,5,86.0
15,6,76.0
15,7,95.0
15,8,96.0
15,9,101.0
15,10,86.0
15,11,103.0
16,0,92.0
16,1,88.0
16,2,108.0
16,3,87.0
16,4,111.0
16,5,80.0
16,6,93.0
16,7,128.0
16,8,109.0
16,9,117.0
16,10,157.0
16,11,135.0
17,0,186.0
17,1,165.0
17,2,236.0
17,3,216.0
17,4,265.0
17,5,197.0
17,6,222.0
17,7,285.0
17,8,286.0
17,9,323.0
17,10,276.0
17,11,186.0
18,0,305.0
18,1,246.0
18,2,157.0
18,3,389.0
18,4,272.0
18,5,252.0
18,6,269.0
18,7,224.0
18,8,204.0
18,9,253.0
18,10,216.0
18,11,149.0
19,0,212.0
19,1,185.0
19,2,174.0
19,3,150.0
19,4,139.0
19,5,143.0
19,6,131.0
19,7,146.0
19,8,100.0
19,9,127.0
19,10,131.0
19,11,89.0
20,0,109.0
20,1,82.0
20,2,103.0
20,3,119.0
20,4,137.0
20,5,44.0
20,6,76.0
20,7,101.0
20,8,94.0
20,9,56.0
20,10,78.0
20,11,90.0
21,0,114.0
21,1,105.0
21,2,55.0
21,3,109.0
21,4,95.0
21,5,111.0
21,6,98.0
21,7,21.0
21,8,90.0
21,9,74.0
21,10,82.0
21,11,84.0
22,0,37.0
22,1,114.0
22,2,67.0
22,3,56.0
22,4,50.0
22,5,5.0
22,6,60.0
22,7,20.0
22,8,41.0
22,9,21.0
22,10,10.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
