时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,1.0
5,4,0.0
5,5,0.0
5,6,4.0
5,7,4.0
5,8,8.0
5,9,7.0
5,10,12.0
5,11,5.0
6,0,2.0
6,1,23.0
6,2,23.0
6,3,19.0
6,4,38.0
6,5,40.0
6,6,39.0
6,7,41.0
6,8,51.0
6,9,48.0
6,10,77.0
6,11,113.0
7,0,108.0
7,1,125.0
7,2,141.0
7,3,142.0
7,4,139.0
7,5,140.0
7,6,153.0
7,7,198.0
7,8,210.0
7,9,223.0
7,10,243.0
7,11,329.0
8,0,353.0
8,1,458.0
8,2,618.0
8,3,699.0
8,4,625.0
8,5,865.0
8,6,680.0
8,7,858.0
8,8,640.0
8,9,841.0
8,10,736.0
8,11,643.0
9,0,419.0
9,1,437.0
9,2,379.0
9,3,414.0
9,4,347.0
9,5,336.0
9,6,226.0
9,7,277.0
9,8,238.0
9,9,240.0
9,10,204.0
9,11,145.0
10,0,181.0
10,1,172.0
10,2,198.0
10,3,182.0
10,4,120.0
10,5,176.0
10,6,116.0
10,7,140.0
10,8,149.0
10,9,139.0
10,10,113.0
10,11,112.0
11,0,118.0
11,1,110.0
11,2,121.0
11,3,114.0
11,4,109.0
11,5,110.0
11,6,95.0
11,7,117.0
11,8,102.0
11,9,135.0
11,10,108.0
11,11,120.0
12,0,92.0
12,1,100.0
12,2,98.0
12,3,105.0
12,4,109.0
12,5,102.0
12,6,106.0
12,7,100.0
12,8,117.0
12,9,132.0
12,10,122.0
12,11,97.0
13,0,82.0
13,1,134.0
13,2,116.0
13,3,114.0
13,4,130.0
13,5,134.0
13,6,116.0
13,7,137.0
13,8,110.0
13,9,124.0
13,10,107.0
13,11,98.0
14,0,135.0
14,1,108.0
14,2,114.0
14,3,112.0
14,4,94.0
14,5,117.0
14,6,111.0
14,7,110.0
14,8,90.0
14,9,125.0
14,10,108.0
14,11,113.0
15,0,133.0
15,1,132.0
15,2,119.0
15,3,131.0
15,4,133.0
15,5,109.0
15,6,80.0
15,7,109.0
15,8,98.0
15,9,120.0
15,10,115.0
15,11,121.0
16,0,111.0
16,1,110.0
16,2,125.0
16,3,131.0
16,4,98.0
16,5,112.0
16,6,141.0
16,7,155.0
16,8,144.0
16,9,180.0
16,10,200.0
16,11,205.0
17,0,204.0
17,1,340.0
17,2,340.0
17,3,306.0
17,4,285.0
17,5,255.0
17,6,338.0
17,7,626.0
17,8,640.0
17,9,504.0
17,10,421.0
17,11,417.0
18,0,408.0
18,1,609.0
18,2,688.0
18,3,525.0
18,4,499.0
18,5,412.0
18,6,371.0
18,7,363.0
18,8,383.0
18,9,337.0
18,10,288.0
18,11,193.0
19,0,213.0
19,1,232.0
19,2,208.0
19,3,194.0
19,4,175.0
19,5,182.0
19,6,138.0
19,7,182.0
19,8,195.0
19,9,174.0
19,10,161.0
19,11,131.0
20,0,143.0
20,1,145.0
20,2,103.0
20,3,130.0
20,4,132.0
20,5,75.0
20,6,92.0
20,7,62.0
20,8,91.0
20,9,88.0
20,10,84.0
20,11,61.0
21,0,78.0
21,1,96.0
21,2,70.0
21,3,96.0
21,4,71.0
21,5,81.0
21,6,91.0
21,7,78.0
21,8,75.0
21,9,37.0
21,10,57.0
21,11,81.0
22,0,65.0
22,1,58.0
22,2,72.0
22,3,30.0
22,4,41.0
22,5,37.0
22,6,27.0
22,7,24.0
22,8,8.0
22,9,3.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
