时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,2.0
5,2,2.0
5,3,0.0
5,4,4.0
5,5,7.0
5,6,10.0
5,7,13.0
5,8,12.0
5,9,16.0
5,10,9.0
5,11,14.0
6,0,22.0
6,1,10.0
6,2,21.0
6,3,30.0
6,4,27.0
6,5,44.0
6,6,43.0
6,7,67.0
6,8,71.0
6,9,84.0
6,10,87.0
6,11,104.0
7,0,122.0
7,1,110.0
7,2,149.0
7,3,117.0
7,4,180.0
7,5,177.0
7,6,199.0
7,7,223.0
7,8,316.0
7,9,267.0
7,10,299.0
7,11,352.0
8,0,310.0
8,1,402.0
8,2,432.0
8,3,408.0
8,4,410.0
8,5,462.0
8,6,431.0
8,7,372.0
8,8,443.0
8,9,348.0
8,10,344.0
8,11,249.0
9,0,248.0
9,1,234.0
9,2,215.0
9,3,173.0
9,4,168.0
9,5,147.0
9,6,131.0
9,7,108.0
9,8,109.0
9,9,98.0
9,10,92.0
9,11,92.0
10,0,71.0
10,1,54.0
10,2,85.0
10,3,87.0
10,4,59.0
10,5,75.0
10,6,55.0
10,7,82.0
10,8,58.0
10,9,57.0
10,10,63.0
10,11,51.0
11,0,57.0
11,1,46.0
11,2,49.0
11,3,68.0
11,4,61.0
11,5,63.0
11,6,59.0
11,7,62.0
11,8,57.0
11,9,63.0
11,10,61.0
11,11,63.0
12,0,60.0
12,1,46.0
12,2,67.0
12,3,57.0
12,4,68.0
12,5,60.0
12,6,73.0
12,7,57.0
12,8,65.0
12,9,60.0
12,10,66.0
12,11,50.0
13,0,66.0
13,1,59.0
13,2,64.0
13,3,57.0
13,4,87.0
13,5,61.0
13,6,59.0
13,7,43.0
13,8,81.0
13,9,56.0
13,10,59.0
13,11,61.0
14,0,62.0
14,1,65.0
14,2,57.0
14,3,54.0
14,4,62.0
14,5,58.0
14,6,67.0
14,7,68.0
14,8,65.0
14,9,80.0
14,10,74.0
14,11,68.0
15,0,71.0
15,1,85.0
15,2,68.0
15,3,82.0
15,4,80.0
15,5,62.0
15,6,60.0
15,7,67.0
15,8,87.0
15,9,91.0
15,10,87.0
15,11,74.0
16,0,74.0
16,1,79.0
16,2,101.0
16,3,112.0
16,4,114.0
16,5,108.0
16,6,116.0
16,7,106.0
16,8,126.0
16,9,108.0
16,10,102.0
16,11,139.0
17,0,172.0
17,1,198.0
17,2,226.0
17,3,203.0
17,4,185.0
17,5,210.0
17,6,187.0
17,7,215.0
17,8,264.0
17,9,275.0
17,10,285.0
17,11,248.0
18,0,269.0
18,1,237.0
18,2,236.0
18,3,296.0
18,4,252.0
18,5,260.0
18,6,253.0
18,7,258.0
18,8,224.0
18,9,212.0
18,10,235.0
18,11,216.0
19,0,202.0
19,1,166.0
19,2,174.0
19,3,152.0
19,4,140.0
19,5,131.0
19,6,124.0
19,7,114.0
19,8,74.0
19,9,99.0
19,10,121.0
19,11,88.0
20,0,97.0
20,1,81.0
20,2,97.0
20,3,103.0
20,4,29.0
20,5,84.0
20,6,103.0
20,7,108.0
20,8,103.0
20,9,31.0
20,10,90.0
20,11,81.0
21,0,60.0
21,1,68.0
21,2,95.0
21,3,96.0
21,4,94.0
21,5,87.0
21,6,30.0
21,7,71.0
21,8,97.0
21,9,81.0
21,10,78.0
21,11,40.0
22,0,56.0
22,1,81.0
22,2,57.0
22,3,8.0
22,4,56.0
22,5,47.0
22,6,46.0
22,7,34.0
22,8,37.0
22,9,24.0
22,10,21.0
22,11,2.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
