时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,2.0
5,7,5.0
5,8,6.0
5,9,9.0
5,10,11.0
5,11,17.0
6,0,31.0
6,1,32.0
6,2,45.0
6,3,34.0
6,4,49.0
6,5,57.0
6,6,41.0
6,7,79.0
6,8,81.0
6,9,82.0
6,10,101.0
6,11,119.0
7,0,85.0
7,1,81.0
7,2,77.0
7,3,120.0
7,4,129.0
7,5,114.0
7,6,126.0
7,7,129.0
7,8,201.0
7,9,181.0
7,10,260.0
7,11,235.0
8,0,326.0
8,1,357.0
8,2,456.0
8,3,380.0
8,4,541.0
8,5,485.0
8,6,514.0
8,7,360.0
8,8,524.0
8,9,470.0
8,10,405.0
8,11,377.0
9,0,309.0
9,1,287.0
9,2,280.0
9,3,221.0
9,4,227.0
9,5,271.0
9,6,227.0
9,7,210.0
9,8,219.0
9,9,172.0
9,10,197.0
9,11,169.0
10,0,194.0
10,1,186.0
10,2,167.0
10,3,120.0
10,4,152.0
10,5,182.0
10,6,180.0
10,7,189.0
10,8,193.0
10,9,150.0
10,10,105.0
10,11,170.0
11,0,157.0
11,1,166.0
11,2,158.0
11,3,129.0
11,4,148.0
11,5,164.0
11,6,187.0
11,7,147.0
11,8,158.0
11,9,128.0
11,10,154.0
11,11,161.0
12,0,141.0
12,1,142.0
12,2,160.0
12,3,128.0
12,4,120.0
12,5,167.0
12,6,175.0
12,7,178.0
12,8,165.0
12,9,144.0
12,10,169.0
12,11,174.0
13,0,153.0
13,1,183.0
13,2,191.0
13,3,151.0
13,4,206.0
13,5,190.0
13,6,188.0
13,7,211.0
13,8,203.0
13,9,184.0
13,10,179.0
13,11,189.0
14,0,180.0
14,1,227.0
14,2,200.0
14,3,136.0
14,4,156.0
14,5,171.0
14,6,161.0
14,7,169.0
14,8,177.0
14,9,181.0
14,10,162.0
14,11,183.0
15,0,179.0
15,1,199.0
15,2,196.0
15,3,184.0
15,4,171.0
15,5,196.0
15,6,153.0
15,7,186.0
15,8,177.0
15,9,143.0
15,10,164.0
15,11,170.0
16,0,187.0
16,1,172.0
16,2,202.0
16,3,179.0
16,4,173.0
16,5,179.0
16,6,219.0
16,7,204.0
16,8,215.0
16,9,217.0
16,10,231.0
16,11,243.0
17,0,271.0
17,1,427.0
17,2,400.0
17,3,412.0
17,4,289.0
17,5,322.0
17,6,307.0
17,7,310.0
17,8,425.0
17,9,424.0
17,10,339.0
17,11,283.0
18,0,280.0
18,1,286.0
18,2,375.0
18,3,373.0
18,4,312.0
18,5,212.0
18,6,244.0
18,7,182.0
18,8,203.0
18,9,188.0
18,10,174.0
18,11,157.0
19,0,114.0
19,1,137.0
19,2,125.0
19,3,79.0
19,4,113.0
19,5,78.0
19,6,71.0
19,7,85.0
19,8,63.0
19,9,55.0
19,10,60.0
19,11,35.0
20,0,46.0
20,1,36.0
20,2,71.0
20,3,48.0
20,4,61.0
20,5,48.0
20,6,38.0
20,7,34.0
20,8,66.0
20,9,36.0
20,10,53.0
20,11,36.0
21,0,34.0
21,1,45.0
21,2,44.0
21,3,57.0
21,4,36.0
21,5,19.0
21,6,45.0
21,7,39.0
21,8,51.0
21,9,23.0
21,10,28.0
21,11,25.0
22,0,24.0
22,1,29.0
22,2,27.0
22,3,10.0
22,4,31.0
22,5,25.0
22,6,15.0
22,7,15.0
22,8,5.0
22,9,11.0
22,10,8.0
22,11,14.0
23,0,3.0
23,1,9.0
23,2,1.0
23,3,4.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
