时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,0.0
5,6,1.0
5,7,10.0
5,8,7.0
5,9,9.0
5,10,5.0
5,11,9.0
6,0,9.0
6,1,18.0
6,2,21.0
6,3,29.0
6,4,25.0
6,5,31.0
6,6,36.0
6,7,51.0
6,8,57.0
6,9,37.0
6,10,64.0
6,11,82.0
7,0,96.0
7,1,95.0
7,2,92.0
7,3,83.0
7,4,155.0
7,5,144.0
7,6,159.0
7,7,200.0
7,8,225.0
7,9,225.0
7,10,282.0
7,11,313.0
8,0,286.0
8,1,287.0
8,2,454.0
8,3,261.0
8,4,424.0
8,5,361.0
8,6,526.0
8,7,389.0
8,8,409.0
8,9,439.0
8,10,378.0
8,11,227.0
9,0,279.0
9,1,224.0
9,2,207.0
9,3,223.0
9,4,178.0
9,5,167.0
9,6,155.0
9,7,141.0
9,8,116.0
9,9,96.0
9,10,97.0
9,11,102.0
10,0,88.0
10,1,82.0
10,2,90.0
10,3,77.0
10,4,77.0
10,5,64.0
10,6,70.0
10,7,69.0
10,8,57.0
10,9,51.0
10,10,51.0
10,11,61.0
11,0,69.0
11,1,36.0
11,2,45.0
11,3,45.0
11,4,42.0
11,5,61.0
11,6,40.0
11,7,54.0
11,8,56.0
11,9,71.0
11,10,65.0
11,11,48.0
12,0,59.0
12,1,56.0
12,2,54.0
12,3,42.0
12,4,50.0
12,5,52.0
12,6,71.0
12,7,60.0
12,8,52.0
12,9,47.0
12,10,72.0
12,11,62.0
13,0,63.0
13,1,58.0
13,2,48.0
13,3,67.0
13,4,63.0
13,5,60.0
13,6,57.0
13,7,63.0
13,8,59.0
13,9,67.0
13,10,61.0
13,11,72.0
14,0,70.0
14,1,80.0
14,2,66.0
14,3,62.0
14,4,66.0
14,5,68.0
14,6,65.0
14,7,52.0
14,8,56.0
14,9,64.0
14,10,61.0
14,11,62.0
15,0,93.0
15,1,75.0
15,2,79.0
15,3,57.0
15,4,69.0
15,5,63.0
15,6,63.0
15,7,67.0
15,8,83.0
15,9,82.0
15,10,85.0
15,11,79.0
16,0,88.0
16,1,104.0
16,2,112.0
16,3,82.0
16,4,105.0
16,5,94.0
16,6,121.0
16,7,112.0
16,8,110.0
16,9,116.0
16,10,112.0
16,11,120.0
17,0,150.0
17,1,208.0
17,2,219.0
17,3,226.0
17,4,237.0
17,5,224.0
17,6,219.0
17,7,263.0
17,8,330.0
17,9,338.0
17,10,235.0
17,11,302.0
18,0,229.0
18,1,242.0
18,2,329.0
18,3,349.0
18,4,302.0
18,5,239.0
18,6,234.0
18,7,205.0
18,8,212.0
18,9,249.0
18,10,157.0
18,11,135.0
19,0,175.0
19,1,148.0
19,2,129.0
19,3,106.0
19,4,95.0
19,5,114.0
19,6,82.0
19,7,85.0
19,8,76.0
19,9,62.0
19,10,64.0
19,11,64.0
20,0,60.0
20,1,56.0
20,2,56.0
20,3,58.0
20,4,57.0
20,5,46.0
20,6,59.0
20,7,55.0
20,8,49.0
20,9,64.0
20,10,43.0
20,11,69.0
21,0,44.0
21,1,74.0
21,2,60.0
21,3,44.0
21,4,57.0
21,5,61.0
21,6,47.0
21,7,40.0
21,8,38.0
21,9,66.0
21,10,46.0
21,11,46.0
22,0,19.0
22,1,47.0
22,2,28.0
22,3,26.0
22,4,34.0
22,5,4.0
22,6,33.0
22,7,17.0
22,8,14.0
22,9,5.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
