时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,0.0
5,6,2.0
5,7,2.0
5,8,3.0
5,9,11.0
5,10,12.0
5,11,17.0
6,0,11.0
6,1,16.0
6,2,19.0
6,3,29.0
6,4,33.0
6,5,25.0
6,6,51.0
6,7,37.0
6,8,42.0
6,9,55.0
6,10,81.0
6,11,51.0
7,0,79.0
7,1,61.0
7,2,81.0
7,3,87.0
7,4,107.0
7,5,101.0
7,6,123.0
7,7,155.0
7,8,171.0
7,9,184.0
7,10,204.0
7,11,188.0
8,0,212.0
8,1,276.0
8,2,297.0
8,3,327.0
8,4,328.0
8,5,301.0
8,6,342.0
8,7,327.0
8,8,424.0
8,9,421.0
8,10,407.0
8,11,472.0
9,0,390.0
9,1,316.0
9,2,360.0
9,3,335.0
9,4,332.0
9,5,319.0
9,6,272.0
9,7,292.0
9,8,236.0
9,9,238.0
9,10,290.0
9,11,235.0
10,0,218.0
10,1,145.0
10,2,175.0
10,3,168.0
10,4,119.0
10,5,150.0
10,6,140.0
10,7,120.0
10,8,144.0
10,9,127.0
10,10,118.0
10,11,115.0
11,0,120.0
11,1,123.0
11,2,114.0
11,3,120.0
11,4,110.0
11,5,129.0
11,6,126.0
11,7,108.0
11,8,151.0
11,9,119.0
11,10,120.0
11,11,139.0
12,0,122.0
12,1,132.0
12,2,141.0
12,3,157.0
12,4,125.0
12,5,87.0
12,6,155.0
12,7,129.0
12,8,146.0
12,9,123.0
12,10,169.0
12,11,143.0
13,0,129.0
13,1,141.0
13,2,153.0
13,3,160.0
13,4,140.0
13,5,167.0
13,6,157.0
13,7,142.0
13,8,164.0
13,9,114.0
13,10,127.0
13,11,171.0
14,0,125.0
14,1,140.0
14,2,119.0
14,3,147.0
14,4,103.0
14,5,153.0
14,6,126.0
14,7,147.0
14,8,152.0
14,9,127.0
14,10,161.0
14,11,107.0
15,0,133.0
15,1,175.0
15,2,131.0
15,3,139.0
15,4,113.0
15,5,138.0
15,6,152.0
15,7,112.0
15,8,182.0
15,9,142.0
15,10,159.0
15,11,160.0
16,0,169.0
16,1,159.0
16,2,143.0
16,3,144.0
16,4,180.0
16,5,142.0
16,6,169.0
16,7,197.0
16,8,180.0
16,9,159.0
16,10,171.0
16,11,220.0
17,0,241.0
17,1,297.0
17,2,290.0
17,3,222.0
17,4,238.0
17,5,259.0
17,6,272.0
17,7,353.0
17,8,394.0
17,9,321.0
17,10,333.0
17,11,302.0
18,0,316.0
18,1,401.0
18,2,499.0
18,3,421.0
18,4,472.0
18,5,421.0
18,6,365.0
18,7,371.0
18,8,321.0
18,9,315.0
18,10,307.0
18,11,265.0
19,0,249.0
19,1,275.0
19,2,218.0
19,3,202.0
19,4,157.0
19,5,180.0
19,6,160.0
19,7,150.0
19,8,177.0
19,9,143.0
19,10,130.0
19,11,144.0
20,0,130.0
20,1,148.0
20,2,128.0
20,3,136.0
20,4,147.0
20,5,120.0
20,6,138.0
20,7,140.0
20,8,133.0
20,9,121.0
20,10,106.0
20,11,128.0
21,0,148.0
21,1,113.0
21,2,103.0
21,3,116.0
21,4,124.0
21,5,131.0
21,6,120.0
21,7,109.0
21,8,132.0
21,9,100.0
21,10,126.0
21,11,122.0
22,0,144.0
22,1,150.0
22,2,80.0
22,3,89.0
22,4,67.0
22,5,56.0
22,6,28.0
22,7,9.0
22,8,13.0
22,9,1.0
22,10,4.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
