时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,2.0
5,5,0.0
5,6,1.0
5,7,0.0
5,8,3.0
5,9,0.0
5,10,2.0
5,11,3.0
6,0,2.0
6,1,3.0
6,2,6.0
6,3,8.0
6,4,7.0
6,5,12.0
6,6,24.0
6,7,13.0
6,8,31.0
6,9,28.0
6,10,27.0
6,11,31.0
7,0,36.0
7,1,45.0
7,2,40.0
7,3,45.0
7,4,70.0
7,5,61.0
7,6,54.0
7,7,94.0
7,8,83.0
7,9,92.0
7,10,101.0
7,11,81.0
8,0,71.0
8,1,141.0
8,2,96.0
8,3,98.0
8,4,112.0
8,5,67.0
8,6,95.0
8,7,107.0
8,8,65.0
8,9,90.0
8,10,80.0
8,11,40.0
9,0,58.0
9,1,48.0
9,2,40.0
9,3,56.0
9,4,48.0
9,5,34.0
9,6,34.0
9,7,34.0
9,8,30.0
9,9,29.0
9,10,31.0
9,11,36.0
10,0,17.0
10,1,15.0
10,2,13.0
10,3,21.0
10,4,14.0
10,5,4.0
10,6,13.0
10,7,19.0
10,8,9.0
10,9,7.0
10,10,12.0
10,11,8.0
11,0,16.0
11,1,7.0
11,2,18.0
11,3,9.0
11,4,10.0
11,5,14.0
11,6,5.0
11,7,7.0
11,8,10.0
11,9,9.0
11,10,14.0
11,11,15.0
12,0,9.0
12,1,10.0
12,2,16.0
12,3,11.0
12,4,11.0
12,5,16.0
12,6,14.0
12,7,13.0
12,8,16.0
12,9,14.0
12,10,10.0
12,11,7.0
13,0,15.0
13,1,15.0
13,2,14.0
13,3,10.0
13,4,18.0
13,5,18.0
13,6,11.0
13,7,13.0
13,8,8.0
13,9,12.0
13,10,7.0
13,11,17.0
14,0,8.0
14,1,8.0
14,2,15.0
14,3,10.0
14,4,10.0
14,5,8.0
14,6,13.0
14,7,8.0
14,8,9.0
14,9,11.0
14,10,13.0
14,11,9.0
15,0,13.0
15,1,18.0
15,2,13.0
15,3,14.0
15,4,14.0
15,5,18.0
15,6,21.0
15,7,14.0
15,8,15.0
15,9,21.0
15,10,8.0
15,11,18.0
16,0,17.0
16,1,10.0
16,2,14.0
16,3,20.0
16,4,22.0
16,5,16.0
16,6,20.0
16,7,16.0
16,8,18.0
16,9,33.0
16,10,25.0
16,11,33.0
17,0,25.0
17,1,61.0
17,2,23.0
17,3,28.0
17,4,49.0
17,5,42.0
17,6,35.0
17,7,53.0
17,8,74.0
17,9,47.0
17,10,49.0
17,11,56.0
18,0,49.0
18,1,62.0
18,2,74.0
18,3,79.0
18,4,61.0
18,5,58.0
18,6,70.0
18,7,61.0
18,8,59.0
18,9,50.0
18,10,57.0
18,11,46.0
19,0,45.0
19,1,41.0
19,2,38.0
19,3,50.0
19,4,33.0
19,5,18.0
19,6,28.0
19,7,38.0
19,8,13.0
19,9,19.0
19,10,14.0
19,11,18.0
20,0,24.0
20,1,21.0
20,2,20.0
20,3,20.0
20,4,5.0
20,5,11.0
20,6,13.0
20,7,8.0
20,8,5.0
20,9,24.0
20,10,12.0
20,11,25.0
21,0,13.0
21,1,26.0
21,2,24.0
21,3,17.0
21,4,16.0
21,5,4.0
21,6,16.0
21,7,13.0
21,8,18.0
21,9,11.0
21,10,3.0
21,11,12.0
22,0,12.0
22,1,1.0
22,2,7.0
22,3,0.0
22,4,6.0
22,5,17.0
22,6,12.0
22,7,9.0
22,8,10.0
22,9,1.0
22,10,4.0
22,11,6.0
23,0,1.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
