时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,1.0
5,5,0.0
5,6,4.0
5,7,7.0
5,8,4.0
5,9,8.0
5,10,6.0
5,11,12.0
6,0,10.0
6,1,24.0
6,2,19.0
6,3,25.0
6,4,23.0
6,5,37.0
6,6,43.0
6,7,35.0
6,8,67.0
6,9,73.0
6,10,50.0
6,11,104.0
7,0,100.0
7,1,118.0
7,2,129.0
7,3,145.0
7,4,130.0
7,5,144.0
7,6,171.0
7,7,204.0
7,8,201.0
7,9,191.0
7,10,245.0
7,11,285.0
8,0,307.0
8,1,298.0
8,2,274.0
8,3,330.0
8,4,292.0
8,5,302.0
8,6,284.0
8,7,258.0
8,8,326.0
8,9,316.0
8,10,209.0
8,11,252.0
9,0,209.0
9,1,170.0
9,2,233.0
9,3,179.0
9,4,140.0
9,5,155.0
9,6,124.0
9,7,179.0
9,8,118.0
9,9,104.0
9,10,99.0
9,11,85.0
10,0,118.0
10,1,95.0
10,2,56.0
10,3,75.0
10,4,87.0
10,5,78.0
10,6,61.0
10,7,79.0
10,8,96.0
10,9,73.0
10,10,55.0
10,11,73.0
11,0,78.0
11,1,80.0
11,2,64.0
11,3,61.0
11,4,79.0
11,5,67.0
11,6,41.0
11,7,79.0
11,8,73.0
11,9,65.0
11,10,68.0
11,11,55.0
12,0,42.0
12,1,72.0
12,2,83.0
12,3,60.0
12,4,79.0
12,5,65.0
12,6,85.0
12,7,76.0
12,8,96.0
12,9,71.0
12,10,80.0
12,11,71.0
13,0,68.0
13,1,65.0
13,2,64.0
13,3,67.0
13,4,68.0
13,5,68.0
13,6,104.0
13,7,73.0
13,8,82.0
13,9,34.0
13,10,85.0
13,11,73.0
14,0,81.0
14,1,74.0
14,2,65.0
14,3,72.0
14,4,65.0
14,5,79.0
14,6,65.0
14,7,77.0
14,8,63.0
14,9,94.0
14,10,71.0
14,11,80.0
15,0,76.0
15,1,90.0
15,2,71.0
15,3,94.0
15,4,77.0
15,5,73.0
15,6,83.0
15,7,76.0
15,8,85.0
15,9,66.0
15,10,87.0
15,11,88.0
16,0,96.0
16,1,94.0
16,2,86.0
16,3,104.0
16,4,86.0
16,5,91.0
16,6,98.0
16,7,124.0
16,8,120.0
16,9,141.0
16,10,112.0
16,11,117.0
17,0,120.0
17,1,212.0
17,2,192.0
17,3,210.0
17,4,206.0
17,5,172.0
17,6,152.0
17,7,195.0
17,8,249.0
17,9,327.0
17,10,220.0
17,11,230.0
18,0,250.0
18,1,260.0
18,2,248.0
18,3,266.0
18,4,242.0
18,5,241.0
18,6,218.0
18,7,236.0
18,8,211.0
18,9,217.0
18,10,185.0
18,11,188.0
19,0,190.0
19,1,123.0
19,2,150.0
19,3,155.0
19,4,147.0
19,5,132.0
19,6,108.0
19,7,126.0
19,8,115.0
19,9,81.0
19,10,102.0
19,11,78.0
20,0,97.0
20,1,77.0
20,2,92.0
20,3,96.0
20,4,111.0
20,5,72.0
20,6,77.0
20,7,74.0
20,8,89.0
20,9,69.0
20,10,77.0
20,11,64.0
21,0,63.0
21,1,49.0
21,2,86.0
21,3,82.0
21,4,78.0
21,5,34.0
21,6,87.0
21,7,104.0
21,8,81.0
21,9,64.0
21,10,27.0
21,11,72.0
22,0,51.0
22,1,75.0
22,2,19.0
22,3,33.0
22,4,31.0
22,5,28.0
22,6,29.0
22,7,4.0
22,8,14.0
22,9,22.0
22,10,4.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
