时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,7.0
5,4,3.0
5,5,3.0
5,6,9.0
5,7,5.0
5,8,14.0
5,9,8.0
5,10,10.0
5,11,6.0
6,0,18.0
6,1,15.0
6,2,15.0
6,3,38.0
6,4,31.0
6,5,38.0
6,6,43.0
6,7,56.0
6,8,53.0
6,9,77.0
6,10,84.0
6,11,87.0
7,0,93.0
7,1,118.0
7,2,121.0
7,3,179.0
7,4,126.0
7,5,168.0
7,6,182.0
7,7,202.0
7,8,243.0
7,9,228.0
7,10,332.0
7,11,257.0
8,0,354.0
8,1,397.0
8,2,433.0
8,3,409.0
8,4,370.0
8,5,424.0
8,6,415.0
8,7,564.0
8,8,517.0
8,9,442.0
8,10,400.0
8,11,464.0
9,0,355.0
9,1,412.0
9,2,382.0
9,3,398.0
9,4,404.0
9,5,369.0
9,6,270.0
9,7,310.0
9,8,238.0
9,9,251.0
9,10,179.0
9,11,204.0
10,0,173.0
10,1,164.0
10,2,136.0
10,3,130.0
10,4,171.0
10,5,131.0
10,6,118.0
10,7,121.0
10,8,123.0
10,9,109.0
10,10,119.0
10,11,122.0
11,0,106.0
11,1,104.0
11,2,120.0
11,3,121.0
11,4,119.0
11,5,116.0
11,6,101.0
11,7,116.0
11,8,91.0
11,9,113.0
11,10,129.0
11,11,104.0
12,0,94.0
12,1,131.0
12,2,106.0
12,3,130.0
12,4,128.0
12,5,129.0
12,6,142.0
12,7,140.0
12,8,117.0
12,9,120.0
12,10,139.0
12,11,131.0
13,0,128.0
13,1,139.0
13,2,130.0
13,3,135.0
13,4,130.0
13,5,135.0
13,6,124.0
13,7,133.0
13,8,134.0
13,9,104.0
13,10,146.0
13,11,122.0
14,0,107.0
14,1,86.0
14,2,118.0
14,3,128.0
14,4,124.0
14,5,134.0
14,6,136.0
14,7,137.0
14,8,105.0
14,9,103.0
14,10,119.0
14,11,110.0
15,0,107.0
15,1,117.0
15,2,122.0
15,3,132.0
15,4,137.0
15,5,120.0
15,6,132.0
15,7,99.0
15,8,145.0
15,9,128.0
15,10,144.0
15,11,161.0
16,0,126.0
16,1,142.0
16,2,133.0
16,3,180.0
16,4,133.0
16,5,165.0
16,6,178.0
16,7,144.0
16,8,189.0
16,9,146.0
16,10,205.0
16,11,241.0
17,0,203.0
17,1,261.0
17,2,203.0
17,3,265.0
17,4,258.0
17,5,262.0
17,6,236.0
17,7,253.0
17,8,370.0
17,9,442.0
17,10,318.0
17,11,366.0
18,0,306.0
18,1,463.0
18,2,505.0
18,3,512.0
18,4,649.0
18,5,466.0
18,6,457.0
18,7,377.0
18,8,379.0
18,9,504.0
18,10,442.0
18,11,326.0
19,0,341.0
19,1,373.0
19,2,381.0
19,3,229.0
19,4,260.0
19,5,284.0
19,6,181.0
19,7,250.0
19,8,204.0
19,9,158.0
19,10,176.0
19,11,196.0
20,0,167.0
20,1,143.0
20,2,177.0
20,3,196.0
20,4,144.0
20,5,180.0
20,6,98.0
20,7,159.0
20,8,177.0
20,9,162.0
20,10,90.0
20,11,159.0
21,0,153.0
21,1,161.0
21,2,151.0
21,3,130.0
21,4,165.0
21,5,137.0
21,6,153.0
21,7,150.0
21,8,72.0
21,9,167.0
21,10,92.0
21,11,160.0
22,0,101.0
22,1,51.0
22,2,59.0
22,3,43.0
22,4,51.0
22,5,44.0
22,6,2.0
22,7,40.0
22,8,34.0
22,9,25.0
22,10,23.0
22,11,11.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
