时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,2.0
5,7,5.0
5,8,12.0
5,9,8.0
5,10,9.0
5,11,20.0
6,0,15.0
6,1,44.0
6,2,31.0
6,3,29.0
6,4,46.0
6,5,37.0
6,6,40.0
6,7,51.0
6,8,48.0
6,9,57.0
6,10,64.0
6,11,77.0
7,0,82.0
7,1,82.0
7,2,94.0
7,3,118.0
7,4,107.0
7,5,144.0
7,6,158.0
7,7,178.0
7,8,195.0
7,9,245.0
7,10,248.0
7,11,289.0
8,0,276.0
8,1,377.0
8,2,430.0
8,3,430.0
8,4,507.0
8,5,544.0
8,6,455.0
8,7,628.0
8,8,510.0
8,9,567.0
8,10,413.0
8,11,343.0
9,0,381.0
9,1,248.0
9,2,284.0
9,3,232.0
9,4,222.0
9,5,162.0
9,6,190.0
9,7,162.0
9,8,156.0
9,9,127.0
9,10,117.0
9,11,127.0
10,0,53.0
10,1,156.0
10,2,94.0
10,3,76.0
10,4,85.0
10,5,76.0
10,6,77.0
10,7,85.0
10,8,71.0
10,9,79.0
10,10,66.0
10,11,76.0
11,0,66.0
11,1,68.0
11,2,73.0
11,3,68.0
11,4,95.0
11,5,45.0
11,6,74.0
11,7,68.0
11,8,88.0
11,9,56.0
11,10,67.0
11,11,46.0
12,0,73.0
12,1,61.0
12,2,66.0
12,3,72.0
12,4,74.0
12,5,60.0
12,6,84.0
12,7,79.0
12,8,69.0
12,9,64.0
12,10,81.0
12,11,86.0
13,0,72.0
13,1,83.0
13,2,92.0
13,3,83.0
13,4,85.0
13,5,78.0
13,6,74.0
13,7,87.0
13,8,74.0
13,9,69.0
13,10,93.0
13,11,67.0
14,0,74.0
14,1,59.0
14,2,78.0
14,3,69.0
14,4,71.0
14,5,73.0
14,6,57.0
14,7,71.0
14,8,92.0
14,9,76.0
14,10,72.0
14,11,89.0
15,0,75.0
15,1,71.0
15,2,80.0
15,3,103.0
15,4,80.0
15,5,88.0
15,6,102.0
15,7,108.0
15,8,99.0
15,9,93.0
15,10,82.0
15,11,85.0
16,0,76.0
16,1,86.0
16,2,99.0
16,3,94.0
16,4,89.0
16,5,127.0
16,6,77.0
16,7,134.0
16,8,151.0
16,9,154.0
16,10,163.0
16,11,158.0
17,0,163.0
17,1,254.0
17,2,308.0
17,3,239.0
17,4,238.0
17,5,228.0
17,6,232.0
17,7,369.0
17,8,488.0
17,9,375.0
17,10,338.0
17,11,301.0
18,0,335.0
18,1,293.0
18,2,399.0
18,3,368.0
18,4,306.0
18,5,252.0
18,6,214.0
18,7,252.0
18,8,242.0
18,9,224.0
18,10,200.0
18,11,192.0
19,0,168.0
19,1,137.0
19,2,130.0
19,3,139.0
19,4,129.0
19,5,114.0
19,6,84.0
19,7,92.0
19,8,112.0
19,9,64.0
19,10,91.0
19,11,74.0
20,0,64.0
20,1,74.0
20,2,87.0
20,3,69.0
20,4,58.0
20,5,56.0
20,6,53.0
20,7,75.0
20,8,66.0
20,9,60.0
20,10,51.0
20,11,72.0
21,0,79.0
21,1,97.0
21,2,73.0
21,3,57.0
21,4,65.0
21,5,63.0
21,6,92.0
21,7,41.0
21,8,73.0
21,9,50.0
21,10,62.0
21,11,38.0
22,0,42.0
22,1,69.0
22,2,73.0
22,3,43.0
22,4,47.0
22,5,29.0
22,6,31.0
22,7,41.0
22,8,4.0
22,9,28.0
22,10,3.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
