时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,1.0
5,6,1.0
5,7,0.0
5,8,0.0
5,9,3.0
5,10,4.0
5,11,8.0
6,0,7.0
6,1,4.0
6,2,5.0
6,3,7.0
6,4,15.0
6,5,3.0
6,6,24.0
6,7,16.0
6,8,13.0
6,9,33.0
6,10,25.0
6,11,42.0
7,0,24.0
7,1,38.0
7,2,20.0
7,3,17.0
7,4,43.0
7,5,33.0
7,6,42.0
7,7,45.0
7,8,65.0
7,9,37.0
7,10,78.0
7,11,50.0
8,0,98.0
8,1,38.0
8,2,155.0
8,3,33.0
8,4,169.0
8,5,36.0
8,6,142.0
8,7,25.0
8,8,150.0
8,9,32.0
8,10,117.0
8,11,25.0
9,0,97.0
9,1,20.0
9,2,92.0
9,3,16.0
9,4,88.0
9,5,17.0
9,6,49.0
9,7,18.0
9,8,53.0
9,9,7.0
9,10,34.0
9,11,17.0
10,0,18.0
10,1,9.0
10,2,19.0
10,3,10.0
10,4,33.0
10,5,15.0
10,6,20.0
10,7,7.0
10,8,14.0
10,9,8.0
10,10,16.0
10,11,7.0
11,0,15.0
11,1,5.0
11,2,20.0
11,3,11.0
11,4,19.0
11,5,15.0
11,6,18.0
11,7,11.0
11,8,31.0
11,9,10.0
11,10,9.0
11,11,6.0
12,0,26.0
12,1,9.0
12,2,17.0
12,3,8.0
12,4,16.0
12,5,11.0
12,6,31.0
12,7,5.0
12,8,18.0
12,9,4.0
12,10,23.0
12,11,14.0
13,0,21.0
13,1,12.0
13,2,22.0
13,3,16.0
13,4,28.0
13,5,6.0
13,6,25.0
13,7,14.0
13,8,25.0
13,9,8.0
13,10,20.0
13,11,7.0
14,0,20.0
14,1,8.0
14,2,16.0
14,3,11.0
14,4,21.0
14,5,8.0
14,6,19.0
14,7,9.0
14,8,18.0
14,9,8.0
14,10,24.0
14,11,13.0
15,0,23.0
15,1,5.0
15,2,18.0
15,3,5.0
15,4,31.0
15,5,5.0
15,6,24.0
15,7,14.0
15,8,25.0
15,9,4.0
15,10,20.0
15,11,4.0
16,0,23.0
16,1,12.0
16,2,23.0
16,3,12.0
16,4,24.0
16,5,17.0
16,6,26.0
16,7,15.0
16,8,27.0
16,9,11.0
16,10,41.0
16,11,12.0
17,0,56.0
17,1,40.0
17,2,55.0
17,3,39.0
17,4,60.0
17,5,11.0
17,6,44.0
17,7,61.0
17,8,85.0
17,9,42.0
17,10,102.0
17,11,77.0
18,0,56.0
18,1,45.0
18,2,101.0
18,3,34.0
18,4,95.0
18,5,25.0
18,6,109.0
18,7,36.0
18,8,104.0
18,9,25.0
18,10,87.0
18,11,19.0
19,0,62.0
19,1,9.0
19,2,65.0
19,3,16.0
19,4,62.0
19,5,11.0
19,6,36.0
19,7,6.0
19,8,43.0
19,9,10.0
19,10,35.0
19,11,6.0
20,0,28.0
20,1,12.0
20,2,23.0
20,3,4.0
20,4,21.0
20,5,13.0
20,6,24.0
20,7,7.0
20,8,31.0
20,9,6.0
20,10,23.0
20,11,9.0
21,0,21.0
21,1,2.0
21,2,15.0
21,3,5.0
21,4,15.0
21,5,21.0
21,6,6.0
21,7,21.0
21,8,9.0
21,9,4.0
21,10,22.0
21,11,2.0
22,0,18.0
22,1,2.0
22,2,0.0
22,3,23.0
22,4,0.0
22,5,4.0
22,6,10.0
22,7,0.0
22,8,4.0
22,9,0.0
22,10,4.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
