时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,2.0
5,3,2.0
5,4,11.0
5,5,9.0
5,6,4.0
5,7,16.0
5,8,4.0
5,9,18.0
5,10,18.0
5,11,16.0
6,0,19.0
6,1,30.0
6,2,20.0
6,3,39.0
6,4,32.0
6,5,35.0
6,6,45.0
6,7,71.0
6,8,65.0
6,9,82.0
6,10,50.0
6,11,117.0
7,0,87.0
7,1,114.0
7,2,158.0
7,3,154.0
7,4,181.0
7,5,173.0
7,6,235.0
7,7,239.0
7,8,230.0
7,9,314.0
7,10,284.0
7,11,420.0
8,0,332.0
8,1,359.0
8,2,321.0
8,3,339.0
8,4,347.0
8,5,310.0
8,6,223.0
8,7,264.0
8,8,210.0
8,9,207.0
8,10,180.0
8,11,172.0
9,0,117.0
9,1,119.0
9,2,90.0
9,3,94.0
9,4,100.0
9,5,72.0
9,6,57.0
9,7,71.0
9,8,53.0
9,9,75.0
9,10,46.0
9,11,65.0
10,0,32.0
10,1,60.0
10,2,40.0
10,3,60.0
10,4,16.0
10,5,49.0
10,6,26.0
10,7,40.0
10,8,29.0
10,9,56.0
10,10,25.0
10,11,48.0
11,0,18.0
11,1,59.0
11,2,21.0
11,3,62.0
11,4,27.0
11,5,45.0
11,6,11.0
11,7,52.0
11,8,16.0
11,9,40.0
11,10,12.0
11,11,50.0
12,0,23.0
12,1,56.0
12,2,25.0
12,3,60.0
12,4,20.0
12,5,42.0
12,6,16.0
12,7,45.0
12,8,21.0
12,9,61.0
12,10,24.0
12,11,50.0
13,0,22.0
13,1,55.0
13,2,15.0
13,3,47.0
13,4,15.0
13,5,35.0
13,6,13.0
13,7,50.0
13,8,22.0
13,9,50.0
13,10,19.0
13,11,31.0
14,0,11.0
14,1,60.0
14,2,24.0
14,3,52.0
14,4,19.0
14,5,40.0
14,6,16.0
14,7,54.0
14,8,21.0
14,9,32.0
14,10,15.0
14,11,56.0
15,0,5.0
15,1,58.0
15,2,21.0
15,3,64.0
15,4,14.0
15,5,70.0
15,6,11.0
15,7,61.0
15,8,27.0
15,9,64.0
15,10,10.0
15,11,91.0
16,0,18.0
16,1,64.0
16,2,17.0
16,3,79.0
16,4,16.0
16,5,99.0
16,6,14.0
16,7,101.0
16,8,21.0
16,9,109.0
16,10,14.0
16,11,116.0
17,0,32.0
17,1,133.0
17,2,26.0
17,3,158.0
17,4,18.0
17,5,157.0
17,6,27.0
17,7,193.0
17,8,18.0
17,9,229.0
17,10,23.0
17,11,280.0
18,0,166.0
18,1,105.0
18,2,268.0
18,3,56.0
18,4,306.0
18,5,70.0
18,6,277.0
18,7,49.0
18,8,279.0
18,9,144.0
18,10,287.0
18,11,70.0
19,0,270.0
19,1,36.0
19,2,229.0
19,3,33.0
19,4,179.0
19,5,16.0
19,6,28.0
19,7,153.0
19,8,156.0
19,9,21.0
19,10,170.0
19,11,22.0
20,0,113.0
20,1,4.0
20,2,44.0
20,3,56.0
20,4,98.0
20,5,9.0
20,6,83.0
20,7,8.0
20,8,86.0
20,9,7.0
20,10,77.0
20,11,11.0
21,0,26.0
21,1,90.0
21,2,7.0
21,3,72.0
21,4,11.0
21,5,94.0
21,6,14.0
21,7,8.0
21,8,112.0
21,9,5.0
21,10,97.0
21,11,18.0
22,0,0.0
22,1,89.0
22,2,0.0
22,3,105.0
22,4,13.0
22,5,0.0
22,6,98.0
22,7,0.0
22,8,6.0
22,9,61.0
22,10,0.0
22,11,32.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
