时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,1.0
5,7,2.0
5,8,10.0
5,9,6.0
5,10,10.0
5,11,15.0
6,0,27.0
6,1,20.0
6,2,27.0
6,3,38.0
6,4,43.0
6,5,43.0
6,6,30.0
6,7,61.0
6,8,60.0
6,9,69.0
6,10,75.0
6,11,93.0
7,0,83.0
7,1,99.0
7,2,98.0
7,3,94.0
7,4,111.0
7,5,166.0
7,6,184.0
7,7,137.0
7,8,194.0
7,9,254.0
7,10,208.0
7,11,341.0
8,0,306.0
8,1,356.0
8,2,569.0
8,3,602.0
8,4,595.0
8,5,680.0
8,6,543.0
8,7,806.0
8,8,790.0
8,9,801.0
8,10,790.0
8,11,542.0
9,0,471.0
9,1,532.0
9,2,361.0
9,3,424.0
9,4,430.0
9,5,353.0
9,6,413.0
9,7,296.0
9,8,353.0
9,9,317.0
9,10,235.0
9,11,267.0
10,0,298.0
10,1,293.0
10,2,241.0
10,3,206.0
10,4,294.0
10,5,243.0
10,6,211.0
10,7,202.0
10,8,241.0
10,9,244.0
10,10,195.0
10,11,220.0
11,0,160.0
11,1,227.0
11,2,183.0
11,3,239.0
11,4,189.0
11,5,206.0
11,6,226.0
11,7,211.0
11,8,196.0
11,9,212.0
11,10,218.0
11,11,186.0
12,0,202.0
12,1,169.0
12,2,181.0
12,3,203.0
12,4,190.0
12,5,189.0
12,6,214.0
12,7,176.0
12,8,205.0
12,9,233.0
12,10,187.0
12,11,220.0
13,0,185.0
13,1,237.0
13,2,202.0
13,3,227.0
13,4,180.0
13,5,236.0
13,6,233.0
13,7,186.0
13,8,188.0
13,9,219.0
13,10,216.0
13,11,228.0
14,0,224.0
14,1,234.0
14,2,250.0
14,3,217.0
14,4,210.0
14,5,197.0
14,6,219.0
14,7,223.0
14,8,198.0
14,9,220.0
14,10,228.0
14,11,202.0
15,0,179.0
15,1,199.0
15,2,216.0
15,3,213.0
15,4,219.0
15,5,201.0
15,6,185.0
15,7,216.0
15,8,208.0
15,9,199.0
15,10,184.0
15,11,207.0
16,0,187.0
16,1,253.0
16,2,243.0
16,3,222.0
16,4,175.0
16,5,191.0
16,6,225.0
16,7,271.0
16,8,228.0
16,9,226.0
16,10,252.0
16,11,253.0
17,0,307.0
17,1,336.0
17,2,404.0
17,3,394.0
17,4,353.0
17,5,331.0
17,6,343.0
17,7,478.0
17,8,565.0
17,9,616.0
17,10,446.0
17,11,499.0
18,0,350.0
18,1,469.0
18,2,513.0
18,3,591.0
18,4,580.0
18,5,378.0
18,6,384.0
18,7,345.0
18,8,333.0
18,9,324.0
18,10,268.0
18,11,240.0
19,0,199.0
19,1,207.0
19,2,211.0
19,3,155.0
19,4,183.0
19,5,116.0
19,6,143.0
19,7,151.0
19,8,135.0
19,9,135.0
19,10,139.0
19,11,149.0
20,0,144.0
20,1,143.0
20,2,141.0
20,3,112.0
20,4,100.0
20,5,123.0
20,6,110.0
20,7,111.0
20,8,151.0
20,9,174.0
20,10,117.0
20,11,131.0
21,0,122.0
21,1,184.0
21,2,133.0
21,3,141.0
21,4,99.0
21,5,97.0
21,6,70.0
21,7,94.0
21,8,76.0
21,9,99.0
21,10,57.0
21,11,86.0
22,0,78.0
22,1,73.0
22,2,34.0
22,3,69.0
22,4,67.0
22,5,40.0
22,6,15.0
22,7,9.0
22,8,0.0
22,9,0.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
