时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,6.0
5,6,13.0
5,7,12.0
5,8,5.0
5,9,13.0
5,10,18.0
5,11,25.0
6,0,28.0
6,1,23.0
6,2,29.0
6,3,31.0
6,4,36.0
6,5,46.0
6,6,64.0
6,7,68.0
6,8,49.0
6,9,69.0
6,10,71.0
6,11,69.0
7,0,92.0
7,1,122.0
7,2,110.0
7,3,112.0
7,4,139.0
7,5,145.0
7,6,162.0
7,7,201.0
7,8,231.0
7,9,208.0
7,10,232.0
7,11,248.0
8,0,241.0
8,1,303.0
8,2,358.0
8,3,337.0
8,4,374.0
8,5,335.0
8,6,333.0
8,7,368.0
8,8,347.0
8,9,342.0
8,10,288.0
8,11,236.0
9,0,231.0
9,1,201.0
9,2,209.0
9,3,191.0
9,4,179.0
9,5,140.0
9,6,116.0
9,7,120.0
9,8,108.0
9,9,96.0
9,10,109.0
9,11,82.0
10,0,88.0
10,1,66.0
10,2,70.0
10,3,68.0
10,4,63.0
10,5,58.0
10,6,71.0
10,7,57.0
10,8,66.0
10,9,57.0
10,10,59.0
10,11,59.0
11,0,47.0
11,1,50.0
11,2,57.0
11,3,47.0
11,4,67.0
11,5,59.0
11,6,40.0
11,7,53.0
11,8,49.0
11,9,51.0
11,10,49.0
11,11,52.0
12,0,66.0
12,1,48.0
12,2,71.0
12,3,58.0
12,4,49.0
12,5,51.0
12,6,51.0
12,7,40.0
12,8,65.0
12,9,53.0
12,10,62.0
12,11,48.0
13,0,60.0
13,1,72.0
13,2,64.0
13,3,61.0
13,4,61.0
13,5,50.0
13,6,57.0
13,7,54.0
13,8,50.0
13,9,57.0
13,10,73.0
13,11,54.0
14,0,61.0
14,1,63.0
14,2,58.0
14,3,57.0
14,4,64.0
14,5,72.0
14,6,71.0
14,7,53.0
14,8,60.0
14,9,57.0
14,10,50.0
14,11,52.0
15,0,68.0
15,1,81.0
15,2,64.0
15,3,64.0
15,4,80.0
15,5,75.0
15,6,82.0
15,7,65.0
15,8,82.0
15,9,77.0
15,10,70.0
15,11,80.0
16,0,79.0
16,1,118.0
16,2,90.0
16,3,81.0
16,4,92.0
16,5,79.0
16,6,84.0
16,7,88.0
16,8,100.0
16,9,99.0
16,10,87.0
16,11,108.0
17,0,119.0
17,1,173.0
17,2,177.0
17,3,183.0
17,4,132.0
17,5,168.0
17,6,151.0
17,7,204.0
17,8,239.0
17,9,220.0
17,10,191.0
17,11,195.0
18,0,227.0
18,1,206.0
18,2,271.0
18,3,227.0
18,4,221.0
18,5,211.0
18,6,240.0
18,7,215.0
18,8,214.0
18,9,207.0
18,10,224.0
18,11,182.0
19,0,159.0
19,1,134.0
19,2,129.0
19,3,135.0
19,4,100.0
19,5,82.0
19,6,82.0
19,7,100.0
19,8,95.0
19,9,79.0
19,10,75.0
19,11,75.0
20,0,71.0
20,1,87.0
20,2,93.0
20,3,87.0
20,4,52.0
20,5,64.0
20,6,83.0
20,7,53.0
20,8,23.0
20,9,90.0
20,10,64.0
20,11,70.0
21,0,41.0
21,1,64.0
21,2,73.0
21,3,71.0
21,4,67.0
21,5,47.0
21,6,36.0
21,7,57.0
21,8,52.0
21,9,80.0
21,10,60.0
21,11,42.0
22,0,62.0
22,1,50.0
22,2,57.0
22,3,44.0
22,4,42.0
22,5,56.0
22,6,21.0
22,7,37.0
22,8,24.0
22,9,3.0
22,10,0.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
