时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,1.0
4,10,0.0
4,11,1.0
5,0,1.0
5,1,0.0
5,2,1.0
5,3,1.0
5,4,10.0
5,5,6.0
5,6,9.0
5,7,7.0
5,8,11.0
5,9,7.0
5,10,15.0
5,11,10.0
6,0,18.0
6,1,21.0
6,2,30.0
6,3,20.0
6,4,39.0
6,5,26.0
6,6,66.0
6,7,47.0
6,8,101.0
6,9,64.0
6,10,113.0
6,11,76.0
7,0,87.0
7,1,123.0
7,2,88.0
7,3,151.0
7,4,117.0
7,5,207.0
7,6,201.0
7,7,221.0
7,8,234.0
7,9,251.0
7,10,422.0
7,11,315.0
8,0,402.0
8,1,221.0
8,2,621.0
8,3,248.0
8,4,597.0
8,5,237.0
8,6,515.0
8,7,212.0
8,8,523.0
8,9,421.0
8,10,251.0
8,11,251.0
9,0,219.0
9,1,130.0
9,2,310.0
9,3,220.0
9,4,154.0
9,5,62.0
9,6,198.0
9,7,58.0
9,8,200.0
9,9,69.0
9,10,143.0
9,11,67.0
10,0,127.0
10,1,41.0
10,2,114.0
10,3,28.0
10,4,112.0
10,5,46.0
10,6,117.0
10,7,40.0
10,8,126.0
10,9,37.0
10,10,113.0
10,11,28.0
11,0,100.0
11,1,40.0
11,2,106.0
11,3,23.0
11,4,111.0
11,5,32.0
11,6,115.0
11,7,35.0
11,8,116.0
11,9,29.0
11,10,135.0
11,11,57.0
12,0,98.0
12,1,54.0
12,2,129.0
12,3,51.0
12,4,119.0
12,5,52.0
12,6,115.0
12,7,46.0
12,8,126.0
12,9,41.0
12,10,119.0
12,11,37.0
13,0,100.0
13,1,49.0
13,2,144.0
13,3,44.0
13,4,105.0
13,5,31.0
13,6,127.0
13,7,40.0
13,8,136.0
13,9,47.0
13,10,127.0
13,11,50.0
14,0,120.0
14,1,32.0
14,2,116.0
14,3,39.0
14,4,100.0
14,5,26.0
14,6,119.0
14,7,34.0
14,8,107.0
14,9,47.0
14,10,115.0
14,11,20.0
15,0,116.0
15,1,36.0
15,2,168.0
15,3,41.0
15,4,105.0
15,5,44.0
15,6,115.0
15,7,38.0
15,8,164.0
15,9,38.0
15,10,137.0
15,11,37.0
16,0,140.0
16,1,46.0
16,2,161.0
16,3,49.0
16,4,135.0
16,5,47.0
16,6,176.0
16,7,41.0
16,8,226.0
16,9,46.0
16,10,198.0
16,11,54.0
17,0,225.0
17,1,61.0
17,2,330.0
17,3,91.0
17,4,285.0
17,5,73.0
17,6,305.0
17,7,111.0
17,8,460.0
17,9,181.0
17,10,473.0
17,11,343.0
18,0,217.0
18,1,423.0
18,2,226.0
18,3,492.0
18,4,198.0
18,5,407.0
18,6,159.0
18,7,369.0
18,8,196.0
18,9,338.0
18,10,165.0
18,11,361.0
19,0,106.0
19,1,314.0
19,2,53.0
19,3,269.0
19,4,61.0
19,5,235.0
19,6,59.0
19,7,212.0
19,8,38.0
19,9,186.0
19,10,45.0
19,11,149.0
20,0,40.0
20,1,173.0
20,2,51.0
20,3,152.0
20,4,35.0
20,5,113.0
20,6,20.0
20,7,134.0
20,8,37.0
20,9,142.0
20,10,34.0
20,11,145.0
21,0,33.0
21,1,27.0
21,2,106.0
21,3,40.0
21,4,136.0
21,5,29.0
21,6,40.0
21,7,126.0
21,8,26.0
21,9,131.0
21,10,17.0
21,11,18.0
22,0,124.0
22,1,5.0
22,2,95.0
22,3,15.0
22,4,0.0
22,5,99.0
22,6,1.0
22,7,0.0
22,8,70.0
22,9,0.0
22,10,47.0
22,11,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
