时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,4.0
5,5,2.0
5,6,9.0
5,7,5.0
5,8,4.0
5,9,4.0
5,10,4.0
5,11,5.0
6,0,18.0
6,1,20.0
6,2,17.0
6,3,28.0
6,4,20.0
6,5,28.0
6,6,56.0
6,7,49.0
6,8,60.0
6,9,57.0
6,10,78.0
6,11,69.0
7,0,85.0
7,1,119.0
7,2,104.0
7,3,114.0
7,4,120.0
7,5,139.0
7,6,128.0
7,7,146.0
7,8,147.0
7,9,150.0
7,10,138.0
7,11,192.0
8,0,178.0
8,1,208.0
8,2,221.0
8,3,241.0
8,4,243.0
8,5,208.0
8,6,212.0
8,7,269.0
8,8,175.0
8,9,217.0
8,10,219.0
8,11,159.0
9,0,201.0
9,1,138.0
9,2,124.0
9,3,126.0
9,4,133.0
9,5,72.0
9,6,122.0
9,7,88.0
9,8,94.0
9,9,83.0
9,10,74.0
9,11,70.0
10,0,73.0
10,1,65.0
10,2,65.0
10,3,56.0
10,4,47.0
10,5,27.0
10,6,47.0
10,7,33.0
10,8,43.0
10,9,45.0
10,10,35.0
10,11,29.0
11,0,49.0
11,1,45.0
11,2,45.0
11,3,39.0
11,4,37.0
11,5,39.0
11,6,38.0
11,7,34.0
11,8,36.0
11,9,36.0
11,10,30.0
11,11,38.0
12,0,35.0
12,1,39.0
12,2,30.0
12,3,30.0
12,4,42.0
12,5,38.0
12,6,38.0
12,7,36.0
12,8,50.0
12,9,30.0
12,10,36.0
12,11,28.0
13,0,55.0
13,1,48.0
13,2,44.0
13,3,47.0
13,4,37.0
13,5,43.0
13,6,37.0
13,7,39.0
13,8,32.0
13,9,36.0
13,10,46.0
13,11,43.0
14,0,37.0
14,1,39.0
14,2,47.0
14,3,37.0
14,4,45.0
14,5,54.0
14,6,50.0
14,7,48.0
14,8,40.0
14,9,39.0
14,10,45.0
14,11,30.0
15,0,44.0
15,1,38.0
15,2,42.0
15,3,76.0
15,4,63.0
15,5,58.0
15,6,59.0
15,7,83.0
15,8,69.0
15,9,67.0
15,10,46.0
15,11,38.0
16,0,55.0
16,1,59.0
16,2,67.0
16,3,64.0
16,4,81.0
16,5,63.0
16,6,140.0
16,7,124.0
16,8,111.0
16,9,82.0
16,10,89.0
16,11,71.0
17,0,119.0
17,1,122.0
17,2,134.0
17,3,145.0
17,4,136.0
17,5,107.0
17,6,132.0
17,7,165.0
17,8,188.0
17,9,135.0
17,10,160.0
17,11,143.0
18,0,159.0
18,1,159.0
18,2,182.0
18,3,175.0
18,4,170.0
18,5,162.0
18,6,158.0
18,7,174.0
18,8,157.0
18,9,90.0
18,10,131.0
18,11,118.0
19,0,107.0
19,1,103.0
19,2,96.0
19,3,87.0
19,4,86.0
19,5,67.0
19,6,66.0
19,7,53.0
19,8,43.0
19,9,66.0
19,10,51.0
19,11,67.0
20,0,48.0
20,1,40.0
20,2,55.0
20,3,36.0
20,4,37.0
20,5,53.0
20,6,51.0
20,7,55.0
20,8,56.0
20,9,40.0
20,10,50.0
20,11,39.0
21,0,27.0
21,1,32.0
21,2,33.0
21,3,52.0
21,4,25.0
21,5,60.0
21,6,53.0
21,7,51.0
21,8,38.0
21,9,45.0
21,10,41.0
21,11,45.0
22,0,27.0
22,1,19.0
22,2,47.0
22,3,23.0
22,4,27.0
22,5,4.0
22,6,19.0
22,7,18.0
22,8,10.0
22,9,5.0
22,10,8.0
22,11,0.0
23,0,1.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
