时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,2.0
5,3,1.0
5,4,2.0
5,5,5.0
5,6,8.0
5,7,35.0
5,8,25.0
5,9,27.0
5,10,18.0
5,11,39.0
6,0,27.0
6,1,44.0
6,2,65.0
6,3,66.0
6,4,45.0
6,5,80.0
6,6,103.0
6,7,122.0
6,8,126.0
6,9,220.0
6,10,178.0
6,11,115.0
7,0,197.0
7,1,149.0
7,2,224.0
7,3,211.0
7,4,234.0
7,5,285.0
7,6,311.0
7,7,325.0
7,8,416.0
7,9,442.0
7,10,441.0
7,11,495.0
8,0,516.0
8,1,543.0
8,2,503.0
8,3,449.0
8,4,390.0
8,5,414.0
8,6,352.0
8,7,327.0
8,8,294.0
8,9,285.0
8,10,253.0
8,11,242.0
9,0,181.0
9,1,189.0
9,2,154.0
9,3,143.0
9,4,165.0
9,5,123.0
9,6,98.0
9,7,146.0
9,8,84.0
9,9,109.0
9,10,77.0
9,11,108.0
10,0,56.0
10,1,85.0
10,2,65.0
10,3,52.0
10,4,70.0
10,5,67.0
10,6,100.0
10,7,60.0
10,8,72.0
10,9,39.0
10,10,62.0
10,11,80.0
11,0,69.0
11,1,40.0
11,2,40.0
11,3,44.0
11,4,53.0
11,5,49.0
11,6,60.0
11,7,60.0
11,8,48.0
11,9,46.0
11,10,63.0
11,11,74.0
12,0,64.0
12,1,63.0
12,2,63.0
12,3,52.0
12,4,71.0
12,5,78.0
12,6,68.0
12,7,80.0
12,8,72.0
12,9,43.0
12,10,73.0
12,11,59.0
13,0,56.0
13,1,55.0
13,2,60.0
13,3,36.0
13,4,71.0
13,5,69.0
13,6,60.0
13,7,49.0
13,8,59.0
13,9,42.0
13,10,51.0
13,11,64.0
14,0,47.0
14,1,58.0
14,2,66.0
14,3,57.0
14,4,70.0
14,5,64.0
14,6,72.0
14,7,72.0
14,8,61.0
14,9,32.0
14,10,64.0
14,11,70.0
15,0,71.0
15,1,56.0
15,2,65.0
15,3,39.0
15,4,73.0
15,5,81.0
15,6,69.0
15,7,75.0
15,8,63.0
15,9,31.0
15,10,95.0
15,11,67.0
16,0,107.0
16,1,47.0
16,2,81.0
16,3,83.0
16,4,83.0
16,5,84.0
16,6,137.0
16,7,109.0
16,8,103.0
16,9,137.0
16,10,121.0
16,11,147.0
17,0,248.0
17,1,145.0
17,2,181.0
17,3,145.0
17,4,180.0
17,5,143.0
17,6,185.0
17,7,219.0
17,8,164.0
17,9,297.0
17,10,148.0
17,11,247.0
18,0,165.0
18,1,267.0
18,2,298.0
18,3,284.0
18,4,321.0
18,5,216.0
18,6,325.0
18,7,279.0
18,8,309.0
18,9,403.0
18,10,256.0
18,11,401.0
19,0,212.0
19,1,361.0
19,2,185.0
19,3,196.0
19,4,246.0
19,5,152.0
19,6,241.0
19,7,132.0
19,8,211.0
19,9,122.0
19,10,101.0
19,11,184.0
20,0,109.0
20,1,136.0
20,2,108.0
20,3,139.0
20,4,103.0
20,5,88.0
20,6,126.0
20,7,88.0
20,8,132.0
20,9,96.0
20,10,102.0
20,11,101.0
21,0,75.0
21,1,137.0
21,2,78.0
21,3,125.0
21,4,109.0
21,5,119.0
21,6,100.0
21,7,105.0
21,8,100.0
21,9,102.0
21,10,96.0
21,11,113.0
22,0,70.0
22,1,75.0
22,2,79.0
22,3,67.0
22,4,66.0
22,5,91.0
22,6,76.0
22,7,77.0
22,8,75.0
22,9,55.0
22,10,72.0
22,11,5.0
23,0,23.0
23,1,24.0
23,2,12.0
23,3,4.0
23,4,2.0
23,5,2.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
