时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,6.0
5,6,12.0
5,7,24.0
5,8,13.0
5,9,16.0
5,10,19.0
5,11,13.0
6,0,17.0
6,1,30.0
6,2,43.0
6,3,36.0
6,4,39.0
6,5,56.0
6,6,55.0
6,7,72.0
6,8,99.0
6,9,96.0
6,10,108.0
6,11,130.0
7,0,113.0
7,1,175.0
7,2,156.0
7,3,204.0
7,4,209.0
7,5,203.0
7,6,188.0
7,7,248.0
7,8,309.0
7,9,254.0
7,10,306.0
7,11,258.0
8,0,270.0
8,1,292.0
8,2,304.0
8,3,283.0
8,4,291.0
8,5,210.0
8,6,286.0
8,7,253.0
8,8,249.0
8,9,228.0
8,10,156.0
8,11,174.0
9,0,151.0
9,1,115.0
9,2,111.0
9,3,101.0
9,4,93.0
9,5,78.0
9,6,75.0
9,7,72.0
9,8,81.0
9,9,63.0
9,10,52.0
9,11,62.0
10,0,50.0
10,1,47.0
10,2,56.0
10,3,54.0
10,4,51.0
10,5,50.0
10,6,38.0
10,7,44.0
10,8,40.0
10,9,42.0
10,10,38.0
10,11,34.0
11,0,34.0
11,1,22.0
11,2,37.0
11,3,59.0
11,4,39.0
11,5,37.0
11,6,29.0
11,7,23.0
11,8,25.0
11,9,49.0
11,10,45.0
11,11,49.0
12,0,31.0
12,1,37.0
12,2,51.0
12,3,36.0
12,4,40.0
12,5,44.0
12,6,54.0
12,7,15.0
12,8,65.0
12,9,55.0
12,10,38.0
12,11,55.0
13,0,26.0
13,1,28.0
13,2,51.0
13,3,52.0
13,4,41.0
13,5,46.0
13,6,42.0
13,7,23.0
13,8,44.0
13,9,39.0
13,10,51.0
13,11,43.0
14,0,32.0
14,1,27.0
14,2,35.0
14,3,47.0
14,4,41.0
14,5,49.0
14,6,48.0
14,7,28.0
14,8,53.0
14,9,43.0
14,10,32.0
14,11,42.0
15,0,29.0
15,1,33.0
15,2,49.0
15,3,38.0
15,4,63.0
15,5,40.0
15,6,31.0
15,7,39.0
15,8,62.0
15,9,52.0
15,10,58.0
15,11,48.0
16,0,36.0
16,1,60.0
16,2,78.0
16,3,66.0
16,4,35.0
16,5,108.0
16,6,35.0
16,7,101.0
16,8,42.0
16,9,91.0
16,10,83.0
16,11,85.0
17,0,63.0
17,1,137.0
17,2,110.0
17,3,144.0
17,4,63.0
17,5,136.0
17,6,156.0
17,7,53.0
17,8,195.0
17,9,194.0
17,10,185.0
17,11,81.0
18,0,190.0
18,1,248.0
18,2,94.0
18,3,254.0
18,4,217.0
18,5,260.0
18,6,102.0
18,7,230.0
18,8,294.0
18,9,67.0
18,10,293.0
18,11,255.0
19,0,206.0
19,1,82.0
19,2,211.0
19,3,179.0
19,4,35.0
19,5,177.0
19,6,152.0
19,7,111.0
19,8,22.0
19,9,115.0
19,10,110.0
19,11,28.0
20,0,139.0
20,1,59.0
20,2,87.0
20,3,52.0
20,4,83.0
20,5,85.0
20,6,57.0
20,7,88.0
20,8,44.0
20,9,74.0
20,10,61.0
20,11,44.0
21,0,78.0
21,1,54.0
21,2,78.0
21,3,51.0
21,4,81.0
21,5,47.0
21,6,44.0
21,7,97.0
21,8,50.0
21,9,58.0
21,10,45.0
21,11,45.0
22,0,30.0
22,1,47.0
22,2,44.0
22,3,37.0
22,4,55.0
22,5,51.0
22,6,9.0
22,7,58.0
22,8,47.0
22,9,21.0
22,10,25.0
22,11,20.0
23,0,5.0
23,1,12.0
23,2,3.0
23,3,9.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
