时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,5.0
5,6,6.0
5,7,8.0
5,8,7.0
5,9,5.0
5,10,9.0
5,11,10.0
6,0,3.0
6,1,14.0
6,2,6.0
6,3,11.0
6,4,9.0
6,5,15.0
6,6,17.0
6,7,16.0
6,8,16.0
6,9,32.0
6,10,103.0
6,11,83.0
7,0,38.0
7,1,45.0
7,2,84.0
7,3,32.0
7,4,125.0
7,5,200.0
7,6,73.0
7,7,124.0
7,8,92.0
7,9,103.0
7,10,95.0
7,11,108.0
8,0,151.0
8,1,116.0
8,2,30.0
8,3,145.0
8,4,138.0
8,5,21.0
8,6,131.0
8,7,88.0
8,8,63.0
8,9,85.0
8,10,61.0
8,11,44.0
9,0,66.0
9,1,23.0
9,2,103.0
9,3,43.0
9,4,27.0
9,5,9.0
9,6,46.0
9,7,25.0
9,8,9.0
9,9,27.0
9,10,15.0
9,11,12.0
10,0,26.0
10,1,10.0
10,2,47.0
10,3,14.0
10,4,29.0
10,5,13.0
10,6,28.0
10,7,8.0
10,8,28.0
10,9,13.0
10,10,22.0
10,11,7.0
11,0,26.0
11,1,5.0
11,2,12.0
11,3,27.0
11,4,10.0
11,5,27.0
11,6,13.0
11,7,7.0
11,8,30.0
11,9,15.0
11,10,29.0
11,11,17.0
12,0,26.0
12,1,20.0
12,2,13.0
12,3,30.0
12,4,4.0
12,5,30.0
12,6,13.0
12,7,14.0
12,8,8.0
12,9,22.0
12,10,28.0
12,11,11.0
13,0,21.0
13,1,7.0
13,2,30.0
13,3,24.0
13,4,14.0
13,5,21.0
13,6,12.0
13,7,15.0
13,8,18.0
13,9,12.0
13,10,25.0
13,11,12.0
14,0,27.0
14,1,9.0
14,2,9.0
14,3,32.0
14,4,13.0
14,5,22.0
14,6,11.0
14,7,27.0
14,8,12.0
14,9,3.0
14,10,27.0
14,11,11.0
15,0,26.0
15,1,16.0
15,2,32.0
15,3,36.0
15,4,10.0
15,5,32.0
15,6,14.0
15,7,37.0
15,8,19.0
15,9,6.0
15,10,46.0
15,11,17.0
16,0,39.0
16,1,34.0
16,2,37.0
16,3,64.0
16,4,16.0
16,5,32.0
16,6,31.0
16,7,135.0
16,8,99.0
16,9,68.0
16,10,51.0
16,11,57.0
17,0,85.0
17,1,60.0
17,2,105.0
17,3,72.0
17,4,49.0
17,5,53.0
17,6,61.0
17,7,64.0
17,8,76.0
17,9,56.0
17,10,51.0
17,11,43.0
18,0,48.0
18,1,80.0
18,2,63.0
18,3,57.0
18,4,22.0
18,5,55.0
18,6,60.0
18,7,36.0
18,8,42.0
18,9,72.0
18,10,75.0
18,11,31.0
19,0,63.0
19,1,65.0
19,2,54.0
19,3,30.0
19,4,58.0
19,5,51.0
19,6,9.0
19,7,44.0
19,8,49.0
19,9,27.0
19,10,35.0
19,11,44.0
20,0,49.0
20,1,9.0
20,2,47.0
20,3,30.0
20,4,3.0
20,5,35.0
20,6,31.0
20,7,24.0
20,8,9.0
20,9,36.0
20,10,5.0
20,11,23.0
21,0,25.0
21,1,7.0
21,2,37.0
21,3,6.0
21,4,31.0
21,5,21.0
21,6,10.0
21,7,11.0
21,8,3.0
21,9,19.0
21,10,3.0
21,11,26.0
22,0,6.0
22,1,16.0
22,2,2.0
22,3,17.0
22,4,0.0
22,5,16.0
22,6,7.0
22,7,0.0
22,8,16.0
22,9,6.0
22,10,6.0
22,11,0.0
23,0,20.0
23,1,0.0
23,2,13.0
23,3,0.0
23,4,13.0
23,5,0.0
23,6,7.0
23,7,0.0
23,8,1.0
23,9,0.0
23,10,0.0
23,11,3.0
