时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,1.0
5,8,0.0
5,9,3.0
5,10,4.0
5,11,9.0
6,0,6.0
6,1,7.0
6,2,14.0
6,3,8.0
6,4,28.0
6,5,27.0
6,6,50.0
6,7,43.0
6,8,41.0
6,9,69.0
6,10,57.0
6,11,68.0
7,0,53.0
7,1,87.0
7,2,110.0
7,3,103.0
7,4,137.0
7,5,100.0
7,6,110.0
7,7,132.0
7,8,164.0
7,9,162.0
7,10,164.0
7,11,194.0
8,0,206.0
8,1,211.0
8,2,231.0
8,3,285.0
8,4,272.0
8,5,283.0
8,6,346.0
8,7,317.0
8,8,386.0
8,9,352.0
8,10,272.0
8,11,315.0
9,0,277.0
9,1,216.0
9,2,227.0
9,3,173.0
9,4,212.0
9,5,198.0
9,6,131.0
9,7,114.0
9,8,128.0
9,9,110.0
9,10,52.0
9,11,92.0
10,0,85.0
10,1,79.0
10,2,81.0
10,3,78.0
10,4,60.0
10,5,63.0
10,6,55.0
10,7,60.0
10,8,55.0
10,9,51.0
10,10,28.0
10,11,53.0
11,0,34.0
11,1,40.0
11,2,57.0
11,3,29.0
11,4,27.0
11,5,40.0
11,6,40.0
11,7,58.0
11,8,48.0
11,9,55.0
11,10,27.0
11,11,49.0
12,0,33.0
12,1,48.0
12,2,45.0
12,3,35.0
12,4,33.0
12,5,43.0
12,6,54.0
12,7,51.0
12,8,66.0
12,9,45.0
12,10,51.0
12,11,52.0
13,0,36.0
13,1,64.0
13,2,70.0
13,3,56.0
13,4,36.0
13,5,43.0
13,6,54.0
13,7,72.0
13,8,52.0
13,9,48.0
13,10,31.0
13,11,36.0
14,0,66.0
14,1,55.0
14,2,65.0
14,3,52.0
14,4,33.0
14,5,64.0
14,6,52.0
14,7,55.0
14,8,43.0
14,9,62.0
14,10,37.0
14,11,39.0
15,0,54.0
15,1,56.0
15,2,49.0
15,3,50.0
15,4,53.0
15,5,36.0
15,6,50.0
15,7,51.0
15,8,61.0
15,9,65.0
15,10,43.0
15,11,74.0
16,0,61.0
16,1,64.0
16,2,63.0
16,3,57.0
16,4,82.0
16,5,71.0
16,6,82.0
16,7,75.0
16,8,92.0
16,9,111.0
16,10,114.0
16,11,119.0
17,0,108.0
17,1,168.0
17,2,163.0
17,3,158.0
17,4,150.0
17,5,164.0
17,6,169.0
17,7,184.0
17,8,206.0
17,9,280.0
17,10,242.0
17,11,213.0
18,0,193.0
18,1,192.0
18,2,206.0
18,3,263.0
18,4,336.0
18,5,254.0
18,6,231.0
18,7,203.0
18,8,208.0
18,9,226.0
18,10,175.0
18,11,180.0
19,0,130.0
19,1,127.0
19,2,150.0
19,3,109.0
19,4,112.0
19,5,106.0
19,6,109.0
19,7,94.0
19,8,96.0
19,9,80.0
19,10,79.0
19,11,74.0
20,0,68.0
20,1,73.0
20,2,69.0
20,3,87.0
20,4,78.0
20,5,69.0
20,6,68.0
20,7,74.0
20,8,83.0
20,9,67.0
20,10,77.0
20,11,71.0
21,0,79.0
21,1,90.0
21,2,70.0
21,3,67.0
21,4,60.0
21,5,65.0
21,6,64.0
21,7,34.0
21,8,43.0
21,9,38.0
21,10,50.0
21,11,51.0
22,0,47.0
22,1,51.0
22,2,51.0
22,3,37.0
22,4,47.0
22,5,26.0
22,6,17.0
22,7,25.0
22,8,20.0
22,9,17.0
22,10,21.0
22,11,6.0
23,0,3.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
