时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,16.0
5,10,18.0
5,11,22.0
6,0,39.0
6,1,59.0
6,2,50.0
6,3,73.0
6,4,75.0
6,5,78.0
6,6,107.0
6,7,127.0
6,8,152.0
6,9,137.0
6,10,145.0
6,11,215.0
7,0,231.0
7,1,196.0
7,2,278.0
7,3,259.0
7,4,334.0
7,5,373.0
7,6,348.0
7,7,417.0
7,8,504.0
7,9,562.0
7,10,474.0
7,11,534.0
8,0,507.0
8,1,380.0
8,2,568.0
8,3,527.0
8,4,434.0
8,5,472.0
8,6,420.0
8,7,419.0
8,8,416.0
8,9,377.0
8,10,350.0
8,11,378.0
9,0,249.0
9,1,261.0
9,2,277.0
9,3,221.0
9,4,178.0
9,5,203.0
9,6,210.0
9,7,167.0
9,8,125.0
9,9,130.0
9,10,101.0
9,11,114.0
10,0,123.0
10,1,116.0
10,2,80.0
10,3,83.0
10,4,85.0
10,5,85.0
10,6,69.0
10,7,87.0
10,8,61.0
10,9,41.0
10,10,60.0
10,11,109.0
11,0,75.0
11,1,67.0
11,2,96.0
11,3,55.0
11,4,68.0
11,5,81.0
11,6,60.0
11,7,79.0
11,8,87.0
11,9,61.0
11,10,92.0
11,11,73.0
12,0,80.0
12,1,92.0
12,2,72.0
12,3,74.0
12,4,100.0
12,5,81.0
12,6,82.0
12,7,84.0
12,8,82.0
12,9,54.0
12,10,102.0
12,11,117.0
13,0,96.0
13,1,66.0
13,2,83.0
13,3,82.0
13,4,74.0
13,5,65.0
13,6,93.0
13,7,59.0
13,8,60.0
13,9,68.0
13,10,67.0
13,11,72.0
14,0,67.0
14,1,74.0
14,2,74.0
14,3,60.0
14,4,79.0
14,5,88.0
14,6,78.0
14,7,91.0
14,8,64.0
14,9,55.0
14,10,72.0
14,11,87.0
15,0,85.0
15,1,63.0
15,2,88.0
15,3,45.0
15,4,88.0
15,5,95.0
15,6,90.0
15,7,88.0
15,8,71.0
15,9,53.0
15,10,121.0
15,11,115.0
16,0,102.0
16,1,59.0
16,2,137.0
16,3,121.0
16,4,76.0
16,5,154.0
16,6,105.0
16,7,136.0
16,8,116.0
16,9,140.0
16,10,218.0
16,11,138.0
17,0,149.0
17,1,193.0
17,2,211.0
17,3,285.0
17,4,207.0
17,5,266.0
17,6,230.0
17,7,226.0
17,8,389.0
17,9,270.0
17,10,394.0
17,11,271.0
18,0,282.0
18,1,423.0
18,2,320.0
18,3,461.0
18,4,323.0
18,5,402.0
18,6,286.0
18,7,334.0
18,8,326.0
18,9,280.0
18,10,441.0
18,11,240.0
19,0,365.0
19,1,234.0
19,2,278.0
19,3,212.0
19,4,201.0
19,5,226.0
19,6,140.0
19,7,191.0
19,8,132.0
19,9,111.0
19,10,165.0
19,11,116.0
20,0,153.0
20,1,100.0
20,2,90.0
20,3,109.0
20,4,161.0
20,5,67.0
20,6,114.0
20,7,68.0
20,8,81.0
20,9,132.0
20,10,114.0
20,11,83.0
21,0,102.0
21,1,93.0
21,2,101.0
21,3,86.0
21,4,101.0
21,5,82.0
21,6,95.0
21,7,80.0
21,8,86.0
21,9,82.0
21,10,74.0
21,11,83.0
22,0,96.0
22,1,76.0
22,2,112.0
22,3,18.0
22,4,54.0
22,5,84.0
22,6,62.0
22,7,64.0
22,8,43.0
22,9,40.0
22,10,29.0
22,11,18.0
23,0,29.0
23,1,22.0
23,2,13.0
23,3,6.0
23,4,3.0
23,5,4.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
