时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,2.0
5,6,1.0
5,7,5.0
5,8,7.0
5,9,20.0
5,10,2.0
5,11,4.0
6,0,9.0
6,1,13.0
6,2,6.0
6,3,8.0
6,4,13.0
6,5,7.0
6,6,23.0
6,7,16.0
6,8,39.0
6,9,35.0
6,10,37.0
6,11,22.0
7,0,53.0
7,1,34.0
7,2,73.0
7,3,25.0
7,4,81.0
7,5,61.0
7,6,72.0
7,7,69.0
7,8,75.0
7,9,45.0
7,10,40.0
7,11,36.0
8,0,71.0
8,1,27.0
8,2,28.0
8,3,53.0
8,4,45.0
8,5,24.0
8,6,55.0
8,7,47.0
8,8,20.0
8,9,46.0
8,10,23.0
8,11,27.0
9,0,44.0
9,1,21.0
9,2,27.0
9,3,23.0
9,4,25.0
9,5,16.0
9,6,36.0
9,7,34.0
9,8,11.0
9,9,15.0
9,10,30.0
9,11,18.0
10,0,21.0
10,1,29.0
10,2,27.0
10,3,16.0
10,4,20.0
10,5,3.0
10,6,17.0
10,7,16.0
10,8,15.0
10,9,5.0
10,10,4.0
10,11,32.0
11,0,26.0
11,1,21.0
11,2,14.0
11,3,26.0
11,4,34.0
11,5,12.0
11,6,34.0
11,7,14.0
11,8,37.0
11,9,12.0
11,10,6.0
11,11,36.0
12,0,9.0
12,1,21.0
12,2,14.0
12,3,18.0
12,4,16.0
12,5,7.0
12,6,15.0
12,7,14.0
12,8,21.0
12,9,9.0
12,10,7.0
12,11,23.0
13,0,9.0
13,1,30.0
13,2,2.0
13,3,15.0
13,4,9.0
13,5,14.0
13,6,21.0
13,7,5.0
13,8,29.0
13,9,6.0
13,10,6.0
13,11,18.0
14,0,27.0
14,1,17.0
14,2,16.0
14,3,24.0
14,4,12.0
14,5,3.0
14,6,18.0
14,7,9.0
14,8,15.0
14,9,8.0
14,10,6.0
14,11,20.0
15,0,20.0
15,1,17.0
15,2,19.0
15,3,14.0
15,4,14.0
15,5,16.0
15,6,31.0
15,7,11.0
15,8,24.0
15,9,7.0
15,10,24.0
15,11,26.0
16,0,11.0
16,1,32.0
16,2,20.0
16,3,15.0
16,4,17.0
16,5,17.0
16,6,32.0
16,7,19.0
16,8,7.0
16,9,9.0
16,10,31.0
16,11,51.0
17,0,23.0
17,1,52.0
17,2,52.0
17,3,22.0
17,4,26.0
17,5,32.0
17,6,12.0
17,7,78.0
17,8,27.0
17,9,30.0
17,10,25.0
17,11,32.0
18,0,42.0
18,1,17.0
18,2,34.0
18,3,23.0
18,4,8.0
18,5,30.0
18,6,43.0
18,7,34.0
18,8,17.0
18,9,43.0
18,10,38.0
18,11,19.0
19,0,21.0
19,1,34.0
19,2,27.0
19,3,8.0
19,4,40.0
19,5,45.0
19,6,11.0
19,7,36.0
19,8,17.0
19,9,21.0
19,10,19.0
19,11,16.0
20,0,30.0
20,1,3.0
20,2,13.0
20,3,18.0
20,4,2.0
20,5,22.0
20,6,11.0
20,7,10.0
20,8,10.0
20,9,13.0
20,10,16.0
20,11,29.0
21,0,6.0
21,1,8.0
21,2,6.0
21,3,5.0
21,4,13.0
21,5,6.0
21,6,15.0
21,7,4.0
21,8,9.0
21,9,1.0
21,10,11.0
21,11,0.0
22,0,7.0
22,1,0.0
22,2,15.0
22,3,2.0
22,4,12.0
22,5,12.0
22,6,6.0
22,7,2.0
22,8,9.0
22,9,0.0
22,10,3.0
22,11,6.0
23,0,1.0
23,1,8.0
23,2,0.0
23,3,1.0
23,4,0.0
23,5,3.0
23,6,0.0
23,7,1.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
