时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,1.0
5,10,1.0
5,11,1.0
6,0,1.0
6,1,1.0
6,2,0.0
6,3,4.0
6,4,7.0
6,5,3.0
6,6,7.0
6,7,12.0
6,8,22.0
6,9,9.0
6,10,22.0
6,11,7.0
7,0,20.0
7,1,17.0
7,2,20.0
7,3,39.0
7,4,28.0
7,5,32.0
7,6,39.0
7,7,50.0
7,8,44.0
7,9,40.0
7,10,44.0
7,11,42.0
8,0,57.0
8,1,72.0
8,2,111.0
8,3,90.0
8,4,104.0
8,5,98.0
8,6,111.0
8,7,116.0
8,8,168.0
8,9,160.0
8,10,206.0
8,11,155.0
9,0,91.0
9,1,87.0
9,2,96.0
9,3,125.0
9,4,53.0
9,5,92.0
9,6,76.0
9,7,45.0
9,8,38.0
9,9,78.0
9,10,61.0
9,11,44.0
10,0,41.0
10,1,39.0
10,2,38.0
10,3,31.0
10,4,34.0
10,5,21.0
10,6,14.0
10,7,21.0
10,8,16.0
10,9,20.0
10,10,17.0
10,11,17.0
11,0,7.0
11,1,21.0
11,2,20.0
11,3,18.0
11,4,22.0
11,5,9.0
11,6,8.0
11,7,15.0
11,8,25.0
11,9,19.0
11,10,13.0
11,11,17.0
12,0,11.0
12,1,14.0
12,2,16.0
12,3,26.0
12,4,20.0
12,5,14.0
12,6,17.0
12,7,19.0
12,8,21.0
12,9,21.0
12,10,14.0
12,11,15.0
13,0,14.0
13,1,14.0
13,2,20.0
13,3,20.0
13,4,15.0
13,5,22.0
13,6,11.0
13,7,23.0
13,8,18.0
13,9,17.0
13,10,22.0
13,11,15.0
14,0,6.0
14,1,18.0
14,2,24.0
14,3,21.0
14,4,16.0
14,5,15.0
14,6,9.0
14,7,22.0
14,8,17.0
14,9,15.0
14,10,18.0
14,11,14.0
15,0,12.0
15,1,25.0
15,2,22.0
15,3,24.0
15,4,22.0
15,5,5.0
15,6,12.0
15,7,29.0
15,8,22.0
15,9,26.0
15,10,29.0
15,11,4.0
16,0,33.0
16,1,27.0
16,2,18.0
16,3,32.0
16,4,28.0
16,5,38.0
16,6,21.0
16,7,25.0
16,8,49.0
16,9,29.0
16,10,45.0
16,11,22.0
17,0,37.0
17,1,64.0
17,2,105.0
17,3,58.0
17,4,53.0
17,5,41.0
17,6,50.0
17,7,109.0
17,8,127.0
17,9,108.0
17,10,68.0
17,11,60.0
18,0,63.0
18,1,100.0
18,2,161.0
18,3,106.0
18,4,68.0
18,5,78.0
18,6,87.0
18,7,89.0
18,8,78.0
18,9,74.0
18,10,51.0
18,11,47.0
19,0,45.0
19,1,35.0
19,2,38.0
19,3,51.0
19,4,28.0
19,5,33.0
19,6,26.0
19,7,27.0
19,8,18.0
19,9,29.0
19,10,17.0
19,11,25.0
20,0,42.0
20,1,21.0
20,2,22.0
20,3,11.0
20,4,10.0
20,5,10.0
20,6,16.0
20,7,17.0
20,8,22.0
20,9,17.0
20,10,14.0
20,11,21.0
21,0,23.0
21,1,37.0
21,2,51.0
21,3,19.0
21,4,22.0
21,5,13.0
21,6,19.0
21,7,17.0
21,8,12.0
21,9,12.0
21,10,12.0
21,11,11.0
22,0,9.0
22,1,15.0
22,2,10.0
22,3,8.0
22,4,10.0
22,5,9.0
22,6,2.0
22,7,8.0
22,8,5.0
22,9,1.0
22,10,4.0
22,11,3.0
23,0,2.0
23,1,2.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
