时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,0.0
5,5,3.0
5,6,12.0
5,7,20.0
5,8,22.0
5,9,20.0
5,10,20.0
5,11,13.0
6,0,38.0
6,1,39.0
6,2,31.0
6,3,37.0
6,4,49.0
6,5,61.0
6,6,78.0
6,7,54.0
6,8,104.0
6,9,89.0
6,10,85.0
6,11,99.0
7,0,111.0
7,1,174.0
7,2,165.0
7,3,136.0
7,4,122.0
7,5,209.0
7,6,190.0
7,7,168.0
7,8,219.0
7,9,145.0
7,10,171.0
7,11,208.0
8,0,127.0
8,1,172.0
8,2,132.0
8,3,126.0
8,4,162.0
8,5,160.0
8,6,87.0
8,7,115.0
8,8,120.0
8,9,99.0
8,10,104.0
8,11,82.0
9,0,70.0
9,1,64.0
9,2,53.0
9,3,58.0
9,4,66.0
9,5,57.0
9,6,41.0
9,7,63.0
9,8,43.0
9,9,18.0
9,10,52.0
9,11,33.0
10,0,38.0
10,1,39.0
10,2,11.0
10,3,60.0
10,4,34.0
10,5,46.0
10,6,13.0
10,7,29.0
10,8,31.0
10,9,38.0
10,10,24.0
10,11,55.0
11,0,16.0
11,1,53.0
11,2,34.0
11,3,25.0
11,4,51.0
11,5,15.0
11,6,45.0
11,7,20.0
11,8,17.0
11,9,37.0
11,10,21.0
11,11,50.0
12,0,17.0
12,1,53.0
12,2,20.0
12,3,12.0
12,4,53.0
12,5,21.0
12,6,55.0
12,7,21.0
12,8,28.0
12,9,29.0
12,10,21.0
12,11,61.0
13,0,13.0
13,1,37.0
13,2,25.0
13,3,21.0
13,4,43.0
13,5,11.0
13,6,39.0
13,7,20.0
13,8,25.0
13,9,33.0
13,10,20.0
13,11,51.0
14,0,18.0
14,1,36.0
14,2,14.0
14,3,18.0
14,4,46.0
14,5,27.0
14,6,46.0
14,7,19.0
14,8,47.0
14,9,32.0
14,10,6.0
14,11,51.0
15,0,8.0
15,1,44.0
15,2,16.0
15,3,8.0
15,4,58.0
15,5,14.0
15,6,55.0
15,7,16.0
15,8,24.0
15,9,45.0
15,10,16.0
15,11,47.0
16,0,17.0
16,1,70.0
16,2,33.0
16,3,8.0
16,4,61.0
16,5,24.0
16,6,58.0
16,7,29.0
16,8,39.0
16,9,60.0
16,10,14.0
16,11,36.0
17,0,45.0
17,1,113.0
17,2,28.0
17,3,18.0
17,4,112.0
17,5,71.0
17,6,34.0
17,7,52.0
17,8,87.0
17,9,79.0
17,10,37.0
17,11,116.0
18,0,107.0
18,1,66.0
18,2,90.0
18,3,146.0
18,4,157.0
18,5,48.0
18,6,141.0
18,7,154.0
18,8,34.0
18,9,132.0
18,10,141.0
18,11,170.0
19,0,35.0
19,1,157.0
19,2,155.0
19,3,48.0
19,4,127.0
19,5,168.0
19,6,159.0
19,7,18.0
19,8,148.0
19,9,137.0
19,10,63.0
19,11,72.0
20,0,112.0
20,1,102.0
20,2,18.0
20,3,91.0
20,4,94.0
20,5,10.0
20,6,61.0
20,7,74.0
20,8,54.0
20,9,11.0
20,10,78.0
20,11,7.0
21,0,64.0
21,1,56.0
21,2,11.0
21,3,65.0
21,4,9.0
21,5,57.0
21,6,53.0
21,7,9.0
21,8,56.0
21,9,5.0
21,10,61.0
21,11,5.0
22,0,58.0
22,1,1.0
22,2,54.0
22,3,2.0
22,4,49.0
22,5,5.0
22,6,55.0
22,7,20.0
22,8,3.0
22,9,30.0
22,10,11.0
22,11,19.0
23,0,0.0
23,1,37.0
23,2,0.0
23,3,29.0
23,4,5.0
23,5,24.0
23,6,1.0
23,7,4.0
23,8,3.0
23,9,0.0
23,10,0.0
23,11,0.0
