时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,6.0
5,7,6.0
5,8,9.0
5,9,15.0
5,10,10.0
5,11,5.0
6,0,11.0
6,1,10.0
6,2,6.0
6,3,18.0
6,4,15.0
6,5,24.0
6,6,23.0
6,7,47.0
6,8,34.0
6,9,80.0
6,10,64.0
6,11,33.0
7,0,81.0
7,1,26.0
7,2,80.0
7,3,103.0
7,4,59.0
7,5,127.0
7,6,70.0
7,7,131.0
7,8,62.0
7,9,67.0
7,10,86.0
7,11,86.0
8,0,70.0
8,1,92.0
8,2,75.0
8,3,56.0
8,4,100.0
8,5,59.0
8,6,44.0
8,7,53.0
8,8,64.0
8,9,61.0
8,10,67.0
8,11,64.0
9,0,27.0
9,1,39.0
9,2,40.0
9,3,18.0
9,4,56.0
9,5,21.0
9,6,63.0
9,7,30.0
9,8,33.0
9,9,21.0
9,10,46.0
9,11,29.0
10,0,14.0
10,1,25.0
10,2,37.0
10,3,12.0
10,4,35.0
10,5,7.0
10,6,58.0
10,7,26.0
10,8,13.0
10,9,42.0
10,10,6.0
10,11,8.0
11,0,34.0
11,1,14.0
11,2,30.0
11,3,9.0
11,4,45.0
11,5,12.0
11,6,20.0
11,7,27.0
11,8,10.0
11,9,44.0
11,10,20.0
11,11,19.0
12,0,16.0
12,1,9.0
12,2,30.0
12,3,10.0
12,4,26.0
12,5,8.0
12,6,9.0
12,7,27.0
12,8,16.0
12,9,33.0
12,10,7.0
12,11,39.0
13,0,7.0
13,1,9.0
13,2,33.0
13,3,7.0
13,4,32.0
13,5,12.0
13,6,13.0
13,7,25.0
13,8,10.0
13,9,30.0
13,10,15.0
13,11,31.0
14,0,13.0
14,1,7.0
14,2,24.0
14,3,23.0
14,4,37.0
14,5,7.0
14,6,32.0
14,7,20.0
14,8,9.0
14,9,24.0
14,10,25.0
14,11,31.0
15,0,12.0
15,1,13.0
15,2,34.0
15,3,14.0
15,4,28.0
15,5,19.0
15,6,10.0
15,7,32.0
15,8,24.0
15,9,28.0
15,10,11.0
15,11,27.0
16,0,6.0
16,1,22.0
16,2,29.0
16,3,17.0
16,4,49.0
16,5,23.0
16,6,12.0
16,7,42.0
16,8,14.0
16,9,30.0
16,10,22.0
16,11,60.0
17,0,13.0
17,1,6.0
17,2,14.0
17,3,17.0
17,4,62.0
17,5,32.0
17,6,57.0
17,7,17.0
17,8,42.0
17,9,47.0
17,10,19.0
17,11,38.0
18,0,82.0
18,1,54.0
18,2,43.0
18,3,63.0
18,4,64.0
18,5,18.0
18,6,86.0
18,7,106.0
18,8,62.0
18,9,30.0
18,10,92.0
18,11,98.0
19,0,10.0
19,1,83.0
19,2,84.0
19,3,90.0
19,4,38.0
19,5,87.0
19,6,92.0
19,7,7.0
19,8,77.0
19,9,80.0
19,10,60.0
19,11,19.0
20,0,70.0
20,1,60.0
20,2,5.0
20,3,59.0
20,4,40.0
20,5,8.0
20,6,45.0
20,7,46.0
20,8,30.0
20,9,7.0
20,10,29.0
20,11,29.0
21,0,6.0
21,1,38.0
21,2,24.0
21,3,7.0
21,4,29.0
21,5,7.0
21,6,22.0
21,7,24.0
21,8,8.0
21,9,30.0
21,10,1.0
21,11,30.0
22,0,0.0
22,1,28.0
22,2,0.0
22,3,15.0
22,4,0.0
22,5,25.0
22,6,0.0
22,7,30.0
22,8,0.0
22,9,21.0
22,10,6.0
22,11,0.0
23,0,26.0
23,1,19.0
23,2,0.0
23,3,0.0
23,4,22.0
23,5,0.0
23,6,16.0
23,7,0.0
23,8,8.0
23,9,0.0
23,10,3.0
23,11,0.0
