时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,27.0
5,8,36.0
5,9,60.0
5,10,64.0
5,11,87.0
6,0,87.0
6,1,62.0
6,2,96.0
6,3,107.0
6,4,154.0
6,5,147.0
6,6,197.0
6,7,202.0
6,8,222.0
6,9,286.0
6,10,271.0
6,11,273.0
7,0,417.0
7,1,472.0
7,2,437.0
7,3,548.0
7,4,632.0
7,5,711.0
7,6,671.0
7,7,794.0
7,8,871.0
7,9,747.0
7,10,890.0
7,11,960.0
8,0,901.0
8,1,1014.0
8,2,781.0
8,3,811.0
8,4,945.0
8,5,724.0
8,6,668.0
8,7,605.0
8,8,632.0
8,9,533.0
8,10,460.0
8,11,440.0
9,0,408.0
9,1,328.0
9,2,370.0
9,3,250.0
9,4,288.0
9,5,223.0
9,6,220.0
9,7,249.0
9,8,250.0
9,9,181.0
9,10,240.0
9,11,184.0
10,0,169.0
10,1,114.0
10,2,221.0
10,3,173.0
10,4,156.0
10,5,169.0
10,6,126.0
10,7,153.0
10,8,162.0
10,9,128.0
10,10,169.0
10,11,112.0
11,0,107.0
11,1,118.0
11,2,139.0
11,3,137.0
11,4,155.0
11,5,106.0
11,6,118.0
11,7,106.0
11,8,147.0
11,9,154.0
11,10,106.0
11,11,176.0
12,0,114.0
12,1,135.0
12,2,151.0
12,3,131.0
12,4,145.0
12,5,146.0
12,6,111.0
12,7,143.0
12,8,139.0
12,9,141.0
12,10,197.0
12,11,152.0
13,0,87.0
13,1,135.0
13,2,152.0
13,3,140.0
13,4,125.0
13,5,133.0
13,6,105.0
13,7,174.0
13,8,138.0
13,9,132.0
13,10,149.0
13,11,151.0
14,0,75.0
14,1,118.0
14,2,133.0
14,3,116.0
14,4,161.0
14,5,155.0
14,6,122.0
14,7,135.0
14,8,149.0
14,9,144.0
14,10,171.0
14,11,128.0
15,0,103.0
15,1,148.0
15,2,156.0
15,3,140.0
15,4,171.0
15,5,170.0
15,6,105.0
15,7,159.0
15,8,186.0
15,9,163.0
15,10,164.0
15,11,129.0
16,0,127.0
16,1,200.0
16,2,169.0
16,3,213.0
16,4,99.0
16,5,188.0
16,6,254.0
16,7,155.0
16,8,225.0
16,9,279.0
16,10,231.0
16,11,223.0
17,0,258.0
17,1,364.0
17,2,262.0
17,3,417.0
17,4,321.0
17,5,384.0
17,6,474.0
17,7,327.0
17,8,480.0
17,9,396.0
17,10,641.0
17,11,493.0
18,0,527.0
18,1,538.0
18,2,460.0
18,3,615.0
18,4,516.0
18,5,567.0
18,6,619.0
18,7,497.0
18,8,592.0
18,9,421.0
18,10,671.0
18,11,511.0
19,0,551.0
19,1,520.0
19,2,460.0
19,3,589.0
19,4,452.0
19,5,485.0
19,6,355.0
19,7,367.0
19,8,336.0
19,9,293.0
19,10,296.0
19,11,229.0
20,0,289.0
20,1,238.0
20,2,248.0
20,3,251.0
20,4,192.0
20,5,196.0
20,6,250.0
20,7,187.0
20,8,169.0
20,9,190.0
20,10,171.0
20,11,192.0
21,0,258.0
21,1,160.0
21,2,151.0
21,3,167.0
21,4,150.0
21,5,171.0
21,6,158.0
21,7,196.0
21,8,148.0
21,9,140.0
21,10,172.0
21,11,172.0
22,0,125.0
22,1,133.0
22,2,75.0
22,3,102.0
22,4,138.0
22,5,123.0
22,6,61.0
22,7,36.0
22,8,101.0
22,9,81.0
22,10,84.0
22,11,83.0
23,0,56.0
23,1,62.0
23,2,40.0
23,3,32.0
23,4,26.0
23,5,19.0
23,6,14.0
23,7,5.0
23,8,7.0
23,9,0.0
23,10,0.0
23,11,0.0
