时,第x个五分钟,客流量
0,0,2.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,1.0
4,9,0.0
4,10,1.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,1.0
5,3,13.0
5,4,26.0
5,5,39.0
5,6,51.0
5,7,23.0
5,8,30.0
5,9,30.0
5,10,34.0
5,11,62.0
6,0,66.0
6,1,69.0
6,2,61.0
6,3,58.0
6,4,88.0
6,5,103.0
6,6,124.0
6,7,151.0
6,8,274.0
6,9,227.0
6,10,270.0
6,11,229.0
7,0,368.0
7,1,291.0
7,2,369.0
7,3,316.0
7,4,458.0
7,5,377.0
7,6,369.0
7,7,448.0
7,8,282.0
7,9,496.0
7,10,494.0
7,11,304.0
8,0,515.0
8,1,422.0
8,2,270.0
8,3,454.0
8,4,248.0
8,5,468.0
8,6,357.0
8,7,174.0
8,8,349.0
8,9,266.0
8,10,150.0
8,11,292.0
9,0,246.0
9,1,84.0
9,2,225.0
9,3,156.0
9,4,170.0
9,5,106.0
9,6,167.0
9,7,154.0
9,8,83.0
9,9,120.0
9,10,156.0
9,11,92.0
10,0,152.0
10,1,90.0
10,2,154.0
10,3,55.0
10,4,115.0
10,5,53.0
10,6,145.0
10,7,60.0
10,8,161.0
10,9,51.0
10,10,160.0
10,11,63.0
11,0,64.0
11,1,161.0
11,2,38.0
11,3,151.0
11,4,61.0
11,5,69.0
11,6,170.0
11,7,52.0
11,8,149.0
11,9,58.0
11,10,143.0
11,11,75.0
12,0,56.0
12,1,186.0
12,2,65.0
12,3,156.0
12,4,50.0
12,5,94.0
12,6,120.0
12,7,62.0
12,8,160.0
12,9,44.0
12,10,162.0
12,11,58.0
13,0,49.0
13,1,168.0
13,2,50.0
13,3,154.0
13,4,47.0
13,5,48.0
13,6,160.0
13,7,34.0
13,8,136.0
13,9,57.0
13,10,186.0
13,11,63.0
14,0,69.0
14,1,144.0
14,2,57.0
14,3,162.0
14,4,46.0
14,5,43.0
14,6,143.0
14,7,39.0
14,8,194.0
14,9,67.0
14,10,152.0
14,11,61.0
15,0,46.0
15,1,213.0
15,2,61.0
15,3,188.0
15,4,60.0
15,5,121.0
15,6,139.0
15,7,50.0
15,8,174.0
15,9,61.0
15,10,106.0
15,11,122.0
16,0,37.0
16,1,195.0
16,2,80.0
16,3,201.0
16,4,99.0
16,5,83.0
16,6,226.0
16,7,78.0
16,8,289.0
16,9,126.0
16,10,188.0
16,11,121.0
17,0,101.0
17,1,359.0
17,2,255.0
17,3,174.0
17,4,299.0
17,5,192.0
17,6,293.0
17,7,263.0
17,8,282.0
17,9,137.0
17,10,306.0
17,11,295.0
18,0,170.0
18,1,221.0
18,2,297.0
18,3,276.0
18,4,133.0
18,5,310.0
18,6,259.0
18,7,70.0
18,8,252.0
18,9,306.0
18,10,225.0
18,11,95.0
19,0,271.0
19,1,213.0
19,2,121.0
19,3,171.0
19,4,240.0
19,5,207.0
19,6,96.0
19,7,226.0
19,8,228.0
19,9,106.0
19,10,156.0
19,11,162.0
20,0,150.0
20,1,33.0
20,2,123.0
20,3,128.0
20,4,70.0
20,5,87.0
20,6,101.0
20,7,64.0
20,8,91.0
20,9,132.0
20,10,40.0
20,11,123.0
21,0,80.0
21,1,51.0
21,2,110.0
21,3,24.0
21,4,113.0
21,5,69.0
21,6,31.0
21,7,106.0
21,8,20.0
21,9,85.0
21,10,47.0
21,11,91.0
22,0,22.0
22,1,63.0
22,2,36.0
22,3,4.0
22,4,80.0
22,5,0.0
22,6,78.0
22,7,0.0
22,8,46.0
22,9,0.0
22,10,48.0
22,11,0.0
23,0,62.0
23,1,3.0
23,2,52.0
23,3,1.0
23,4,33.0
23,5,2.0
23,6,15.0
23,7,0.0
23,8,11.0
23,9,8.0
23,10,1.0
23,11,8.0
