时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,5.0
5,6,8.0
5,7,9.0
5,8,13.0
5,9,22.0
5,10,26.0
5,11,29.0
6,0,30.0
6,1,39.0
6,2,42.0
6,3,40.0
6,4,85.0
6,5,63.0
6,6,90.0
6,7,88.0
6,8,150.0
6,9,131.0
6,10,147.0
6,11,200.0
7,0,217.0
7,1,267.0
7,2,254.0
7,3,278.0
7,4,331.0
7,5,421.0
7,6,402.0
7,7,398.0
7,8,503.0
7,9,378.0
7,10,392.0
7,11,483.0
8,0,374.0
8,1,298.0
8,2,372.0
8,3,478.0
8,4,331.0
8,5,328.0
8,6,283.0
8,7,240.0
8,8,297.0
8,9,235.0
8,10,179.0
8,11,140.0
9,0,188.0
9,1,156.0
9,2,145.0
9,3,119.0
9,4,121.0
9,5,111.0
9,6,97.0
9,7,75.0
9,8,93.0
9,9,81.0
9,10,76.0
9,11,76.0
10,0,83.0
10,1,59.0
10,2,67.0
10,3,59.0
10,4,60.0
10,5,72.0
10,6,63.0
10,7,71.0
10,8,47.0
10,9,65.0
10,10,66.0
10,11,70.0
11,0,61.0
11,1,55.0
11,2,67.0
11,3,56.0
11,4,67.0
11,5,64.0
11,6,55.0
11,7,72.0
11,8,52.0
11,9,43.0
11,10,73.0
11,11,70.0
12,0,91.0
12,1,87.0
12,2,86.0
12,3,42.0
12,4,86.0
12,5,58.0
12,6,85.0
12,7,73.0
12,8,71.0
12,9,75.0
12,10,59.0
12,11,59.0
13,0,64.0
13,1,45.0
13,2,74.0
13,3,42.0
13,4,60.0
13,5,51.0
13,6,45.0
13,7,67.0
13,8,62.0
13,9,50.0
13,10,53.0
13,11,66.0
14,0,71.0
14,1,67.0
14,2,65.0
14,3,38.0
14,4,71.0
14,5,76.0
14,6,80.0
14,7,60.0
14,8,67.0
14,9,53.0
14,10,73.0
14,11,44.0
15,0,61.0
15,1,57.0
15,2,86.0
15,3,32.0
15,4,63.0
15,5,87.0
15,6,80.0
15,7,62.0
15,8,71.0
15,9,33.0
15,10,77.0
15,11,59.0
16,0,62.0
16,1,91.0
16,2,51.0
16,3,56.0
16,4,84.0
16,5,90.0
16,6,118.0
16,7,97.0
16,8,102.0
16,9,111.0
16,10,118.0
16,11,142.0
17,0,174.0
17,1,175.0
17,2,162.0
17,3,200.0
17,4,169.0
17,5,167.0
17,6,160.0
17,7,210.0
17,8,175.0
17,9,206.0
17,10,166.0
17,11,240.0
18,0,179.0
18,1,219.0
18,2,248.0
18,3,158.0
18,4,260.0
18,5,138.0
18,6,309.0
18,7,199.0
18,8,292.0
18,9,206.0
18,10,206.0
18,11,270.0
19,0,173.0
19,1,274.0
19,2,190.0
19,3,186.0
19,4,262.0
19,5,160.0
19,6,206.0
19,7,123.0
19,8,191.0
19,9,154.0
19,10,126.0
19,11,129.0
20,0,91.0
20,1,169.0
20,2,74.0
20,3,105.0
20,4,93.0
20,5,83.0
20,6,106.0
20,7,105.0
20,8,84.0
20,9,95.0
20,10,80.0
20,11,96.0
21,0,64.0
21,1,86.0
21,2,72.0
21,3,72.0
21,4,92.0
21,5,43.0
21,6,93.0
21,7,93.0
21,8,72.0
21,9,75.0
21,10,62.0
21,11,36.0
22,0,70.0
22,1,61.0
22,2,37.0
22,3,58.0
22,4,47.0
22,5,33.0
22,6,30.0
22,7,36.0
22,8,32.0
22,9,20.0
22,10,43.0
22,11,31.0
23,0,43.0
23,1,21.0
23,2,14.0
23,3,21.0
23,4,9.0
23,5,8.0
23,6,15.0
23,7,7.0
23,8,1.0
23,9,3.0
23,10,4.0
23,11,0.0
