时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,1.0
4,8,0.0
4,9,1.0
4,10,0.0
4,11,0.0
5,0,1.0
5,1,0.0
5,2,0.0
5,3,7.0
5,4,10.0
5,5,11.0
5,6,17.0
5,7,19.0
5,8,17.0
5,9,31.0
5,10,37.0
5,11,40.0
6,0,31.0
6,1,42.0
6,2,42.0
6,3,71.0
6,4,44.0
6,5,72.0
6,6,56.0
6,7,76.0
6,8,123.0
6,9,134.0
6,10,96.0
6,11,122.0
7,0,114.0
7,1,204.0
7,2,165.0
7,3,236.0
7,4,133.0
7,5,340.0
7,6,235.0
7,7,240.0
7,8,275.0
7,9,187.0
7,10,325.0
7,11,326.0
8,0,164.0
8,1,303.0
8,2,283.0
8,3,119.0
8,4,251.0
8,5,115.0
8,6,194.0
8,7,190.0
8,8,90.0
8,9,140.0
8,10,77.0
8,11,103.0
9,0,104.0
9,1,128.0
9,2,51.0
9,3,84.0
9,4,98.0
9,5,48.0
9,6,69.0
9,7,95.0
9,8,47.0
9,9,41.0
9,10,66.0
9,11,73.0
10,0,54.0
10,1,55.0
10,2,33.0
10,3,58.0
10,4,32.0
10,5,22.0
10,6,84.0
10,7,61.0
10,8,30.0
10,9,21.0
10,10,64.0
10,11,20.0
11,0,88.0
11,1,26.0
11,2,19.0
11,3,67.0
11,4,30.0
11,5,95.0
11,6,19.0
11,7,51.0
11,8,16.0
11,9,24.0
11,10,74.0
11,11,30.0
12,0,71.0
12,1,51.0
12,2,29.0
12,3,81.0
12,4,28.0
12,5,81.0
12,6,22.0
12,7,70.0
12,8,40.0
12,9,34.0
12,10,82.0
12,11,20.0
13,0,70.0
13,1,28.0
13,2,62.0
13,3,72.0
13,4,16.0
13,5,80.0
13,6,25.0
13,7,51.0
13,8,27.0
13,9,25.0
13,10,67.0
13,11,36.0
14,0,77.0
14,1,22.0
14,2,32.0
14,3,53.0
14,4,15.0
14,5,83.0
14,6,24.0
14,7,56.0
14,8,23.0
14,9,19.0
14,10,84.0
14,11,23.0
15,0,80.0
15,1,20.0
15,2,23.0
15,3,83.0
15,4,29.0
15,5,96.0
15,6,22.0
15,7,55.0
15,8,79.0
15,9,15.0
15,10,95.0
15,11,21.0
16,0,79.0
16,1,26.0
16,2,19.0
16,3,90.0
16,4,20.0
16,5,87.0
16,6,39.0
16,7,35.0
16,8,123.0
16,9,21.0
16,10,107.0
16,11,37.0
17,0,152.0
17,1,39.0
17,2,158.0
17,3,45.0
17,4,133.0
17,5,169.0
17,6,128.0
17,7,138.0
17,8,141.0
17,9,188.0
17,10,50.0
17,11,169.0
18,0,189.0
18,1,140.0
18,2,98.0
18,3,180.0
18,4,237.0
18,5,35.0
18,6,232.0
18,7,225.0
18,8,130.0
18,9,154.0
18,10,233.0
18,11,246.0
19,0,24.0
19,1,233.0
19,2,251.0
19,3,142.0
19,4,110.0
19,5,213.0
19,6,201.0
19,7,17.0
19,8,185.0
19,9,139.0
19,10,72.0
19,11,63.0
20,0,107.0
20,1,113.0
20,2,10.0
20,3,103.0
20,4,99.0
20,5,44.0
20,6,54.0
20,7,93.0
20,8,13.0
20,9,97.0
20,10,86.0
20,11,9.0
21,0,89.0
21,1,45.0
21,2,37.0
21,3,114.0
21,4,9.0
21,5,74.0
21,6,7.0
21,7,78.0
21,8,4.0
21,9,69.0
21,10,3.0
21,11,73.0
22,0,4.0
22,1,66.0
22,2,2.0
22,3,82.0
22,4,3.0
22,5,0.0
22,6,90.0
22,7,26.0
22,8,36.0
22,9,24.0
22,10,16.0
22,11,0.0
23,0,59.0
23,1,0.0
23,2,45.0
23,3,0.0
23,4,24.0
23,5,0.0
23,6,18.0
23,7,0.0
23,8,22.0
23,9,10.0
23,10,0.0
23,11,7.0
