时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,1.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,10.0
5,3,11.0
5,4,30.0
5,5,25.0
5,6,15.0
5,7,7.0
5,8,28.0
5,9,33.0
5,10,34.0
5,11,28.0
6,0,47.0
6,1,24.0
6,2,50.0
6,3,52.0
6,4,60.0
6,5,57.0
6,6,103.0
6,7,55.0
6,8,100.0
6,9,92.0
6,10,141.0
6,11,166.0
7,0,99.0
7,1,181.0
7,2,148.0
7,3,156.0
7,4,189.0
7,5,199.0
7,6,176.0
7,7,244.0
7,8,198.0
7,9,136.0
7,10,229.0
7,11,128.0
8,0,172.0
8,1,202.0
8,2,101.0
8,3,208.0
8,4,174.0
8,5,76.0
8,6,195.0
8,7,160.0
8,8,96.0
8,9,145.0
8,10,168.0
8,11,86.0
9,0,126.0
9,1,52.0
9,2,118.0
9,3,112.0
9,4,78.0
9,5,50.0
9,6,122.0
9,7,94.0
9,8,30.0
9,9,80.0
9,10,96.0
9,11,33.0
10,0,110.0
10,1,24.0
10,2,104.0
10,3,30.0
10,4,64.0
10,5,52.0
10,6,50.0
10,7,32.0
10,8,88.0
10,9,42.0
10,10,107.0
10,11,33.0
11,0,92.0
11,1,31.0
11,2,46.0
11,3,86.0
11,4,22.0
11,5,112.0
11,6,27.0
11,7,71.0
11,8,66.0
11,9,27.0
11,10,96.0
11,11,42.0
12,0,97.0
12,1,36.0
12,2,35.0
12,3,110.0
12,4,37.0
12,5,92.0
12,6,43.0
12,7,94.0
12,8,46.0
12,9,37.0
12,10,89.0
12,11,18.0
13,0,99.0
13,1,23.0
13,2,27.0
13,3,115.0
13,4,32.0
13,5,92.0
13,6,31.0
13,7,81.0
13,8,39.0
13,9,20.0
13,10,94.0
13,11,38.0
14,0,98.0
14,1,34.0
14,2,26.0
14,3,96.0
14,4,31.0
14,5,92.0
14,6,30.0
14,7,80.0
14,8,29.0
14,9,15.0
14,10,99.0
14,11,28.0
15,0,117.0
15,1,43.0
15,2,37.0
15,3,103.0
15,4,37.0
15,5,105.0
15,6,31.0
15,7,106.0
15,8,35.0
15,9,36.0
15,10,121.0
15,11,30.0
16,0,114.0
16,1,48.0
16,2,50.0
16,3,134.0
16,4,50.0
16,5,134.0
16,6,61.0
16,7,136.0
16,8,83.0
16,9,57.0
16,10,66.0
16,11,72.0
17,0,214.0
17,1,95.0
17,2,117.0
17,3,151.0
17,4,142.0
17,5,150.0
17,6,97.0
17,7,166.0
17,8,158.0
17,9,87.0
17,10,190.0
17,11,181.0
18,0,175.0
18,1,88.0
18,2,232.0
18,3,201.0
18,4,66.0
18,5,180.0
18,6,189.0
18,7,154.0
18,8,125.0
18,9,187.0
18,10,201.0
18,11,65.0
19,0,180.0
19,1,175.0
19,2,151.0
19,3,54.0
19,4,162.0
19,5,161.0
19,6,50.0
19,7,152.0
19,8,145.0
19,9,116.0
19,10,31.0
19,11,110.0
20,0,101.0
20,1,41.0
20,2,92.0
20,3,110.0
20,4,53.0
20,5,77.0
20,6,86.0
20,7,65.0
20,8,29.0
20,9,92.0
20,10,41.0
20,11,54.0
21,0,75.0
21,1,32.0
21,2,78.0
21,3,35.0
21,4,69.0
21,5,60.0
21,6,18.0
21,7,60.0
21,8,10.0
21,9,57.0
21,10,18.0
21,11,45.0
22,0,8.0
22,1,52.0
22,2,0.0
22,3,42.0
22,4,5.0
22,5,54.0
22,6,20.0
22,7,0.0
22,8,28.0
22,9,36.0
22,10,1.0
22,11,0.0
23,0,37.0
23,1,0.0
23,2,28.0
23,3,3.0
23,4,22.0
23,5,0.0
23,6,19.0
23,7,0.0
23,8,20.0
23,9,0.0
23,10,0.0
23,11,12.0
