时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,2.0
5,4,11.0
5,5,14.0
5,6,8.0
5,7,9.0
5,8,5.0
5,9,9.0
5,10,10.0
5,11,16.0
6,0,28.0
6,1,25.0
6,2,38.0
6,3,55.0
6,4,47.0
6,5,34.0
6,6,71.0
6,7,74.0
6,8,101.0
6,9,100.0
6,10,151.0
6,11,159.0
7,0,131.0
7,1,193.0
7,2,164.0
7,3,204.0
7,4,210.0
7,5,224.0
7,6,310.0
7,7,256.0
7,8,346.0
7,9,279.0
7,10,362.0
7,11,332.0
8,0,457.0
8,1,378.0
8,2,368.0
8,3,367.0
8,4,321.0
8,5,248.0
8,6,358.0
8,7,309.0
8,8,309.0
8,9,280.0
8,10,244.0
8,11,193.0
9,0,201.0
9,1,183.0
9,2,180.0
9,3,134.0
9,4,146.0
9,5,105.0
9,6,85.0
9,7,91.0
9,8,123.0
9,9,69.0
9,10,76.0
9,11,90.0
10,0,69.0
10,1,62.0
10,2,60.0
10,3,68.0
10,4,60.0
10,5,45.0
10,6,52.0
10,7,65.0
10,8,59.0
10,9,50.0
10,10,57.0
10,11,54.0
11,0,45.0
11,1,56.0
11,2,46.0
11,3,72.0
11,4,64.0
11,5,33.0
11,6,51.0
11,7,47.0
11,8,61.0
11,9,53.0
11,10,58.0
11,11,57.0
12,0,41.0
12,1,61.0
12,2,55.0
12,3,45.0
12,4,73.0
12,5,49.0
12,6,45.0
12,7,70.0
12,8,54.0
12,9,70.0
12,10,56.0
12,11,45.0
13,0,60.0
13,1,51.0
13,2,78.0
13,3,42.0
13,4,64.0
13,5,41.0
13,6,44.0
13,7,52.0
13,8,53.0
13,9,50.0
13,10,64.0
13,11,28.0
14,0,28.0
14,1,54.0
14,2,69.0
14,3,60.0
14,4,62.0
14,5,46.0
14,6,51.0
14,7,75.0
14,8,76.0
14,9,74.0
14,10,67.0
14,11,27.0
15,0,65.0
15,1,67.0
15,2,55.0
15,3,71.0
15,4,62.0
15,5,66.0
15,6,31.0
15,7,84.0
15,8,70.0
15,9,58.0
15,10,75.0
15,11,44.0
16,0,90.0
16,1,73.0
16,2,67.0
16,3,100.0
16,4,43.0
16,5,84.0
16,6,44.0
16,7,172.0
16,8,100.0
16,9,54.0
16,10,140.0
16,11,85.0
17,0,70.0
17,1,148.0
17,2,158.0
17,3,176.0
17,4,143.0
17,5,113.0
17,6,218.0
17,7,96.0
17,8,202.0
17,9,271.0
17,10,228.0
17,11,117.0
18,0,202.0
18,1,260.0
18,2,116.0
18,3,266.0
18,4,342.0
18,5,254.0
18,6,129.0
18,7,289.0
18,8,314.0
18,9,71.0
18,10,269.0
18,11,323.0
19,0,246.0
19,1,72.0
19,2,225.0
19,3,249.0
19,4,92.0
19,5,181.0
19,6,212.0
19,7,163.0
19,8,56.0
19,9,168.0
19,10,95.0
19,11,49.0
20,0,125.0
20,1,119.0
20,2,112.0
20,3,66.0
20,4,119.0
20,5,97.0
20,6,53.0
20,7,120.0
20,8,59.0
20,9,73.0
20,10,78.0
20,11,57.0
21,0,76.0
21,1,78.0
21,2,101.0
21,3,46.0
21,4,87.0
21,5,69.0
21,6,85.0
21,7,81.0
21,8,64.0
21,9,85.0
21,10,53.0
21,11,45.0
22,0,85.0
22,1,61.0
22,2,51.0
22,3,70.0
22,4,45.0
22,5,61.0
22,6,55.0
22,7,47.0
22,8,44.0
22,9,26.0
22,10,33.0
22,11,23.0
23,0,18.0
23,1,9.0
23,2,5.0
23,3,12.0
23,4,7.0
23,5,3.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
