时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,1.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,2.0
5,6,7.0
5,7,11.0
5,8,8.0
5,9,3.0
5,10,7.0
5,11,11.0
6,0,12.0
6,1,7.0
6,2,8.0
6,3,16.0
6,4,15.0
6,5,17.0
6,6,22.0
6,7,17.0
6,8,31.0
6,9,60.0
6,10,37.0
6,11,40.0
7,0,34.0
7,1,66.0
7,2,70.0
7,3,73.0
7,4,65.0
7,5,102.0
7,6,90.0
7,7,80.0
7,8,85.0
7,9,75.0
7,10,50.0
7,11,93.0
8,0,66.0
8,1,48.0
8,2,60.0
8,3,50.0
8,4,51.0
8,5,42.0
8,6,28.0
8,7,60.0
8,8,46.0
8,9,26.0
8,10,63.0
8,11,14.0
9,0,49.0
9,1,25.0
9,2,12.0
9,3,15.0
9,4,23.0
9,5,24.0
9,6,14.0
9,7,10.0
9,8,15.0
9,9,6.0
9,10,9.0
9,11,16.0
10,0,7.0
10,1,23.0
10,2,9.0
10,3,19.0
10,4,10.0
10,5,17.0
10,6,8.0
10,7,23.0
10,8,2.0
10,9,13.0
10,10,5.0
10,11,7.0
11,0,17.0
11,1,4.0
11,2,15.0
11,3,12.0
11,4,23.0
11,5,6.0
11,6,10.0
11,7,27.0
11,8,1.0
11,9,21.0
11,10,12.0
11,11,14.0
12,0,14.0
12,1,5.0
12,2,14.0
12,3,7.0
12,4,17.0
12,5,10.0
12,6,10.0
12,7,19.0
12,8,6.0
12,9,6.0
12,10,7.0
12,11,5.0
13,0,19.0
13,1,1.0
13,2,22.0
13,3,5.0
13,4,12.0
13,5,23.0
13,6,5.0
13,7,33.0
13,8,6.0
13,9,20.0
13,10,4.0
13,11,11.0
14,0,10.0
14,1,7.0
14,2,13.0
14,3,12.0
14,4,25.0
14,5,12.0
14,6,4.0
14,7,16.0
14,8,3.0
14,9,16.0
14,10,6.0
14,11,15.0
15,0,15.0
15,1,6.0
15,2,23.0
15,3,15.0
15,4,27.0
15,5,2.0
15,6,12.0
15,7,13.0
15,8,16.0
15,9,12.0
15,10,9.0
15,11,6.0
16,0,23.0
16,1,8.0
16,2,24.0
16,3,6.0
16,4,33.0
16,5,40.0
16,6,5.0
16,7,28.0
16,8,26.0
16,9,23.0
16,10,12.0
16,11,32.0
17,0,71.0
17,1,11.0
17,2,42.0
17,3,59.0
17,4,10.0
17,5,65.0
17,6,30.0
17,7,18.0
17,8,64.0
17,9,44.0
17,10,34.0
17,11,20.0
18,0,73.0
18,1,47.0
18,2,15.0
18,3,44.0
18,4,38.0
18,5,24.0
18,6,33.0
18,7,53.0
18,8,73.0
18,9,5.0
18,10,87.0
18,11,51.0
19,0,37.0
19,1,27.0
19,2,88.0
19,3,64.0
19,4,29.0
19,5,64.0
19,6,65.0
19,7,47.0
19,8,21.0
19,9,38.0
19,10,48.0
19,11,14.0
20,0,42.0
20,1,29.0
20,2,6.0
20,3,27.0
20,4,28.0
20,5,20.0
20,6,9.0
20,7,26.0
20,8,23.0
20,9,2.0
20,10,32.0
20,11,3.0
21,0,22.0
21,1,33.0
21,2,1.0
21,3,13.0
21,4,2.0
21,5,28.0
21,6,26.0
21,7,6.0
21,8,19.0
21,9,13.0
21,10,12.0
21,11,10.0
22,0,15.0
22,1,7.0
22,2,0.0
22,3,19.0
22,4,0.0
22,5,15.0
22,6,0.0
22,7,18.0
22,8,1.0
22,9,14.0
22,10,0.0
22,11,18.0
23,0,4.0
23,1,6.0
23,2,7.0
23,3,5.0
23,4,6.0
23,5,7.0
23,6,3.0
23,7,3.0
23,8,1.0
23,9,0.0
23,10,0.0
23,11,2.0
