时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,9.0
5,10,18.0
5,11,21.0
6,0,40.0
6,1,58.0
6,2,58.0
6,3,60.0
6,4,89.0
6,5,79.0
6,6,144.0
6,7,131.0
6,8,108.0
6,9,149.0
6,10,139.0
6,11,136.0
7,0,179.0
7,1,185.0
7,2,168.0
7,3,206.0
7,4,246.0
7,5,269.0
7,6,324.0
7,7,376.0
7,8,386.0
7,9,407.0
7,10,426.0
7,11,413.0
8,0,472.0
8,1,479.0
8,2,450.0
8,3,470.0
8,4,464.0
8,5,393.0
8,6,448.0
8,7,335.0
8,8,363.0
8,9,302.0
8,10,331.0
8,11,264.0
9,0,259.0
9,1,207.0
9,2,203.0
9,3,181.0
9,4,211.0
9,5,152.0
9,6,152.0
9,7,156.0
9,8,127.0
9,9,110.0
9,10,85.0
9,11,96.0
10,0,116.0
10,1,97.0
10,2,78.0
10,3,95.0
10,4,108.0
10,5,83.0
10,6,83.0
10,7,53.0
10,8,73.0
10,9,82.0
10,10,48.0
10,11,71.0
11,0,62.0
11,1,57.0
11,2,68.0
11,3,74.0
11,4,65.0
11,5,66.0
11,6,56.0
11,7,71.0
11,8,71.0
11,9,74.0
11,10,72.0
11,11,51.0
12,0,92.0
12,1,48.0
12,2,61.0
12,3,63.0
12,4,69.0
12,5,76.0
12,6,86.0
12,7,49.0
12,8,73.0
12,9,73.0
12,10,84.0
12,11,59.0
13,0,69.0
13,1,62.0
13,2,66.0
13,3,70.0
13,4,64.0
13,5,61.0
13,6,67.0
13,7,73.0
13,8,56.0
13,9,75.0
13,10,75.0
13,11,57.0
14,0,81.0
14,1,48.0
14,2,58.0
14,3,65.0
14,4,78.0
14,5,57.0
14,6,72.0
14,7,38.0
14,8,67.0
14,9,68.0
14,10,70.0
14,11,53.0
15,0,62.0
15,1,40.0
15,2,72.0
15,3,66.0
15,4,69.0
15,5,69.0
15,6,52.0
15,7,53.0
15,8,60.0
15,9,80.0
15,10,67.0
15,11,98.0
16,0,97.0
16,1,62.0
16,2,114.0
16,3,75.0
16,4,134.0
16,5,118.0
16,6,96.0
16,7,94.0
16,8,137.0
16,9,104.0
16,10,139.0
16,11,127.0
17,0,171.0
17,1,163.0
17,2,264.0
17,3,186.0
17,4,207.0
17,5,173.0
17,6,211.0
17,7,263.0
17,8,191.0
17,9,330.0
17,10,234.0
17,11,267.0
18,0,351.0
18,1,255.0
18,2,337.0
18,3,244.0
18,4,430.0
18,5,246.0
18,6,319.0
18,7,249.0
18,8,222.0
18,9,380.0
18,10,201.0
18,11,358.0
19,0,184.0
19,1,205.0
19,2,294.0
19,3,194.0
19,4,266.0
19,5,126.0
19,6,230.0
19,7,104.0
19,8,205.0
19,9,103.0
19,10,132.0
19,11,165.0
20,0,77.0
20,1,146.0
20,2,110.0
20,3,91.0
20,4,111.0
20,5,99.0
20,6,124.0
20,7,79.0
20,8,69.0
20,9,105.0
20,10,90.0
20,11,136.0
21,0,77.0
21,1,104.0
21,2,78.0
21,3,87.0
21,4,87.0
21,5,101.0
21,6,97.0
21,7,42.0
21,8,58.0
21,9,80.0
21,10,82.0
21,11,119.0
22,0,62.0
22,1,67.0
22,2,70.0
22,3,55.0
22,4,69.0
22,5,99.0
22,6,72.0
22,7,88.0
22,8,51.0
22,9,46.0
22,10,39.0
22,11,22.0
23,0,24.0
23,1,19.0
23,2,11.0
23,3,1.0
23,4,24.0
23,5,2.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
