时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,2.0
5,10,8.0
5,11,13.0
6,0,24.0
6,1,32.0
6,2,60.0
6,3,62.0
6,4,53.0
6,5,58.0
6,6,57.0
6,7,122.0
6,8,105.0
6,9,107.0
6,10,114.0
6,11,150.0
7,0,158.0
7,1,170.0
7,2,175.0
7,3,177.0
7,4,212.0
7,5,243.0
7,6,267.0
7,7,286.0
7,8,411.0
7,9,404.0
7,10,393.0
7,11,375.0
8,0,365.0
8,1,391.0
8,2,381.0
8,3,311.0
8,4,446.0
8,5,360.0
8,6,323.0
8,7,373.0
8,8,352.0
8,9,347.0
8,10,270.0
8,11,310.0
9,0,271.0
9,1,232.0
9,2,207.0
9,3,227.0
9,4,195.0
9,5,210.0
9,6,205.0
9,7,167.0
9,8,142.0
9,9,70.0
9,10,174.0
9,11,105.0
10,0,123.0
10,1,107.0
10,2,87.0
10,3,84.0
10,4,123.0
10,5,124.0
10,6,110.0
10,7,84.0
10,8,59.0
10,9,77.0
10,10,99.0
10,11,69.0
11,0,76.0
11,1,96.0
11,2,72.0
11,3,70.0
11,4,74.0
11,5,93.0
11,6,68.0
11,7,72.0
11,8,50.0
11,9,55.0
11,10,82.0
11,11,75.0
12,0,80.0
12,1,80.0
12,2,62.0
12,3,67.0
12,4,85.0
12,5,71.0
12,6,88.0
12,7,71.0
12,8,55.0
12,9,87.0
12,10,87.0
12,11,89.0
13,0,79.0
13,1,87.0
13,2,68.0
13,3,64.0
13,4,91.0
13,5,106.0
13,6,77.0
13,7,94.0
13,8,53.0
13,9,80.0
13,10,93.0
13,11,73.0
14,0,87.0
14,1,64.0
14,2,56.0
14,3,69.0
14,4,102.0
14,5,94.0
14,6,83.0
14,7,90.0
14,8,76.0
14,9,80.0
14,10,88.0
14,11,86.0
15,0,94.0
15,1,94.0
15,2,62.0
15,3,93.0
15,4,81.0
15,5,100.0
15,6,89.0
15,7,112.0
15,8,65.0
15,9,103.0
15,10,112.0
15,11,113.0
16,0,80.0
16,1,93.0
16,2,137.0
16,3,65.0
16,4,148.0
16,5,146.0
16,6,119.0
16,7,125.0
16,8,139.0
16,9,177.0
16,10,121.0
16,11,147.0
17,0,192.0
17,1,238.0
17,2,336.0
17,3,244.0
17,4,265.0
17,5,197.0
17,6,188.0
17,7,340.0
17,8,241.0
17,9,360.0
17,10,236.0
17,11,231.0
18,0,302.0
18,1,241.0
18,2,322.0
18,3,293.0
18,4,339.0
18,5,251.0
18,6,237.0
18,7,264.0
18,8,196.0
18,9,295.0
18,10,162.0
18,11,237.0
19,0,179.0
19,1,199.0
19,2,179.0
19,3,139.0
19,4,205.0
19,5,108.0
19,6,122.0
19,7,86.0
19,8,105.0
19,9,132.0
19,10,65.0
19,11,115.0
20,0,81.0
20,1,89.0
20,2,93.0
20,3,101.0
20,4,65.0
20,5,100.0
20,6,65.0
20,7,79.0
20,8,125.0
20,9,85.0
20,10,62.0
20,11,67.0
21,0,74.0
21,1,61.0
21,2,84.0
21,3,74.0
21,4,96.0
21,5,81.0
21,6,77.0
21,7,71.0
21,8,71.0
21,9,56.0
21,10,62.0
21,11,54.0
22,0,51.0
22,1,78.0
22,2,40.0
22,3,82.0
22,4,81.0
22,5,69.0
22,6,84.0
22,7,45.0
22,8,40.0
22,9,39.0
22,10,18.0
22,11,22.0
23,0,16.0
23,1,13.0
23,2,1.0
23,3,3.0
23,4,2.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
