时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,4.0
5,8,19.0
5,9,25.0
5,10,63.0
5,11,86.0
6,0,76.0
6,1,94.0
6,2,87.0
6,3,112.0
6,4,122.0
6,5,127.0
6,6,149.0
6,7,145.0
6,8,135.0
6,9,165.0
6,10,187.0
6,11,183.0
7,0,202.0
7,1,222.0
7,2,283.0
7,3,308.0
7,4,345.0
7,5,335.0
7,6,437.0
7,7,504.0
7,8,520.0
7,9,520.0
7,10,498.0
7,11,541.0
8,0,595.0
8,1,517.0
8,2,588.0
8,3,541.0
8,4,412.0
8,5,461.0
8,6,400.0
8,7,351.0
8,8,328.0
8,9,346.0
8,10,250.0
8,11,244.0
9,0,224.0
9,1,190.0
9,2,193.0
9,3,167.0
9,4,176.0
9,5,157.0
9,6,128.0
9,7,119.0
9,8,80.0
9,9,123.0
9,10,94.0
9,11,101.0
10,0,53.0
10,1,139.0
10,2,100.0
10,3,81.0
10,4,87.0
10,5,62.0
10,6,73.0
10,7,86.0
10,8,92.0
10,9,82.0
10,10,78.0
10,11,49.0
11,0,72.0
11,1,72.0
11,2,81.0
11,3,72.0
11,4,78.0
11,5,57.0
11,6,59.0
11,7,73.0
11,8,59.0
11,9,76.0
11,10,57.0
11,11,64.0
12,0,72.0
12,1,63.0
12,2,83.0
12,3,122.0
12,4,84.0
12,5,73.0
12,6,69.0
12,7,79.0
12,8,97.0
12,9,80.0
12,10,71.0
12,11,54.0
13,0,68.0
13,1,78.0
13,2,88.0
13,3,89.0
13,4,75.0
13,5,41.0
13,6,67.0
13,7,57.0
13,8,87.0
13,9,83.0
13,10,70.0
13,11,67.0
14,0,45.0
14,1,84.0
14,2,82.0
14,3,73.0
14,4,66.0
14,5,58.0
14,6,60.0
14,7,89.0
14,8,84.0
14,9,76.0
14,10,77.0
14,11,55.0
15,0,55.0
15,1,75.0
15,2,88.0
15,3,95.0
15,4,77.0
15,5,36.0
15,6,98.0
15,7,105.0
15,8,81.0
15,9,88.0
15,10,86.0
15,11,54.0
16,0,106.0
16,1,112.0
16,2,137.0
16,3,80.0
16,4,87.0
16,5,167.0
16,6,59.0
16,7,170.0
16,8,147.0
16,9,146.0
16,10,112.0
16,11,136.0
17,0,191.0
17,1,156.0
17,2,219.0
17,3,150.0
17,4,197.0
17,5,197.0
17,6,159.0
17,7,264.0
17,8,189.0
17,9,314.0
17,10,270.0
17,11,244.0
18,0,319.0
18,1,213.0
18,2,408.0
18,3,249.0
18,4,439.0
18,5,312.0
18,6,400.0
18,7,377.0
18,8,262.0
18,9,439.0
18,10,278.0
18,11,369.0
19,0,302.0
19,1,320.0
19,2,293.0
19,3,186.0
19,4,280.0
19,5,171.0
19,6,235.0
19,7,166.0
19,8,200.0
19,9,132.0
19,10,129.0
19,11,168.0
20,0,96.0
20,1,176.0
20,2,104.0
20,3,106.0
20,4,114.0
20,5,156.0
20,6,91.0
20,7,100.0
20,8,111.0
20,9,113.0
20,10,120.0
20,11,118.0
21,0,94.0
21,1,92.0
21,2,101.0
21,3,113.0
21,4,99.0
21,5,90.0
21,6,99.0
21,7,116.0
21,8,81.0
21,9,97.0
21,10,85.0
21,11,80.0
22,0,86.0
22,1,65.0
22,2,63.0
22,3,104.0
22,4,93.0
22,5,59.0
22,6,22.0
22,7,88.0
22,8,76.0
22,9,110.0
22,10,70.0
22,11,45.0
23,0,44.0
23,1,35.0
23,2,31.0
23,3,23.0
23,4,17.0
23,5,14.0
23,6,5.0
23,7,12.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
