时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,2.0
5,9,1.0
5,10,4.0
5,11,2.0
6,0,4.0
6,1,7.0
6,2,6.0
6,3,4.0
6,4,14.0
6,5,17.0
6,6,11.0
6,7,23.0
6,8,6.0
6,9,13.0
6,10,23.0
6,11,12.0
7,0,15.0
7,1,25.0
7,2,24.0
7,3,17.0
7,4,28.0
7,5,43.0
7,6,54.0
7,7,53.0
7,8,76.0
7,9,84.0
7,10,59.0
7,11,107.0
8,0,99.0
8,1,96.0
8,2,83.0
8,3,72.0
8,4,63.0
8,5,65.0
8,6,54.0
8,7,70.0
8,8,73.0
8,9,46.0
8,10,52.0
8,11,39.0
9,0,38.0
9,1,27.0
9,2,35.0
9,3,30.0
9,4,16.0
9,5,21.0
9,6,22.0
9,7,27.0
9,8,20.0
9,9,17.0
9,10,13.0
9,11,15.0
10,0,19.0
10,1,21.0
10,2,22.0
10,3,14.0
10,4,19.0
10,5,12.0
10,6,15.0
10,7,16.0
10,8,10.0
10,9,8.0
10,10,10.0
10,11,15.0
11,0,12.0
11,1,6.0
11,2,16.0
11,3,14.0
11,4,13.0
11,5,16.0
11,6,14.0
11,7,9.0
11,8,12.0
11,9,11.0
11,10,14.0
11,11,18.0
12,0,12.0
12,1,9.0
12,2,10.0
12,3,16.0
12,4,11.0
12,5,16.0
12,6,12.0
12,7,22.0
12,8,14.0
12,9,17.0
12,10,24.0
12,11,5.0
13,0,14.0
13,1,20.0
13,2,12.0
13,3,13.0
13,4,8.0
13,5,15.0
13,6,13.0
13,7,12.0
13,8,10.0
13,9,12.0
13,10,14.0
13,11,10.0
14,0,11.0
14,1,18.0
14,2,8.0
14,3,18.0
14,4,16.0
14,5,15.0
14,6,14.0
14,7,8.0
14,8,14.0
14,9,13.0
14,10,16.0
14,11,12.0
15,0,16.0
15,1,19.0
15,2,14.0
15,3,23.0
15,4,22.0
15,5,21.0
15,6,18.0
15,7,19.0
15,8,20.0
15,9,19.0
15,10,16.0
15,11,17.0
16,0,25.0
16,1,14.0
16,2,17.0
16,3,26.0
16,4,5.0
16,5,17.0
16,6,18.0
16,7,16.0
16,8,23.0
16,9,31.0
16,10,16.0
16,11,17.0
17,0,25.0
17,1,41.0
17,2,33.0
17,3,43.0
17,4,28.0
17,5,31.0
17,6,17.0
17,7,28.0
17,8,36.0
17,9,48.0
17,10,41.0
17,11,41.0
18,0,45.0
18,1,28.0
18,2,38.0
18,3,58.0
18,4,38.0
18,5,29.0
18,6,26.0
18,7,35.0
18,8,14.0
18,9,30.0
18,10,40.0
18,11,20.0
19,0,36.0
19,1,33.0
19,2,35.0
19,3,30.0
19,4,13.0
19,5,19.0
19,6,13.0
19,7,25.0
19,8,18.0
19,9,19.0
19,10,12.0
19,11,16.0
20,0,12.0
20,1,14.0
20,2,11.0
20,3,16.0
20,4,13.0
20,5,3.0
20,6,12.0
20,7,15.0
20,8,13.0
20,9,11.0
20,10,10.0
20,11,16.0
21,0,13.0
21,1,15.0
21,2,18.0
21,3,13.0
21,4,9.0
21,5,4.0
21,6,15.0
21,7,9.0
21,8,7.0
21,9,19.0
21,10,12.0
21,11,12.0
22,0,9.0
22,1,10.0
22,2,5.0
22,3,7.0
22,4,5.0
22,5,4.0
22,6,16.0
22,7,17.0
22,8,11.0
22,9,13.0
22,10,7.0
22,11,0.0
23,0,8.0
23,1,2.0
23,2,0.0
23,3,1.0
23,4,0.0
23,5,2.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
