时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,6.0
5,6,7.0
5,7,5.0
5,8,7.0
5,9,13.0
5,10,9.0
5,11,19.0
6,0,18.0
6,1,11.0
6,2,28.0
6,3,30.0
6,4,25.0
6,5,55.0
6,6,50.0
6,7,58.0
6,8,73.0
6,9,124.0
6,10,86.0
6,11,106.0
7,0,119.0
7,1,107.0
7,2,117.0
7,3,175.0
7,4,154.0
7,5,201.0
7,6,196.0
7,7,202.0
7,8,235.0
7,9,255.0
7,10,251.0
7,11,298.0
8,0,255.0
8,1,296.0
8,2,273.0
8,3,236.0
8,4,211.0
8,5,281.0
8,6,193.0
8,7,244.0
8,8,258.0
8,9,192.0
8,10,181.0
8,11,165.0
9,0,159.0
9,1,129.0
9,2,95.0
9,3,121.0
9,4,105.0
9,5,68.0
9,6,66.0
9,7,85.0
9,8,68.0
9,9,46.0
9,10,58.0
9,11,45.0
10,0,35.0
10,1,57.0
10,2,51.0
10,3,46.0
10,4,52.0
10,5,25.0
10,6,38.0
10,7,35.0
10,8,48.0
10,9,22.0
10,10,34.0
10,11,34.0
11,0,50.0
11,1,35.0
11,2,43.0
11,3,27.0
11,4,38.0
11,5,14.0
11,6,35.0
11,7,29.0
11,8,34.0
11,9,28.0
11,10,21.0
11,11,38.0
12,0,43.0
12,1,36.0
12,2,32.0
12,3,43.0
12,4,31.0
12,5,20.0
12,6,31.0
12,7,33.0
12,8,37.0
12,9,30.0
12,10,30.0
12,11,37.0
13,0,33.0
13,1,41.0
13,2,30.0
13,3,46.0
13,4,51.0
13,5,26.0
13,6,38.0
13,7,46.0
13,8,41.0
13,9,37.0
13,10,22.0
13,11,28.0
14,0,40.0
14,1,36.0
14,2,37.0
14,3,31.0
14,4,24.0
14,5,31.0
14,6,44.0
14,7,32.0
14,8,22.0
14,9,46.0
14,10,43.0
14,11,19.0
15,0,37.0
15,1,39.0
15,2,32.0
15,3,41.0
15,4,23.0
15,5,26.0
15,6,51.0
15,7,53.0
15,8,46.0
15,9,55.0
15,10,53.0
15,11,44.0
16,0,46.0
16,1,71.0
16,2,57.0
16,3,49.0
16,4,44.0
16,5,40.0
16,6,71.0
16,7,75.0
16,8,36.0
16,9,72.0
16,10,93.0
16,11,65.0
17,0,81.0
17,1,126.0
17,2,116.0
17,3,65.0
17,4,99.0
17,5,116.0
17,6,86.0
17,7,117.0
17,8,193.0
17,9,169.0
17,10,64.0
17,11,184.0
18,0,193.0
18,1,130.0
18,2,166.0
18,3,225.0
18,4,205.0
18,5,77.0
18,6,220.0
18,7,214.0
18,8,97.0
18,9,201.0
18,10,190.0
18,11,185.0
19,0,65.0
19,1,196.0
19,2,177.0
19,3,84.0
19,4,103.0
19,5,166.0
19,6,119.0
19,7,39.0
19,8,113.0
19,9,93.0
19,10,57.0
19,11,59.0
20,0,76.0
20,1,108.0
20,2,44.0
20,3,76.0
20,4,93.0
20,5,47.0
20,6,64.0
20,7,54.0
20,8,53.0
20,9,40.0
20,10,43.0
20,11,51.0
21,0,42.0
21,1,80.0
21,2,63.0
21,3,60.0
21,4,45.0
21,5,50.0
21,6,61.0
21,7,47.0
21,8,80.0
21,9,47.0
21,10,48.0
21,11,48.0
22,0,29.0
22,1,29.0
22,2,31.0
22,3,26.0
22,4,29.0
22,5,21.0
22,6,27.0
22,7,28.0
22,8,35.0
22,9,33.0
22,10,23.0
22,11,16.0
23,0,11.0
23,1,2.0
23,2,6.0
23,3,4.0
23,4,2.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
