时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,11.0
5,6,13.0
5,7,20.0
5,8,15.0
5,9,12.0
5,10,19.0
5,11,22.0
6,0,17.0
6,1,12.0
6,2,26.0
6,3,28.0
6,4,37.0
6,5,42.0
6,6,39.0
6,7,78.0
6,8,75.0
6,9,88.0
6,10,122.0
6,11,89.0
7,0,145.0
7,1,160.0
7,2,214.0
7,3,171.0
7,4,222.0
7,5,149.0
7,6,289.0
7,7,262.0
7,8,228.0
7,9,271.0
7,10,277.0
7,11,158.0
8,0,244.0
8,1,186.0
8,2,240.0
8,3,276.0
8,4,154.0
8,5,196.0
8,6,206.0
8,7,93.0
8,8,150.0
8,9,113.0
8,10,135.0
8,11,105.0
9,0,56.0
9,1,72.0
9,2,96.0
9,3,61.0
9,4,34.0
9,5,73.0
9,6,90.0
9,7,55.0
9,8,35.0
9,9,54.0
9,10,35.0
9,11,61.0
10,0,49.0
10,1,22.0
10,2,28.0
10,3,46.0
10,4,21.0
10,5,82.0
10,6,32.0
10,7,43.0
10,8,26.0
10,9,42.0
10,10,24.0
10,11,70.0
11,0,29.0
11,1,15.0
11,2,76.0
11,3,26.0
11,4,65.0
11,5,19.0
11,6,23.0
11,7,39.0
11,8,28.0
11,9,61.0
11,10,18.0
11,11,39.0
12,0,42.0
12,1,25.0
12,2,69.0
12,3,28.0
12,4,60.0
12,5,21.0
12,6,36.0
12,7,53.0
12,8,25.0
12,9,60.0
12,10,12.0
12,11,40.0
13,0,46.0
13,1,24.0
13,2,68.0
13,3,20.0
13,4,90.0
13,5,15.0
13,6,51.0
13,7,46.0
13,8,17.0
13,9,63.0
13,10,15.0
13,11,55.0
14,0,19.0
14,1,17.0
14,2,54.0
14,3,26.0
14,4,57.0
14,5,17.0
14,6,34.0
14,7,55.0
14,8,20.0
14,9,57.0
14,10,17.0
14,11,66.0
15,0,21.0
15,1,28.0
15,2,57.0
15,3,28.0
15,4,69.0
15,5,21.0
15,6,36.0
15,7,64.0
15,8,27.0
15,9,61.0
15,10,18.0
15,11,70.0
16,0,36.0
16,1,33.0
16,2,76.0
16,3,37.0
16,4,80.0
16,5,31.0
16,6,44.0
16,7,100.0
16,8,34.0
16,9,99.0
16,10,39.0
16,11,116.0
17,0,60.0
17,1,103.0
17,2,47.0
17,3,96.0
17,4,101.0
17,5,63.0
17,6,113.0
17,7,120.0
17,8,153.0
17,9,50.0
17,10,125.0
17,11,135.0
18,0,47.0
18,1,153.0
18,2,189.0
18,3,137.0
18,4,76.0
18,5,159.0
18,6,186.0
18,7,48.0
18,8,206.0
18,9,195.0
18,10,171.0
18,11,40.0
19,0,190.0
19,1,196.0
19,2,25.0
19,3,196.0
19,4,167.0
19,5,166.0
19,6,26.0
19,7,160.0
19,8,165.0
19,9,20.0
19,10,121.0
19,11,80.0
20,0,96.0
20,1,28.0
20,2,96.0
20,3,92.0
20,4,15.0
20,5,69.0
20,6,75.0
20,7,9.0
20,8,79.0
20,9,69.0
20,10,25.0
20,11,79.0
21,0,14.0
21,1,62.0
21,2,33.0
21,3,65.0
21,4,78.0
21,5,7.0
21,6,70.0
21,7,16.0
21,8,77.0
21,9,6.0
21,10,80.0
21,11,6.0
22,0,77.0
22,1,6.0
22,2,67.0
22,3,0.0
22,4,0.0
22,5,63.0
22,6,0.0
22,7,48.0
22,8,1.0
22,9,42.0
22,10,1.0
22,11,51.0
23,0,0.0
23,1,43.0
23,2,0.0
23,3,32.0
23,4,0.0
23,5,9.0
23,6,0.0
23,7,14.0
23,8,3.0
23,9,0.0
23,10,3.0
23,11,0.0
