时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,7.0
5,11,9.0
6,0,20.0
6,1,30.0
6,2,31.0
6,3,40.0
6,4,41.0
6,5,33.0
6,6,44.0
6,7,45.0
6,8,46.0
6,9,50.0
6,10,58.0
6,11,54.0
7,0,81.0
7,1,66.0
7,2,79.0
7,3,90.0
7,4,112.0
7,5,114.0
7,6,136.0
7,7,138.0
7,8,156.0
7,9,190.0
7,10,179.0
7,11,221.0
8,0,244.0
8,1,230.0
8,2,243.0
8,3,211.0
8,4,215.0
8,5,236.0
8,6,211.0
8,7,189.0
8,8,250.0
8,9,214.0
8,10,193.0
8,11,146.0
9,0,123.0
9,1,112.0
9,2,107.0
9,3,107.0
9,4,94.0
9,5,92.0
9,6,88.0
9,7,83.0
9,8,77.0
9,9,46.0
9,10,47.0
9,11,53.0
10,0,89.0
10,1,45.0
10,2,76.0
10,3,56.0
10,4,67.0
10,5,50.0
10,6,46.0
10,7,31.0
10,8,60.0
10,9,56.0
10,10,50.0
10,11,44.0
11,0,42.0
11,1,40.0
11,2,58.0
11,3,50.0
11,4,56.0
11,5,33.0
11,6,36.0
11,7,49.0
11,8,38.0
11,9,52.0
11,10,35.0
11,11,46.0
12,0,34.0
12,1,36.0
12,2,39.0
12,3,32.0
12,4,55.0
12,5,43.0
12,6,42.0
12,7,24.0
12,8,37.0
12,9,37.0
12,10,37.0
12,11,37.0
13,0,33.0
13,1,27.0
13,2,64.0
13,3,39.0
13,4,46.0
13,5,52.0
13,6,40.0
13,7,24.0
13,8,49.0
13,9,36.0
13,10,47.0
13,11,45.0
14,0,40.0
14,1,32.0
14,2,43.0
14,3,45.0
14,4,50.0
14,5,50.0
14,6,21.0
14,7,56.0
14,8,45.0
14,9,52.0
14,10,48.0
14,11,36.0
15,0,38.0
15,1,61.0
15,2,58.0
15,3,49.0
15,4,43.0
15,5,55.0
15,6,36.0
15,7,36.0
15,8,61.0
15,9,70.0
15,10,57.0
15,11,62.0
16,0,28.0
16,1,62.0
16,2,29.0
16,3,64.0
16,4,83.0
16,5,62.0
16,6,73.0
16,7,48.0
16,8,76.0
16,9,72.0
16,10,71.0
16,11,105.0
17,0,68.0
17,1,107.0
17,2,84.0
17,3,107.0
17,4,87.0
17,5,94.0
17,6,104.0
17,7,79.0
17,8,154.0
17,9,139.0
17,10,169.0
17,11,106.0
18,0,159.0
18,1,201.0
18,2,143.0
18,3,170.0
18,4,114.0
18,5,177.0
18,6,98.0
18,7,125.0
18,8,161.0
18,9,92.0
18,10,163.0
18,11,77.0
19,0,74.0
19,1,105.0
19,2,60.0
19,3,111.0
19,4,65.0
19,5,87.0
19,6,63.0
19,7,83.0
19,8,36.0
19,9,58.0
19,10,52.0
19,11,33.0
20,0,60.0
20,1,56.0
20,2,44.0
20,3,49.0
20,4,43.0
20,5,55.0
20,6,34.0
20,7,29.0
20,8,45.0
20,9,46.0
20,10,68.0
20,11,33.0
21,0,33.0
21,1,48.0
21,2,31.0
21,3,45.0
21,4,37.0
21,5,21.0
21,6,27.0
21,7,39.0
21,8,37.0
21,9,41.0
21,10,59.0
21,11,34.0
22,0,45.0
22,1,34.0
22,2,22.0
22,3,28.0
22,4,32.0
22,5,38.0
22,6,27.0
22,7,28.0
22,8,20.0
22,9,10.0
22,10,14.0
22,11,13.0
23,0,9.0
23,1,10.0
23,2,3.0
23,3,4.0
23,4,3.0
23,5,3.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
