时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,3.0
5,8,2.0
5,9,4.0
5,10,10.0
5,11,18.0
6,0,19.0
6,1,24.0
6,2,38.0
6,3,42.0
6,4,42.0
6,5,53.0
6,6,49.0
6,7,57.0
6,8,71.0
6,9,106.0
6,10,75.0
6,11,112.0
7,0,114.0
7,1,105.0
7,2,191.0
7,3,155.0
7,4,150.0
7,5,218.0
7,6,318.0
7,7,167.0
7,8,266.0
7,9,329.0
7,10,305.0
7,11,365.0
8,0,364.0
8,1,406.0
8,2,334.0
8,3,376.0
8,4,422.0
8,5,315.0
8,6,390.0
8,7,377.0
8,8,416.0
8,9,464.0
8,10,327.0
8,11,303.0
9,0,247.0
9,1,193.0
9,2,179.0
9,3,163.0
9,4,157.0
9,5,189.0
9,6,141.0
9,7,81.0
9,8,95.0
9,9,131.0
9,10,80.0
9,11,53.0
10,0,125.0
10,1,71.0
10,2,54.0
10,3,73.0
10,4,66.0
10,5,60.0
10,6,87.0
10,7,77.0
10,8,62.0
10,9,61.0
10,10,68.0
10,11,43.0
11,0,78.0
11,1,37.0
11,2,39.0
11,3,65.0
11,4,42.0
11,5,62.0
11,6,69.0
11,7,67.0
11,8,57.0
11,9,60.0
11,10,55.0
11,11,59.0
12,0,58.0
12,1,55.0
12,2,71.0
12,3,54.0
12,4,77.0
12,5,69.0
12,6,56.0
12,7,55.0
12,8,72.0
12,9,65.0
12,10,56.0
12,11,60.0
13,0,59.0
13,1,48.0
13,2,62.0
13,3,57.0
13,4,32.0
13,5,76.0
13,6,75.0
13,7,85.0
13,8,75.0
13,9,53.0
13,10,65.0
13,11,33.0
14,0,93.0
14,1,76.0
14,2,81.0
14,3,87.0
14,4,71.0
14,5,44.0
14,6,53.0
14,7,47.0
14,8,73.0
14,9,75.0
14,10,72.0
14,11,63.0
15,0,73.0
15,1,80.0
15,2,108.0
15,3,73.0
15,4,53.0
15,5,51.0
15,6,56.0
15,7,69.0
15,8,51.0
15,9,91.0
15,10,52.0
15,11,92.0
16,0,95.0
16,1,99.0
16,2,80.0
16,3,62.0
16,4,116.0
16,5,74.0
16,6,100.0
16,7,112.0
16,8,87.0
16,9,97.0
16,10,105.0
16,11,126.0
17,0,88.0
17,1,302.0
17,2,177.0
17,3,195.0
17,4,192.0
17,5,190.0
17,6,210.0
17,7,215.0
17,8,324.0
17,9,260.0
17,10,219.0
17,11,270.0
18,0,208.0
18,1,284.0
18,2,291.0
18,3,394.0
18,4,297.0
18,5,249.0
18,6,241.0
18,7,149.0
18,8,223.0
18,9,142.0
18,10,222.0
18,11,143.0
19,0,167.0
19,1,158.0
19,2,130.0
19,3,154.0
19,4,92.0
19,5,103.0
19,6,89.0
19,7,97.0
19,8,103.0
19,9,73.0
19,10,85.0
19,11,67.0
20,0,73.0
20,1,54.0
20,2,72.0
20,3,49.0
20,4,70.0
20,5,63.0
20,6,51.0
20,7,58.0
20,8,66.0
20,9,51.0
20,10,79.0
20,11,50.0
21,0,53.0
21,1,49.0
21,2,45.0
21,3,55.0
21,4,41.0
21,5,46.0
21,6,46.0
21,7,39.0
21,8,63.0
21,9,63.0
21,10,39.0
21,11,24.0
22,0,30.0
22,1,35.0
22,2,43.0
22,3,50.0
22,4,19.0
22,5,25.0
22,6,50.0
22,7,18.0
22,8,30.0
22,9,22.0
22,10,15.0
22,11,20.0
23,0,11.0
23,1,7.0
23,2,10.0
23,3,3.0
23,4,1.0
23,5,5.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
