时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,2.0
5,3,2.0
5,4,5.0
5,5,2.0
5,6,3.0
5,7,6.0
5,8,7.0
5,9,4.0
5,10,16.0
5,11,16.0
6,0,6.0
6,1,14.0
6,2,17.0
6,3,18.0
6,4,26.0
6,5,21.0
6,6,19.0
6,7,26.0
6,8,19.0
6,9,29.0
6,10,37.0
6,11,41.0
7,0,54.0
7,1,50.0
7,2,54.0
7,3,52.0
7,4,58.0
7,5,102.0
7,6,59.0
7,7,134.0
7,8,77.0
7,9,103.0
7,10,122.0
7,11,151.0
8,0,141.0
8,1,184.0
8,2,151.0
8,3,121.0
8,4,150.0
8,5,203.0
8,6,126.0
8,7,175.0
8,8,134.0
8,9,134.0
8,10,114.0
8,11,108.0
9,0,96.0
9,1,86.0
9,2,64.0
9,3,74.0
9,4,87.0
9,5,63.0
9,6,31.0
9,7,33.0
9,8,34.0
9,9,20.0
9,10,40.0
9,11,26.0
10,0,13.0
10,1,13.0
10,2,27.0
10,3,16.0
10,4,21.0
10,5,22.0
10,6,12.0
10,7,7.0
10,8,18.0
10,9,22.0
10,10,16.0
10,11,21.0
11,0,13.0
11,1,15.0
11,2,17.0
11,3,9.0
11,4,17.0
11,5,10.0
11,6,13.0
11,7,13.0
11,8,16.0
11,9,12.0
11,10,29.0
11,11,28.0
12,0,12.0
12,1,9.0
12,2,10.0
12,3,35.0
12,4,21.0
12,5,22.0
12,6,12.0
12,7,8.0
12,8,18.0
12,9,12.0
12,10,10.0
12,11,18.0
13,0,16.0
13,1,14.0
13,2,17.0
13,3,13.0
13,4,16.0
13,5,14.0
13,6,17.0
13,7,14.0
13,8,5.0
13,9,12.0
13,10,13.0
13,11,18.0
14,0,14.0
14,1,16.0
14,2,11.0
14,3,14.0
14,4,13.0
14,5,15.0
14,6,10.0
14,7,6.0
14,8,13.0
14,9,16.0
14,10,17.0
14,11,21.0
15,0,19.0
15,1,15.0
15,2,11.0
15,3,11.0
15,4,20.0
15,5,14.0
15,6,16.0
15,7,20.0
15,8,16.0
15,9,12.0
15,10,18.0
15,11,3.0
16,0,23.0
16,1,18.0
16,2,21.0
16,3,19.0
16,4,28.0
16,5,39.0
16,6,17.0
16,7,32.0
16,8,28.0
16,9,36.0
16,10,37.0
16,11,53.0
17,0,55.0
17,1,64.0
17,2,90.0
17,3,137.0
17,4,91.0
17,5,93.0
17,6,42.0
17,7,84.0
17,8,85.0
17,9,66.0
17,10,93.0
17,11,126.0
18,0,102.0
18,1,54.0
18,2,75.0
18,3,56.0
18,4,162.0
18,5,97.0
18,6,88.0
18,7,98.0
18,8,74.0
18,9,45.0
18,10,65.0
18,11,39.0
19,0,43.0
19,1,54.0
19,2,107.0
19,3,55.0
19,4,54.0
19,5,28.0
19,6,25.0
19,7,44.0
19,8,29.0
19,9,20.0
19,10,23.0
19,11,30.0
20,0,35.0
20,1,8.0
20,2,56.0
20,3,24.0
20,4,28.0
20,5,20.0
20,6,26.0
20,7,12.0
20,8,32.0
20,9,33.0
20,10,24.0
20,11,13.0
21,0,38.0
21,1,16.0
21,2,11.0
21,3,24.0
21,4,20.0
21,5,19.0
21,6,28.0
21,7,10.0
21,8,21.0
21,9,15.0
21,10,15.0
21,11,20.0
22,0,20.0
22,1,9.0
22,2,8.0
22,3,12.0
22,4,12.0
22,5,8.0
22,6,14.0
22,7,4.0
22,8,15.0
22,9,10.0
22,10,10.0
22,11,1.0
23,0,4.0
23,1,3.0
23,2,1.0
23,3,2.0
23,4,3.0
23,5,1.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
