时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,1.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,16.0
5,5,22.0
5,6,24.0
5,7,12.0
5,8,17.0
5,9,20.0
5,10,21.0
5,11,23.0
6,0,27.0
6,1,25.0
6,2,38.0
6,3,47.0
6,4,53.0
6,5,80.0
6,6,87.0
6,7,177.0
6,8,130.0
6,9,108.0
6,10,138.0
6,11,209.0
7,0,222.0
7,1,200.0
7,2,208.0
7,3,263.0
7,4,281.0
7,5,194.0
7,6,182.0
7,7,187.0
7,8,224.0
7,9,174.0
7,10,168.0
7,11,230.0
8,0,133.0
8,1,168.0
8,2,213.0
8,3,131.0
8,4,166.0
8,5,113.0
8,6,78.0
8,7,147.0
8,8,115.0
8,9,81.0
8,10,113.0
8,11,105.0
9,0,47.0
9,1,81.0
9,2,71.0
9,3,67.0
9,4,72.0
9,5,59.0
9,6,60.0
9,7,80.0
9,8,54.0
9,9,59.0
9,10,50.0
9,11,77.0
10,0,25.0
10,1,72.0
10,2,73.0
10,3,27.0
10,4,99.0
10,5,26.0
10,6,65.0
10,7,39.0
10,8,64.0
10,9,17.0
10,10,84.0
10,11,24.0
11,0,56.0
11,1,22.0
11,2,15.0
11,3,88.0
11,4,20.0
11,5,76.0
11,6,15.0
11,7,43.0
11,8,56.0
11,9,19.0
11,10,87.0
11,11,16.0
12,0,65.0
12,1,23.0
12,2,10.0
12,3,77.0
12,4,19.0
12,5,72.0
12,6,30.0
12,7,22.0
12,8,63.0
12,9,21.0
12,10,70.0
12,11,19.0
13,0,71.0
13,1,22.0
13,2,27.0
13,3,61.0
13,4,20.0
13,5,73.0
13,6,14.0
13,7,35.0
13,8,70.0
13,9,15.0
13,10,50.0
13,11,25.0
14,0,52.0
14,1,31.0
14,2,25.0
14,3,96.0
14,4,23.0
14,5,66.0
14,6,30.0
14,7,38.0
14,8,57.0
14,9,19.0
14,10,58.0
14,11,35.0
15,0,85.0
15,1,33.0
15,2,24.0
15,3,80.0
15,4,23.0
15,5,80.0
15,6,34.0
15,7,38.0
15,8,56.0
15,9,36.0
15,10,55.0
15,11,25.0
16,0,91.0
16,1,12.0
16,2,18.0
16,3,75.0
16,4,25.0
16,5,98.0
16,6,20.0
16,7,46.0
16,8,101.0
16,9,23.0
16,10,94.0
16,11,32.0
17,0,23.0
17,1,22.0
17,2,57.0
17,3,179.0
17,4,20.0
17,5,120.0
17,6,88.0
17,7,25.0
17,8,134.0
17,9,69.0
17,10,33.0
17,11,114.0
18,0,103.0
18,1,100.0
18,2,57.0
18,3,97.0
18,4,150.0
18,5,19.0
18,6,201.0
18,7,127.0
18,8,110.0
18,9,61.0
18,10,131.0
18,11,175.0
19,0,25.0
19,1,189.0
19,2,166.0
19,3,127.0
19,4,68.0
19,5,192.0
19,6,167.0
19,7,26.0
19,8,147.0
19,9,173.0
19,10,52.0
19,11,83.0
20,0,114.0
20,1,112.0
20,2,16.0
20,3,95.0
20,4,76.0
20,5,27.0
20,6,75.0
20,7,80.0
20,8,68.0
20,9,3.0
20,10,62.0
20,11,70.0
21,0,10.0
21,1,86.0
21,2,8.0
21,3,70.0
21,4,69.0
21,5,8.0
21,6,86.0
21,7,2.0
21,8,56.0
21,9,68.0
21,10,3.0
21,11,57.0
22,0,19.0
22,1,52.0
22,2,6.0
22,3,39.0
22,4,15.0
22,5,1.0
22,6,51.0
22,7,0.0
22,8,65.0
22,9,2.0
22,10,33.0
22,11,1.0
23,0,15.0
23,1,0.0
23,2,34.0
23,3,0.0
23,4,20.0
23,5,9.0
23,6,19.0
23,7,5.0
23,8,5.0
23,9,4.0
23,10,0.0
23,11,0.0
