时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,0.0
5,6,0.0
5,7,1.0
5,8,1.0
5,9,1.0
5,10,4.0
5,11,5.0
6,0,8.0
6,1,14.0
6,2,27.0
6,3,31.0
6,4,36.0
6,5,46.0
6,6,59.0
6,7,65.0
6,8,85.0
6,9,83.0
6,10,96.0
6,11,107.0
7,0,132.0
7,1,133.0
7,2,129.0
7,3,147.0
7,4,122.0
7,5,142.0
7,6,176.0
7,7,201.0
7,8,220.0
7,9,251.0
7,10,286.0
7,11,276.0
8,0,299.0
8,1,367.0
8,2,345.0
8,3,335.0
8,4,336.0
8,5,357.0
8,6,410.0
8,7,438.0
8,8,457.0
8,9,474.0
8,10,439.0
8,11,391.0
9,0,425.0
9,1,306.0
9,2,340.0
9,3,256.0
9,4,286.0
9,5,224.0
9,6,215.0
9,7,170.0
9,8,188.0
9,9,157.0
9,10,133.0
9,11,157.0
10,0,110.0
10,1,94.0
10,2,109.0
10,3,108.0
10,4,105.0
10,5,110.0
10,6,76.0
10,7,92.0
10,8,101.0
10,9,62.0
10,10,66.0
10,11,93.0
11,0,63.0
11,1,62.0
11,2,71.0
11,3,71.0
11,4,69.0
11,5,54.0
11,6,77.0
11,7,61.0
11,8,58.0
11,9,80.0
11,10,80.0
11,11,59.0
12,0,58.0
12,1,72.0
12,2,85.0
12,3,71.0
12,4,58.0
12,5,76.0
12,6,62.0
12,7,74.0
12,8,87.0
12,9,69.0
12,10,50.0
12,11,90.0
13,0,78.0
13,1,63.0
13,2,75.0
13,3,78.0
13,4,81.0
13,5,55.0
13,6,81.0
13,7,63.0
13,8,75.0
13,9,90.0
13,10,80.0
13,11,65.0
14,0,53.0
14,1,75.0
14,2,64.0
14,3,58.0
14,4,82.0
14,5,72.0
14,6,92.0
14,7,64.0
14,8,83.0
14,9,86.0
14,10,61.0
14,11,60.0
15,0,100.0
15,1,62.0
15,2,71.0
15,3,90.0
15,4,93.0
15,5,56.0
15,6,76.0
15,7,67.0
15,8,101.0
15,9,67.0
15,10,129.0
15,11,75.0
16,0,98.0
16,1,118.0
16,2,142.0
16,3,118.0
16,4,76.0
16,5,136.0
16,6,117.0
16,7,109.0
16,8,131.0
16,9,148.0
16,10,129.0
16,11,151.0
17,0,156.0
17,1,182.0
17,2,188.0
17,3,176.0
17,4,221.0
17,5,187.0
17,6,209.0
17,7,244.0
17,8,305.0
17,9,314.0
17,10,267.0
17,11,264.0
18,0,211.0
18,1,345.0
18,2,364.0
18,3,420.0
18,4,337.0
18,5,310.0
18,6,334.0
18,7,261.0
18,8,340.0
18,9,259.0
18,10,245.0
18,11,255.0
19,0,206.0
19,1,212.0
19,2,159.0
19,3,157.0
19,4,166.0
19,5,145.0
19,6,141.0
19,7,131.0
19,8,129.0
19,9,71.0
19,10,111.0
19,11,104.0
20,0,81.0
20,1,92.0
20,2,101.0
20,3,83.0
20,4,87.0
20,5,86.0
20,6,75.0
20,7,102.0
20,8,95.0
20,9,75.0
20,10,78.0
20,11,67.0
21,0,87.0
21,1,86.0
21,2,79.0
21,3,87.0
21,4,43.0
21,5,65.0
21,6,86.0
21,7,49.0
21,8,76.0
21,9,73.0
21,10,41.0
21,11,67.0
22,0,41.0
22,1,35.0
22,2,53.0
22,3,87.0
22,4,61.0
22,5,42.0
22,6,38.0
22,7,45.0
22,8,41.0
22,9,23.0
22,10,12.0
22,11,14.0
23,0,8.0
23,1,10.0
23,2,1.0
23,3,3.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
