时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,1.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,4.0
5,7,22.0
5,8,15.0
5,9,22.0
5,10,31.0
5,11,43.0
6,0,25.0
6,1,33.0
6,2,33.0
6,3,37.0
6,4,32.0
6,5,43.0
6,6,137.0
6,7,69.0
6,8,85.0
6,9,130.0
6,10,91.0
6,11,102.0
7,0,140.0
7,1,209.0
7,2,160.0
7,3,216.0
7,4,197.0
7,5,265.0
7,6,294.0
7,7,248.0
7,8,281.0
7,9,392.0
7,10,332.0
7,11,286.0
8,0,372.0
8,1,263.0
8,2,258.0
8,3,223.0
8,4,237.0
8,5,244.0
8,6,198.0
8,7,258.0
8,8,171.0
8,9,125.0
8,10,146.0
8,11,130.0
9,0,101.0
9,1,119.0
9,2,101.0
9,3,112.0
9,4,55.0
9,5,67.0
9,6,77.0
9,7,79.0
9,8,75.0
9,9,69.0
9,10,43.0
9,11,72.0
10,0,38.0
10,1,51.0
10,2,31.0
10,3,59.0
10,4,51.0
10,5,73.0
10,6,45.0
10,7,40.0
10,8,39.0
10,9,41.0
10,10,65.0
10,11,51.0
11,0,24.0
11,1,43.0
11,2,72.0
11,3,45.0
11,4,53.0
11,5,48.0
11,6,35.0
11,7,60.0
11,8,50.0
11,9,66.0
11,10,62.0
11,11,29.0
12,0,54.0
12,1,35.0
12,2,45.0
12,3,45.0
12,4,76.0
12,5,64.0
12,6,38.0
12,7,43.0
12,8,53.0
12,9,42.0
12,10,47.0
12,11,56.0
13,0,56.0
13,1,44.0
13,2,34.0
13,3,56.0
13,4,47.0
13,5,40.0
13,6,40.0
13,7,44.0
13,8,36.0
13,9,42.0
13,10,63.0
13,11,62.0
14,0,39.0
14,1,32.0
14,2,29.0
14,3,74.0
14,4,44.0
14,5,43.0
14,6,33.0
14,7,56.0
14,8,55.0
14,9,54.0
14,10,51.0
14,11,37.0
15,0,26.0
15,1,77.0
15,2,56.0
15,3,45.0
15,4,64.0
15,5,49.0
15,6,62.0
15,7,35.0
15,8,81.0
15,9,47.0
15,10,60.0
15,11,39.0
16,0,37.0
16,1,70.0
16,2,47.0
16,3,92.0
16,4,63.0
16,5,22.0
16,6,70.0
16,7,65.0
16,8,113.0
16,9,77.0
16,10,73.0
16,11,102.0
17,0,73.0
17,1,86.0
17,2,124.0
17,3,135.0
17,4,101.0
17,5,123.0
17,6,116.0
17,7,113.0
17,8,89.0
17,9,181.0
17,10,106.0
17,11,162.0
18,0,127.0
18,1,145.0
18,2,189.0
18,3,127.0
18,4,218.0
18,5,137.0
18,6,233.0
18,7,162.0
18,8,156.0
18,9,223.0
18,10,138.0
18,11,242.0
19,0,152.0
19,1,184.0
19,2,203.0
19,3,156.0
19,4,171.0
19,5,125.0
19,6,206.0
19,7,81.0
19,8,101.0
19,9,135.0
19,10,106.0
19,11,133.0
20,0,90.0
20,1,113.0
20,2,92.0
20,3,63.0
20,4,116.0
20,5,75.0
20,6,49.0
20,7,86.0
20,8,73.0
20,9,49.0
20,10,51.0
20,11,66.0
21,0,52.0
21,1,90.0
21,2,52.0
21,3,55.0
21,4,64.0
21,5,67.0
21,6,62.0
21,7,61.0
21,8,49.0
21,9,66.0
21,10,49.0
21,11,44.0
22,0,49.0
22,1,53.0
22,2,59.0
22,3,43.0
22,4,23.0
22,5,37.0
22,6,61.0
22,7,10.0
22,8,24.0
22,9,52.0
22,10,27.0
22,11,30.0
23,0,30.0
23,1,23.0
23,2,20.0
23,3,5.0
23,4,15.0
23,5,12.0
23,6,14.0
23,7,4.0
23,8,4.0
23,9,4.0
23,10,0.0
23,11,0.0
