时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,0.0
5,8,2.0
5,9,4.0
5,10,3.0
5,11,37.0
6,0,12.0
6,1,15.0
6,2,27.0
6,3,20.0
6,4,18.0
6,5,57.0
6,6,124.0
6,7,78.0
6,8,107.0
6,9,106.0
6,10,126.0
6,11,117.0
7,0,122.0
7,1,164.0
7,2,141.0
7,3,186.0
7,4,189.0
7,5,227.0
7,6,310.0
7,7,260.0
7,8,283.0
7,9,317.0
7,10,343.0
7,11,379.0
8,0,336.0
8,1,528.0
8,2,374.0
8,3,625.0
8,4,542.0
8,5,558.0
8,6,656.0
8,7,493.0
8,8,371.0
8,9,474.0
8,10,417.0
8,11,371.0
9,0,257.0
9,1,315.0
9,2,265.0
9,3,268.0
9,4,223.0
9,5,256.0
9,6,136.0
9,7,233.0
9,8,196.0
9,9,126.0
9,10,163.0
9,11,162.0
10,0,169.0
10,1,160.0
10,2,124.0
10,3,95.0
10,4,126.0
10,5,131.0
10,6,123.0
10,7,108.0
10,8,89.0
10,9,96.0
10,10,108.0
10,11,108.0
11,0,99.0
11,1,99.0
11,2,53.0
11,3,119.0
11,4,102.0
11,5,118.0
11,6,110.0
11,7,88.0
11,8,104.0
11,9,62.0
11,10,99.0
11,11,81.0
12,0,103.0
12,1,92.0
12,2,80.0
12,3,100.0
12,4,74.0
12,5,106.0
12,6,70.0
12,7,110.0
12,8,71.0
12,9,75.0
12,10,106.0
12,11,84.0
13,0,113.0
13,1,101.0
13,2,54.0
13,3,85.0
13,4,65.0
13,5,107.0
13,6,68.0
13,7,89.0
13,8,54.0
13,9,51.0
13,10,75.0
13,11,66.0
14,0,79.0
14,1,88.0
14,2,56.0
14,3,62.0
14,4,51.0
14,5,76.0
14,6,83.0
14,7,70.0
14,8,64.0
14,9,63.0
14,10,49.0
14,11,77.0
15,0,84.0
15,1,84.0
15,2,70.0
15,3,75.0
15,4,101.0
15,5,82.0
15,6,81.0
15,7,79.0
15,8,57.0
15,9,115.0
15,10,84.0
15,11,102.0
16,0,92.0
16,1,84.0
16,2,93.0
16,3,103.0
16,4,92.0
16,5,55.0
16,6,102.0
16,7,73.0
16,8,122.0
16,9,115.0
16,10,88.0
16,11,168.0
17,0,99.0
17,1,145.0
17,2,124.0
17,3,203.0
17,4,188.0
17,5,187.0
17,6,215.0
17,7,217.0
17,8,257.0
17,9,164.0
17,10,263.0
17,11,209.0
18,0,226.0
18,1,295.0
18,2,275.0
18,3,304.0
18,4,269.0
18,5,390.0
18,6,346.0
18,7,267.0
18,8,281.0
18,9,261.0
18,10,220.0
18,11,200.0
19,0,241.0
19,1,185.0
19,2,138.0
19,3,173.0
19,4,123.0
19,5,160.0
19,6,113.0
19,7,136.0
19,8,126.0
19,9,84.0
19,10,81.0
19,11,80.0
20,0,95.0
20,1,80.0
20,2,62.0
20,3,69.0
20,4,70.0
20,5,91.0
20,6,88.0
20,7,103.0
20,8,56.0
20,9,75.0
20,10,67.0
20,11,59.0
21,0,59.0
21,1,50.0
21,2,84.0
21,3,61.0
21,4,57.0
21,5,75.0
21,6,99.0
21,7,83.0
21,8,26.0
21,9,59.0
21,10,57.0
21,11,48.0
22,0,42.0
22,1,34.0
22,2,54.0
22,3,45.0
22,4,44.0
22,5,40.0
22,6,57.0
22,7,29.0
22,8,19.0
22,9,23.0
22,10,10.0
22,11,22.0
23,0,8.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
