时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,1.0
5,8,10.0
5,9,2.0
5,10,6.0
5,11,11.0
6,0,5.0
6,1,14.0
6,2,12.0
6,3,10.0
6,4,14.0
6,5,21.0
6,6,24.0
6,7,65.0
6,8,24.0
6,9,64.0
6,10,36.0
6,11,41.0
7,0,77.0
7,1,69.0
7,2,49.0
7,3,55.0
7,4,80.0
7,5,67.0
7,6,128.0
7,7,113.0
7,8,143.0
7,9,99.0
7,10,139.0
7,11,103.0
8,0,93.0
8,1,161.0
8,2,170.0
8,3,114.0
8,4,167.0
8,5,108.0
8,6,84.0
8,7,136.0
8,8,113.0
8,9,99.0
8,10,110.0
8,11,53.0
9,0,64.0
9,1,94.0
9,2,46.0
9,3,20.0
9,4,60.0
9,5,30.0
9,6,35.0
9,7,19.0
9,8,23.0
9,9,18.0
9,10,41.0
9,11,21.0
10,0,19.0
10,1,21.0
10,2,22.0
10,3,24.0
10,4,20.0
10,5,13.0
10,6,13.0
10,7,11.0
10,8,16.0
10,9,22.0
10,10,9.0
10,11,9.0
11,0,12.0
11,1,14.0
11,2,11.0
11,3,19.0
11,4,12.0
11,5,19.0
11,6,17.0
11,7,10.0
11,8,13.0
11,9,23.0
11,10,11.0
11,11,12.0
12,0,15.0
12,1,9.0
12,2,9.0
12,3,28.0
12,4,9.0
12,5,13.0
12,6,17.0
12,7,14.0
12,8,15.0
12,9,17.0
12,10,17.0
12,11,18.0
13,0,18.0
13,1,12.0
13,2,18.0
13,3,21.0
13,4,17.0
13,5,13.0
13,6,10.0
13,7,7.0
13,8,11.0
13,9,27.0
13,10,8.0
13,11,16.0
14,0,18.0
14,1,14.0
14,2,15.0
14,3,24.0
14,4,15.0
14,5,17.0
14,6,22.0
14,7,11.0
14,8,16.0
14,9,18.0
14,10,14.0
14,11,19.0
15,0,12.0
15,1,20.0
15,2,16.0
15,3,21.0
15,4,19.0
15,5,7.0
15,6,22.0
15,7,21.0
15,8,26.0
15,9,24.0
15,10,17.0
15,11,22.0
16,0,17.0
16,1,21.0
16,2,26.0
16,3,27.0
16,4,33.0
16,5,18.0
16,6,27.0
16,7,45.0
16,8,39.0
16,9,41.0
16,10,52.0
16,11,49.0
17,0,51.0
17,1,81.0
17,2,94.0
17,3,75.0
17,4,84.0
17,5,37.0
17,6,98.0
17,7,70.0
17,8,82.0
17,9,75.0
17,10,106.0
17,11,65.0
18,0,88.0
18,1,108.0
18,2,68.0
18,3,78.0
18,4,128.0
18,5,69.0
18,6,89.0
18,7,45.0
18,8,88.0
18,9,58.0
18,10,70.0
18,11,65.0
19,0,55.0
19,1,48.0
19,2,26.0
19,3,49.0
19,4,44.0
19,5,30.0
19,6,37.0
19,7,23.0
19,8,51.0
19,9,26.0
19,10,8.0
19,11,20.0
20,0,26.0
20,1,23.0
20,2,18.0
20,3,20.0
20,4,21.0
20,5,13.0
20,6,28.0
20,7,7.0
20,8,24.0
20,9,13.0
20,10,21.0
20,11,19.0
21,0,13.0
21,1,23.0
21,2,19.0
21,3,23.0
21,4,14.0
21,5,20.0
21,6,16.0
21,7,18.0
21,8,21.0
21,9,15.0
21,10,8.0
21,11,23.0
22,0,26.0
22,1,8.0
22,2,10.0
22,3,14.0
22,4,14.0
22,5,13.0
22,6,14.0
22,7,13.0
22,8,10.0
22,9,6.0
22,10,1.0
22,11,3.0
23,0,2.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
