时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,2.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,2.0
5,5,2.0
5,6,12.0
5,7,14.0
5,8,13.0
5,9,17.0
5,10,16.0
5,11,24.0
6,0,29.0
6,1,37.0
6,2,33.0
6,3,51.0
6,4,74.0
6,5,58.0
6,6,82.0
6,7,77.0
6,8,100.0
6,9,105.0
6,10,129.0
6,11,106.0
7,0,99.0
7,1,192.0
7,2,131.0
7,3,171.0
7,4,163.0
7,5,209.0
7,6,184.0
7,7,266.0
7,8,239.0
7,9,274.0
7,10,317.0
7,11,301.0
8,0,368.0
8,1,340.0
8,2,336.0
8,3,305.0
8,4,290.0
8,5,228.0
8,6,288.0
8,7,219.0
8,8,163.0
8,9,155.0
8,10,119.0
8,11,146.0
9,0,126.0
9,1,80.0
9,2,95.0
9,3,90.0
9,4,94.0
9,5,78.0
9,6,75.0
9,7,60.0
9,8,54.0
9,9,53.0
9,10,70.0
9,11,46.0
10,0,52.0
10,1,27.0
10,2,34.0
10,3,44.0
10,4,46.0
10,5,32.0
10,6,42.0
10,7,17.0
10,8,27.0
10,9,29.0
10,10,37.0
10,11,34.0
11,0,15.0
11,1,20.0
11,2,36.0
11,3,27.0
11,4,30.0
11,5,33.0
11,6,20.0
11,7,26.0
11,8,35.0
11,9,23.0
11,10,45.0
11,11,39.0
12,0,26.0
12,1,35.0
12,2,36.0
12,3,67.0
12,4,26.0
12,5,37.0
12,6,18.0
12,7,32.0
12,8,40.0
12,9,36.0
12,10,41.0
12,11,18.0
13,0,35.0
13,1,31.0
13,2,36.0
13,3,38.0
13,4,30.0
13,5,34.0
13,6,14.0
13,7,39.0
13,8,32.0
13,9,24.0
13,10,30.0
13,11,28.0
14,0,34.0
14,1,11.0
14,2,32.0
14,3,43.0
14,4,26.0
14,5,27.0
14,6,46.0
14,7,33.0
14,8,31.0
14,9,37.0
14,10,36.0
14,11,36.0
15,0,35.0
15,1,24.0
15,2,37.0
15,3,49.0
15,4,40.0
15,5,54.0
15,6,31.0
15,7,30.0
15,8,36.0
15,9,46.0
15,10,48.0
15,11,39.0
16,0,29.0
16,1,52.0
16,2,49.0
16,3,54.0
16,4,58.0
16,5,64.0
16,6,57.0
16,7,64.0
16,8,90.0
16,9,76.0
16,10,85.0
16,11,103.0
17,0,97.0
17,1,55.0
17,2,105.0
17,3,130.0
17,4,109.0
17,5,114.0
17,6,60.0
17,7,159.0
17,8,158.0
17,9,153.0
17,10,193.0
17,11,149.0
18,0,157.0
18,1,137.0
18,2,187.0
18,3,159.0
18,4,159.0
18,5,125.0
18,6,198.0
18,7,119.0
18,8,314.0
18,9,122.0
18,10,206.0
18,11,182.0
19,0,159.0
19,1,144.0
19,2,132.0
19,3,218.0
19,4,40.0
19,5,167.0
19,6,100.0
19,7,80.0
19,8,68.0
19,9,71.0
19,10,77.0
19,11,73.0
20,0,87.0
20,1,16.0
20,2,99.0
20,3,64.0
20,4,58.0
20,5,62.0
20,6,62.0
20,7,38.0
20,8,61.0
20,9,50.0
20,10,42.0
20,11,72.0
21,0,53.0
21,1,58.0
21,2,54.0
21,3,41.0
21,4,36.0
21,5,38.0
21,6,70.0
21,7,58.0
21,8,11.0
21,9,61.0
21,10,38.0
21,11,42.0
22,0,67.0
22,1,36.0
22,2,1.0
22,3,52.0
22,4,34.0
22,5,39.0
22,6,9.0
22,7,32.0
22,8,45.0
22,9,39.0
22,10,4.0
22,11,28.0
23,0,14.0
23,1,26.0
23,2,9.0
23,3,10.0
23,4,6.0
23,5,6.0
23,6,0.0
23,7,1.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
