时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,4.0
5,7,0.0
5,8,1.0
5,9,0.0
5,10,2.0
5,11,2.0
6,0,1.0
6,1,7.0
6,2,2.0
6,3,12.0
6,4,14.0
6,5,15.0
6,6,30.0
6,7,45.0
6,8,12.0
6,9,49.0
6,10,43.0
6,11,37.0
7,0,53.0
7,1,30.0
7,2,15.0
7,3,23.0
7,4,26.0
7,5,13.0
7,6,14.0
7,7,29.0
7,8,29.0
7,9,17.0
7,10,31.0
7,11,30.0
8,0,65.0
8,1,37.0
8,2,39.0
8,3,44.0
8,4,45.0
8,5,23.0
8,6,27.0
8,7,14.0
8,8,25.0
8,9,15.0
8,10,9.0
8,11,10.0
9,0,13.0
9,1,15.0
9,2,8.0
9,3,12.0
9,4,13.0
9,5,6.0
9,6,7.0
9,7,7.0
9,8,8.0
9,9,6.0
9,10,5.0
9,11,1.0
10,0,6.0
10,1,7.0
10,2,2.0
10,3,4.0
10,4,5.0
10,5,5.0
10,6,5.0
10,7,7.0
10,8,5.0
10,9,10.0
10,10,4.0
10,11,7.0
11,0,9.0
11,1,8.0
11,2,6.0
11,3,5.0
11,4,1.0
11,5,7.0
11,6,9.0
11,7,3.0
11,8,6.0
11,9,7.0
11,10,12.0
11,11,9.0
12,0,3.0
12,1,5.0
12,2,7.0
12,3,4.0
12,4,4.0
12,5,6.0
12,6,6.0
12,7,8.0
12,8,5.0
12,9,4.0
12,10,5.0
12,11,7.0
13,0,8.0
13,1,8.0
13,2,4.0
13,3,3.0
13,4,5.0
13,5,5.0
13,6,1.0
13,7,8.0
13,8,7.0
13,9,4.0
13,10,5.0
13,11,5.0
14,0,5.0
14,1,8.0
14,2,3.0
14,3,3.0
14,4,4.0
14,5,7.0
14,6,8.0
14,7,10.0
14,8,6.0
14,9,8.0
14,10,6.0
14,11,0.0
15,0,4.0
15,1,5.0
15,2,5.0
15,3,3.0
15,4,5.0
15,5,12.0
15,6,13.0
15,7,8.0
15,8,6.0
15,9,5.0
15,10,5.0
15,11,12.0
16,0,17.0
16,1,7.0
16,2,12.0
16,3,12.0
16,4,10.0
16,5,15.0
16,6,11.0
16,7,17.0
16,8,21.0
16,9,80.0
16,10,49.0
16,11,36.0
17,0,31.0
17,1,49.0
17,2,23.0
17,3,17.0
17,4,19.0
17,5,17.0
17,6,27.0
17,7,18.0
17,8,18.0
17,9,19.0
17,10,9.0
17,11,11.0
18,0,21.0
18,1,24.0
18,2,17.0
18,3,11.0
18,4,11.0
18,5,14.0
18,6,21.0
18,7,7.0
18,8,19.0
18,9,5.0
18,10,9.0
18,11,10.0
19,0,10.0
19,1,11.0
19,2,10.0
19,3,7.0
19,4,6.0
19,5,7.0
19,6,9.0
19,7,4.0
19,8,3.0
19,9,6.0
19,10,7.0
19,11,7.0
20,0,6.0
20,1,10.0
20,2,4.0
20,3,5.0
20,4,6.0
20,5,2.0
20,6,7.0
20,7,2.0
20,8,6.0
20,9,3.0
20,10,1.0
20,11,10.0
21,0,2.0
21,1,5.0
21,2,2.0
21,3,4.0
21,4,5.0
21,5,3.0
21,6,3.0
21,7,2.0
21,8,3.0
21,9,4.0
21,10,4.0
21,11,0.0
22,0,5.0
22,1,4.0
22,2,4.0
22,3,1.0
22,4,2.0
22,5,0.0
22,6,5.0
22,7,1.0
22,8,2.0
22,9,0.0
22,10,2.0
22,11,3.0
23,0,2.0
23,1,1.0
23,2,0.0
23,3,4.0
23,4,1.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
