时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,1.0
5,7,4.0
5,8,12.0
5,9,8.0
5,10,25.0
5,11,13.0
6,0,26.0
6,1,34.0
6,2,32.0
6,3,27.0
6,4,62.0
6,5,35.0
6,6,58.0
6,7,61.0
6,8,69.0
6,9,70.0
6,10,92.0
6,11,90.0
7,0,112.0
7,1,120.0
7,2,154.0
7,3,141.0
7,4,193.0
7,5,183.0
7,6,217.0
7,7,304.0
7,8,307.0
7,9,300.0
7,10,324.0
7,11,374.0
8,0,436.0
8,1,347.0
8,2,484.0
8,3,437.0
8,4,458.0
8,5,419.0
8,6,406.0
8,7,432.0
8,8,580.0
8,9,457.0
8,10,414.0
8,11,317.0
9,0,328.0
9,1,465.0
9,2,325.0
9,3,277.0
9,4,302.0
9,5,256.0
9,6,215.0
9,7,187.0
9,8,155.0
9,9,170.0
9,10,186.0
9,11,116.0
10,0,115.0
10,1,134.0
10,2,129.0
10,3,137.0
10,4,114.0
10,5,66.0
10,6,119.0
10,7,98.0
10,8,92.0
10,9,81.0
10,10,57.0
10,11,65.0
11,0,79.0
11,1,85.0
11,2,78.0
11,3,91.0
11,4,85.0
11,5,74.0
11,6,102.0
11,7,91.0
11,8,94.0
11,9,66.0
11,10,78.0
11,11,56.0
12,0,83.0
12,1,88.0
12,2,82.0
12,3,102.0
12,4,77.0
12,5,63.0
12,6,79.0
12,7,75.0
12,8,92.0
12,9,94.0
12,10,65.0
12,11,67.0
13,0,89.0
13,1,137.0
13,2,77.0
13,3,115.0
13,4,46.0
13,5,111.0
13,6,121.0
13,7,111.0
13,8,79.0
13,9,99.0
13,10,102.0
13,11,55.0
14,0,138.0
14,1,103.0
14,2,115.0
14,3,73.0
14,4,158.0
14,5,77.0
14,6,91.0
14,7,106.0
14,8,96.0
14,9,101.0
14,10,83.0
14,11,67.0
15,0,99.0
15,1,96.0
15,2,105.0
15,3,107.0
15,4,96.0
15,5,76.0
15,6,116.0
15,7,99.0
15,8,93.0
15,9,113.0
15,10,85.0
15,11,102.0
16,0,97.0
16,1,117.0
16,2,126.0
16,3,116.0
16,4,122.0
16,5,83.0
16,6,121.0
16,7,150.0
16,8,158.0
16,9,131.0
16,10,166.0
16,11,85.0
17,0,191.0
17,1,252.0
17,2,270.0
17,3,245.0
17,4,163.0
17,5,187.0
17,6,309.0
17,7,346.0
17,8,372.0
17,9,356.0
17,10,293.0
17,11,276.0
18,0,253.0
18,1,321.0
18,2,383.0
18,3,340.0
18,4,460.0
18,5,242.0
18,6,450.0
18,7,256.0
18,8,271.0
18,9,260.0
18,10,230.0
18,11,224.0
19,0,210.0
19,1,309.0
19,2,126.0
19,3,204.0
19,4,151.0
19,5,148.0
19,6,101.0
19,7,115.0
19,8,127.0
19,9,120.0
19,10,112.0
19,11,75.0
20,0,123.0
20,1,119.0
20,2,115.0
20,3,85.0
20,4,117.0
20,5,87.0
20,6,70.0
20,7,113.0
20,8,86.0
20,9,93.0
20,10,81.0
20,11,83.0
21,0,71.0
21,1,81.0
21,2,84.0
21,3,83.0
21,4,132.0
21,5,95.0
21,6,43.0
21,7,88.0
21,8,86.0
21,9,86.0
21,10,99.0
21,11,53.0
22,0,23.0
22,1,82.0
22,2,61.0
22,3,64.0
22,4,12.0
22,5,47.0
22,6,45.0
22,7,32.0
22,8,44.0
22,9,35.0
22,10,15.0
22,11,19.0
23,0,4.0
23,1,15.0
23,2,8.0
23,3,10.0
23,4,3.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
