时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,0.0
5,7,3.0
5,8,1.0
5,9,6.0
5,10,10.0
5,11,17.0
6,0,11.0
6,1,21.0
6,2,21.0
6,3,25.0
6,4,22.0
6,5,41.0
6,6,37.0
6,7,21.0
6,8,47.0
6,9,57.0
6,10,51.0
6,11,63.0
7,0,69.0
7,1,89.0
7,2,60.0
7,3,75.0
7,4,100.0
7,5,130.0
7,6,115.0
7,7,140.0
7,8,117.0
7,9,169.0
7,10,210.0
7,11,167.0
8,0,218.0
8,1,303.0
8,2,368.0
8,3,273.0
8,4,294.0
8,5,372.0
8,6,393.0
8,7,320.0
8,8,353.0
8,9,374.0
8,10,424.0
8,11,208.0
9,0,188.0
9,1,235.0
9,2,240.0
9,3,176.0
9,4,114.0
9,5,145.0
9,6,128.0
9,7,101.0
9,8,75.0
9,9,85.0
9,10,81.0
9,11,49.0
10,0,73.0
10,1,88.0
10,2,75.0
10,3,61.0
10,4,54.0
10,5,53.0
10,6,44.0
10,7,64.0
10,8,56.0
10,9,53.0
10,10,54.0
10,11,30.0
11,0,42.0
11,1,54.0
11,2,45.0
11,3,46.0
11,4,55.0
11,5,36.0
11,6,45.0
11,7,54.0
11,8,60.0
11,9,38.0
11,10,42.0
11,11,39.0
12,0,47.0
12,1,39.0
12,2,63.0
12,3,53.0
12,4,33.0
12,5,44.0
12,6,43.0
12,7,47.0
12,8,44.0
12,9,59.0
12,10,41.0
12,11,19.0
13,0,38.0
13,1,45.0
13,2,58.0
13,3,64.0
13,4,41.0
13,5,33.0
13,6,40.0
13,7,48.0
13,8,56.0
13,9,40.0
13,10,37.0
13,11,28.0
14,0,55.0
14,1,46.0
14,2,37.0
14,3,38.0
14,4,50.0
14,5,30.0
14,6,35.0
14,7,37.0
14,8,38.0
14,9,42.0
14,10,47.0
14,11,28.0
15,0,43.0
15,1,39.0
15,2,56.0
15,3,44.0
15,4,47.0
15,5,40.0
15,6,42.0
15,7,46.0
15,8,51.0
15,9,51.0
15,10,44.0
15,11,29.0
16,0,87.0
16,1,73.0
16,2,82.0
16,3,46.0
16,4,76.0
16,5,55.0
16,6,35.0
16,7,100.0
16,8,101.0
16,9,78.0
16,10,96.0
16,11,125.0
17,0,126.0
17,1,165.0
17,2,216.0
17,3,197.0
17,4,162.0
17,5,142.0
17,6,129.0
17,7,291.0
17,8,393.0
17,9,276.0
17,10,215.0
17,11,188.0
18,0,192.0
18,1,202.0
18,2,265.0
18,3,198.0
18,4,184.0
18,5,174.0
18,6,125.0
18,7,138.0
18,8,164.0
18,9,158.0
18,10,127.0
18,11,90.0
19,0,100.0
19,1,83.0
19,2,67.0
19,3,58.0
19,4,43.0
19,5,82.0
19,6,51.0
19,7,45.0
19,8,37.0
19,9,65.0
19,10,53.0
19,11,32.0
20,0,39.0
20,1,38.0
20,2,50.0
20,3,49.0
20,4,36.0
20,5,32.0
20,6,32.0
20,7,35.0
20,8,42.0
20,9,48.0
20,10,33.0
20,11,26.0
21,0,48.0
21,1,39.0
21,2,43.0
21,3,29.0
21,4,43.0
21,5,39.0
21,6,26.0
21,7,22.0
21,8,37.0
21,9,26.0
21,10,28.0
21,11,35.0
22,0,40.0
22,1,14.0
22,2,32.0
22,3,30.0
22,4,14.0
22,5,10.0
22,6,30.0
22,7,29.0
22,8,11.0
22,9,9.0
22,10,18.0
22,11,9.0
23,0,10.0
23,1,3.0
23,2,1.0
23,3,1.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
