时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,3.0
5,7,3.0
5,8,9.0
5,9,9.0
5,10,21.0
5,11,23.0
6,0,26.0
6,1,37.0
6,2,26.0
6,3,44.0
6,4,50.0
6,5,60.0
6,6,49.0
6,7,62.0
6,8,63.0
6,9,105.0
6,10,92.0
6,11,91.0
7,0,114.0
7,1,168.0
7,2,155.0
7,3,139.0
7,4,190.0
7,5,202.0
7,6,239.0
7,7,250.0
7,8,299.0
7,9,282.0
7,10,355.0
7,11,325.0
8,0,402.0
8,1,384.0
8,2,424.0
8,3,372.0
8,4,357.0
8,5,282.0
8,6,360.0
8,7,322.0
8,8,283.0
8,9,276.0
8,10,211.0
8,11,259.0
9,0,216.0
9,1,190.0
9,2,161.0
9,3,170.0
9,4,117.0
9,5,126.0
9,6,107.0
9,7,133.0
9,8,103.0
9,9,79.0
9,10,152.0
9,11,92.0
10,0,86.0
10,1,62.0
10,2,103.0
10,3,69.0
10,4,88.0
10,5,87.0
10,6,81.0
10,7,43.0
10,8,70.0
10,9,69.0
10,10,67.0
10,11,69.0
11,0,60.0
11,1,36.0
11,2,65.0
11,3,56.0
11,4,79.0
11,5,60.0
11,6,48.0
11,7,40.0
11,8,63.0
11,9,50.0
11,10,59.0
11,11,51.0
12,0,57.0
12,1,50.0
12,2,68.0
12,3,79.0
12,4,49.0
12,5,47.0
12,6,71.0
12,7,29.0
12,8,61.0
12,9,56.0
12,10,57.0
12,11,71.0
13,0,73.0
13,1,35.0
13,2,71.0
13,3,66.0
13,4,75.0
13,5,71.0
13,6,70.0
13,7,46.0
13,8,58.0
13,9,81.0
13,10,89.0
13,11,75.0
14,0,36.0
14,1,63.0
14,2,76.0
14,3,64.0
14,4,77.0
14,5,63.0
14,6,67.0
14,7,53.0
14,8,63.0
14,9,74.0
14,10,54.0
14,11,67.0
15,0,71.0
15,1,65.0
15,2,71.0
15,3,87.0
15,4,66.0
15,5,83.0
15,6,80.0
15,7,36.0
15,8,74.0
15,9,78.0
15,10,88.0
15,11,94.0
16,0,80.0
16,1,54.0
16,2,103.0
16,3,106.0
16,4,82.0
16,5,86.0
16,6,88.0
16,7,106.0
16,8,156.0
16,9,152.0
16,10,123.0
16,11,155.0
17,0,107.0
17,1,207.0
17,2,231.0
17,3,210.0
17,4,221.0
17,5,180.0
17,6,197.0
17,7,266.0
17,8,258.0
17,9,256.0
17,10,219.0
17,11,271.0
18,0,168.0
18,1,296.0
18,2,247.0
18,3,213.0
18,4,226.0
18,5,207.0
18,6,184.0
18,7,212.0
18,8,191.0
18,9,256.0
18,10,231.0
18,11,179.0
19,0,153.0
19,1,134.0
19,2,121.0
19,3,121.0
19,4,110.0
19,5,143.0
19,6,94.0
19,7,100.0
19,8,89.0
19,9,73.0
19,10,74.0
19,11,69.0
20,0,64.0
20,1,76.0
20,2,87.0
20,3,46.0
20,4,67.0
20,5,52.0
20,6,78.0
20,7,38.0
20,8,59.0
20,9,59.0
20,10,45.0
20,11,67.0
21,0,74.0
21,1,61.0
21,2,54.0
21,3,62.0
21,4,54.0
21,5,48.0
21,6,82.0
21,7,61.0
21,8,26.0
21,9,56.0
21,10,53.0
21,11,48.0
22,0,80.0
22,1,52.0
22,2,15.0
22,3,56.0
22,4,69.0
22,5,51.0
22,6,8.0
22,7,49.0
22,8,32.0
22,9,25.0
22,10,15.0
22,11,12.0
23,0,5.0
23,1,9.0
23,2,5.0
23,3,6.0
23,4,3.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
