时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,3.0
5,5,3.0
5,6,4.0
5,7,13.0
5,8,18.0
5,9,15.0
5,10,12.0
5,11,14.0
6,0,24.0
6,1,26.0
6,2,33.0
6,3,42.0
6,4,45.0
6,5,58.0
6,6,53.0
6,7,78.0
6,8,70.0
6,9,59.0
6,10,77.0
6,11,95.0
7,0,74.0
7,1,131.0
7,2,133.0
7,3,140.0
7,4,162.0
7,5,158.0
7,6,168.0
7,7,196.0
7,8,238.0
7,9,217.0
7,10,258.0
7,11,235.0
8,0,277.0
8,1,340.0
8,2,281.0
8,3,285.0
8,4,185.0
8,5,272.0
8,6,187.0
8,7,189.0
8,8,178.0
8,9,162.0
8,10,112.0
8,11,128.0
9,0,113.0
9,1,92.0
9,2,119.0
9,3,82.0
9,4,81.0
9,5,91.0
9,6,77.0
9,7,56.0
9,8,64.0
9,9,49.0
9,10,55.0
9,11,64.0
10,0,37.0
10,1,49.0
10,2,54.0
10,3,51.0
10,4,46.0
10,5,57.0
10,6,29.0
10,7,41.0
10,8,38.0
10,9,27.0
10,10,36.0
10,11,36.0
11,0,26.0
11,1,40.0
11,2,33.0
11,3,33.0
11,4,33.0
11,5,34.0
11,6,31.0
11,7,44.0
11,8,40.0
11,9,42.0
11,10,41.0
11,11,52.0
12,0,31.0
12,1,61.0
12,2,36.0
12,3,48.0
12,4,49.0
12,5,34.0
12,6,33.0
12,7,32.0
12,8,38.0
12,9,34.0
12,10,54.0
12,11,37.0
13,0,27.0
13,1,40.0
13,2,58.0
13,3,36.0
13,4,49.0
13,5,28.0
13,6,34.0
13,7,38.0
13,8,27.0
13,9,25.0
13,10,32.0
13,11,34.0
14,0,17.0
14,1,36.0
14,2,39.0
14,3,33.0
14,4,31.0
14,5,43.0
14,6,29.0
14,7,54.0
14,8,50.0
14,9,37.0
14,10,43.0
14,11,33.0
15,0,28.0
15,1,41.0
15,2,35.0
15,3,52.0
15,4,40.0
15,5,33.0
15,6,29.0
15,7,53.0
15,8,51.0
15,9,47.0
15,10,54.0
15,11,35.0
16,0,57.0
16,1,48.0
16,2,45.0
16,3,54.0
16,4,52.0
16,5,68.0
16,6,34.0
16,7,62.0
16,8,84.0
16,9,121.0
16,10,98.0
16,11,91.0
17,0,34.0
17,1,123.0
17,2,147.0
17,3,146.0
17,4,122.0
17,5,88.0
17,6,85.0
17,7,218.0
17,8,145.0
17,9,149.0
17,10,168.0
17,11,170.0
18,0,142.0
18,1,152.0
18,2,113.0
18,3,215.0
18,4,105.0
18,5,266.0
18,6,41.0
18,7,280.0
18,8,152.0
18,9,150.0
18,10,164.0
18,11,128.0
19,0,131.0
19,1,97.0
19,2,231.0
19,3,103.0
19,4,94.0
19,5,88.0
19,6,87.0
19,7,61.0
19,8,72.0
19,9,80.0
19,10,78.0
19,11,85.0
20,0,52.0
20,1,58.0
20,2,55.0
20,3,52.0
20,4,59.0
20,5,46.0
20,6,37.0
20,7,45.0
20,8,77.0
20,9,58.0
20,10,48.0
20,11,39.0
21,0,59.0
21,1,49.0
21,2,47.0
21,3,45.0
21,4,44.0
21,5,73.0
21,6,44.0
21,7,42.0
21,8,28.0
21,9,45.0
21,10,39.0
21,11,47.0
22,0,37.0
22,1,11.0
22,2,54.0
22,3,33.0
22,4,45.0
22,5,14.0
22,6,34.0
22,7,41.0
22,8,31.0
22,9,33.0
22,10,21.0
22,11,2.0
23,0,22.0
23,1,8.0
23,2,16.0
23,3,4.0
23,4,3.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
