时,第x个五分钟,客流量
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
5,0,0.0
5,1,1.0
5,2,0.0
5,3,0.0
5,4,1.0
5,5,3.0
5,6,5.0
5,7,3.0
5,8,12.0
5,9,6.0
5,10,6.0
5,11,17.0
6,0,6.0
6,1,14.0
6,2,11.0
6,3,16.0
6,4,14.0
6,5,48.0
6,6,33.0
6,7,56.0
6,8,28.0
6,9,51.0
6,10,21.0
6,11,76.0
7,0,41.0
7,1,34.0
7,2,154.0
7,3,52.0
7,4,92.0
7,5,111.0
7,6,144.0
7,7,74.0
7,8,166.0
7,9,113.0
7,10,185.0
7,11,190.0
8,0,243.0
8,1,73.0
8,2,223.0
8,3,71.0
8,4,225.0
8,5,147.0
8,6,81.0
8,7,196.0
8,8,168.0
8,9,113.0
8,10,103.0
8,11,73.0
9,0,73.0
9,1,72.0
9,2,61.0
9,3,57.0
9,4,34.0
9,5,77.0
9,6,26.0
9,7,22.0
9,8,36.0
9,9,39.0
9,10,34.0
9,11,22.0
10,0,18.0
10,1,34.0
10,2,31.0
10,3,23.0
10,4,16.0
10,5,17.0
10,6,15.0
10,7,14.0
10,8,9.0
10,9,21.0
10,10,15.0
10,11,22.0
11,0,24.0
11,1,18.0
11,2,25.0
11,3,10.0
11,4,15.0
11,5,14.0
11,6,6.0
11,7,34.0
11,8,11.0
11,9,25.0
11,10,19.0
11,11,19.0
12,0,23.0
12,1,20.0
12,2,17.0
12,3,8.0
12,4,25.0
12,5,18.0
12,6,28.0
12,7,30.0
12,8,18.0
12,9,25.0
12,10,17.0
12,11,24.0
13,0,31.0
13,1,15.0
13,2,5.0
13,3,16.0
13,4,15.0
13,5,23.0
13,6,25.0
13,7,14.0
13,8,24.0
13,9,20.0
13,10,11.0
13,11,27.0
14,0,20.0
14,1,19.0
14,2,16.0
14,3,10.0
14,4,19.0
14,5,20.0
14,6,20.0
14,7,19.0
14,8,25.0
14,9,3.0
14,10,21.0
14,11,21.0
15,0,16.0
15,1,29.0
15,2,17.0
15,3,18.0
15,4,26.0
15,5,18.0
15,6,28.0
15,7,27.0
15,8,23.0
15,9,5.0
15,10,29.0
15,11,14.0
16,0,23.0
16,1,25.0
16,2,17.0
16,3,50.0
16,4,35.0
16,5,25.0
16,6,36.0
16,7,49.0
16,8,84.0
16,9,57.0
16,10,36.0
16,11,58.0
17,0,79.0
17,1,116.0
17,2,132.0
17,3,182.0
17,4,101.0
17,5,71.0
17,6,116.0
17,7,45.0
17,8,78.0
17,9,93.0
17,10,80.0
17,11,40.0
18,0,75.0
18,1,38.0
18,2,84.0
18,3,26.0
18,4,85.0
18,5,25.0
18,6,86.0
18,7,66.0
18,8,57.0
18,9,23.0
18,10,68.0
18,11,85.0
19,0,12.0
19,1,98.0
19,2,9.0
19,3,62.0
19,4,18.0
19,5,59.0
19,6,43.0
19,7,15.0
19,8,41.0
19,9,6.0
19,10,32.0
19,11,5.0
20,0,47.0
20,1,19.0
20,2,4.0
20,3,30.0
20,4,9.0
20,5,40.0
20,6,7.0
20,7,23.0
20,8,13.0
20,9,10.0
20,10,1.0
20,11,29.0
21,0,20.0
21,1,3.0
21,2,16.0
21,3,18.0
21,4,12.0
21,5,13.0
21,6,18.0
21,7,0.0
21,8,20.0
21,9,24.0
21,10,1.0
21,11,5.0
22,0,23.0
22,1,0.0
22,2,24.0
22,3,1.0
22,4,2.0
22,5,22.0
22,6,0.0
22,7,12.0
22,8,2.0
22,9,13.0
22,10,13.0
22,11,11.0
23,0,10.0
23,1,1.0
23,2,0.0
23,3,2.0
23,4,1.0
23,5,4.0
23,6,0.0
23,7,1.0
23,8,1.0
23,9,0.0
23,10,0.0
23,11,0.0
